code,name,star,bd,sd,ret,pnl,exit
600030,中信证券,False,2021-01-04,2021-02-02,-0.04349334534821256,-144977.81782737523,rebal
688037,芯源微,False,2021-01-04,2021-02-02,-0.01714417174592702,-57147.23915309008,rebal
002050,三花智控,False,2021-01-04,2021-02-02,-0.13142312116164326,-438077.0705388108,rebal
600900,长江电力,False,2021-02-02,2021-03-10,0.019896511827505233,37245.46581457421,rebal
300620,光库科技,False,2021-02-02,2021-03-10,-0.1434441796924087,-268521.7055809499,rebal
688126,沪硅产业 - U,True,2021-02-02,2021-03-10,-0.12313509384392642,-230503.9178776194,rebal
600111,北方稀土,False,2021-02-02,2021-03-10,0.12123252855731613,226942.39257324522,rebal
300661,圣邦股份,False,2021-02-02,2021-03-10,-0.21829430409654915,-408638.11261150823,rebal
300476,胜宏科技,False,2021-03-10,2021-04-09,0.11577437076729025,336375.56478429487,rebal
688256,寒武纪,True,2021-03-10,2021-04-09,-0.10992221307878408,-319372.4678585098,rebal
601899,紫金矿业,False,2021-03-10,2021-04-09,-0.029700954734640964,-86294.36167335488,rebal
300308,中际旭创,False,2021-04-09,2021-05-13,-0.049488251695532226,-85585.2866375521,rebal
601689,拓普集团,False,2021-04-09,2021-05-13,-0.17199674903019183,-297452.23486658407,rebal
601088,中国神华,False,2021-04-09,2021-06-11,0.1677816012433278,290162.53237764025,rebal
300661,圣邦股份,False,2021-04-09,2021-06-11,0.14289903794998782,258259.86077525798,rebal
688037,芯源微,False,2021-04-09,2021-06-11,0.4216853609521291,729265.2549131329,rebal
300476,胜宏科技,False,2021-05-13,2021-06-11,-0.12491472124336248,-207485.9241710394,rebal
300394,天孚通信,False,2021-05-13,2021-06-11,0.1980780414382897,264804.85179973894,rebal
300373,扬杰科技,False,2021-06-11,2021-07-13,0.24757299465257168,594113.2805635139,rebal
688195,腾景科技,True,2021-06-11,2021-07-13,-0.037967436115806066,-91112.35277095625,rebal
300757,罗博特科,False,2021-06-11,2021-07-13,0.058407352311241736,140163.04055843153,rebal
002050,三花智控,False,2021-06-11,2021-07-13,0.08256396003515751,198132.85864089997,rebal
000657,中钨高新,False,2021-07-13,2021-08-11,0.26572001176588467,554839.1476752519,rebal
688037,芯源微,False,2021-07-13,2021-08-11,0.23986004738668557,500842.00798029825,rebal
300394,天孚通信,False,2021-07-13,2021-08-11,0.31388901945607856,655418.8932261331,rebal
603186,华正新材,False,2021-07-13,2021-08-11,0.09635514450616907,201195.2577325319,rebal
000938,紫光股份,False,2021-07-13,2021-08-11,0.13431447994418955,280456.60196017905,rebal
600183,生益科技,False,2021-08-11,2021-09-09,-0.16202175642915173,-409365.7420467902,rebal
601995,中金公司,True,2021-08-11,2021-09-09,0.037758403098716795,95400.7476753099,rebal
300373,扬杰科技,False,2021-08-11,2021-09-09,-0.1603249477803413,-405078.56884893985,rebal
688195,腾景科技,True,2021-08-11,2021-09-09,0.047654152913817964,120403.44518612028,rebal
301018,申菱环境,True,2021-08-11,2021-09-09,-0.21944048420907422,-554440.4568446693,rebal
600900,长江电力,False,2021-09-09,2021-10-19,0.050153616343157854,115152.38158834194,rebal
002371,北方华创,False,2021-09-09,2021-10-19,0.008213294073305814,18857.670536764897,rebal
300604,长川科技,False,2021-09-09,2021-10-19,0.055881152966940136,128302.76895722719,rebal
603986,兆易创新,False,2021-09-09,2021-10-19,-0.04499905278797163,-103317.53671161471,rebal
000657,中钨高新,False,2021-09-09,2021-10-19,0.0860641157904339,197602.65809656435,rebal
600276,恒瑞医药,False,2021-10-19,2021-11-17,0.08092244699602145,191568.77512754514,rebal
601869,长飞光纤,False,2021-10-19,2021-11-17,-0.024822502698916275,-58762.63773715795,rebal
300475,香农芯创,False,2021-10-19,2021-11-17,0.07903328708108064,187096.54196654022,rebal
600460,士兰微,False,2021-10-19,2021-11-17,-0.00174253962162893,-4125.1370085618155,rebal
002384,东山精密,False,2021-10-19,2021-12-16,0.34916029192966364,690186.1463483586,rebal
300757,罗博特科,False,2021-11-17,2021-12-16,0.1717949993403075,441992.00522515655,rebal
300604,长川科技,False,2021-11-17,2021-12-16,0.1897939389292493,488299.44974561123,rebal
688037,芯源微,False,2021-11-17,2021-12-16,-0.024724860963130427,-63611.81011072177,rebal
600183,生益科技,False,2021-11-17,2021-12-16,-0.07538141620800787,-193940.35585686727,rebal
600900,长江电力,False,2021-12-16,2022-01-17,0.026835377384886238,73157.4131967509,rebal
601600,中国铝业,False,2021-12-16,2022-01-17,-0.0561716530264608,-153132.66407483903,rebal
601689,拓普集团,False,2021-12-16,2022-01-17,0.2091631356203224,570211.2446058616,rebal
603986,兆易创新,False,2021-12-16,2022-01-17,-0.06136768259623657,-167297.84896367576,rebal
000657,中钨高新,False,2021-12-16,2022-01-17,-0.08366406484814565,-228081.25535296998,rebal
601899,紫金矿业,False,2022-01-17,2022-02-22,0.1805250946845114,619455.3749248117,rebal
688981,中芯国际,True,2022-01-17,2022-02-22,-0.02838449345318129,-97398.79690864855,rebal
300757,罗博特科,False,2022-01-17,2022-02-22,-0.25770169556251354,-884279.8322439144,rebal
600030,中信证券,False,2022-01-17,2022-03-23,-0.16390398414078253,-562421.5521118348,rebal
300394,天孚通信,False,2022-02-22,2022-03-22,-0.2934988095427769,-781816.9194114762,trail
601088,中国神华,False,2022-02-22,2022-03-23,-0.010291818612207152,-27415.163744862668,rebal
300661,圣邦股份,False,2022-02-22,2022-03-23,0.04627218608096971,89798.39564621981,rebal
601398,工商银行,False,2022-02-22,2022-05-27,-0.04049450516260927,-82043.65837066632,rebal
002466,天齐锂业,False,2022-03-23,2022-04-25,-0.3107245605921026,-739650.2164937548,trail
688126,沪硅产业 - U,True,2022-03-23,2022-04-25,-0.1567538939610842,-373137.71200969495,rebal
601995,中金公司,True,2022-03-23,2022-04-25,-0.11214667799130631,-266954.48373073776,rebal
300604,长川科技,False,2022-03-23,2022-04-25,-0.2866658811060435,-652665.5183443818,rebal
600900,长江电力,False,2022-04-25,2022-05-27,0.03591550827878086,71947.84458924833,rebal
300054,鼎龙股份,False,2022-04-25,2022-05-27,0.18913481646998656,378884.8615526405,rebal
688008,澜起科技,False,2022-04-25,2022-05-27,0.08762281521980397,175530.65497423266,rebal
300475,香农芯创,False,2022-04-25,2022-05-27,0.010807136149686994,21649.426373617818,rebal
688037,芯源微,False,2022-05-27,2022-06-28,0.18233603014634167,386735.62379048363,rebal
002371,北方华创,False,2022-05-27,2022-06-28,0.08522044234898353,180752.9806647836,rebal
601899,紫金矿业,False,2022-05-27,2022-06-28,-0.051244599629517405,-108690.04983660724,rebal
300604,长川科技,False,2022-05-27,2022-06-28,0.15480156244124768,328334.8812980536,rebal
300757,罗博特科,False,2022-05-27,2022-07-27,0.76635305611403,1185965.9479744479,rebal
002050,三花智控,False,2022-06-28,2022-07-27,0.11984314839952218,305970.77429139835,rebal
300666,江丰电子,False,2022-06-28,2022-07-27,0.16343385246337933,417261.92153214244,rebal
688008,澜起科技,False,2022-06-28,2022-07-27,-0.04155934272295168,-106104.89161709818,rebal
300308,中际旭创,False,2022-06-28,2022-07-27,0.057590769042701176,147034.6234336967,rebal
300604,长川科技,False,2022-07-27,2022-08-25,0.11075321156536623,303686.3668282637,rebal
000657,中钨高新,False,2022-07-27,2022-08-25,-0.23610097591731552,-647391.1371736557,rebal
002466,天齐锂业,False,2022-07-27,2022-08-25,-0.06148893117673322,-168603.2381841524,rebal
601138,工业富联,False,2022-07-27,2022-08-25,-0.024830632506462287,-68085.83214297853,rebal
601869,长飞光纤,False,2022-07-27,2022-09-26,0.3572390120608413,874263.1323172351,rebal
601899,紫金矿业,False,2022-08-25,2022-09-26,-0.17592014265325998,-470969.4237021009,rebal
002837,英维克,False,2022-08-25,2022-09-26,-0.1304800159192399,-349318.14501337666,rebal
300757,罗博特科,False,2022-08-25,2022-09-26,-0.16412025884285794,-439379.04187248606,rebal
600183,生益科技,False,2022-08-25,2022-09-26,-0.22304485088143108,-597130.6258340052,rebal
300476,胜宏科技,False,2022-09-26,2022-11-01,-0.005184863993465231,-21039.23311065295,rebal
002050,三花智控,False,2022-09-26,2022-11-01,-0.233280811280936,-946611.0152489506,rebal
601689,拓普集团,False,2022-09-26,2022-11-01,-0.12629519264648367,-512482.8736478235,rebal
300308,中际旭创,False,2022-11-01,2022-11-30,-0.043578952750467324,-93200.73835241575,rebal
603259,药明康德,False,2022-11-01,2022-11-30,-0.04624896319422528,-98910.99362614383,rebal
601869,长飞光纤,False,2022-11-01,2022-11-30,-0.22170511531126072,-474152.7535513205,rebal
688981,中芯国际,True,2022-11-01,2022-11-30,-0.02792315196130296,-59718.240473142956,rebal
000977,浪潮信息,False,2022-11-01,2022-12-29,-0.08713397746855593,-186350.3026828722,rebal
300620,光库科技,False,2022-11-30,2022-12-29,-0.14258850183427255,-281500.54467952927,rebal
603186,华正新材,False,2022-11-30,2022-12-29,0.026310971872105193,51943.54956933244,rebal
601689,拓普集团,False,2022-11-30,2022-12-29,-0.14308519838573167,-272723.8876236437,rebal
300757,罗博特科,False,2022-11-30,2023-02-06,0.2759556386815961,581168.4059510824,rebal
688256,寒武纪,True,2022-12-29,2023-02-06,0.30945310305060314,739869.8837773867,rebal
