code,name,star,bd,sd,ret,pnl,exit
601899,紫金矿业,False,2021-01-04,2021-01-29,-0.059682990473963166,-74603.73809245395,trail
601995,中金公司,True,2021-01-04,2021-01-29,-0.19335424043272428,-241692.80054090536,trail
600183,生益科技,False,2021-01-04,2021-01-29,-0.10541823336856573,-131772.79171070718,trail
002466,天齐锂业,False,2021-01-04,2021-02-01,0.3385273656743177,423159.20709289715,trail
600584,长电科技,False,2021-01-04,2021-02-02,-0.03838853703895107,-47985.671298688845,rebal
002371,北方华创,False,2021-01-04,2021-02-02,0.052303062921528434,65378.82865191053,rebal
300661,圣邦股份,False,2021-01-04,2021-02-02,0.021815483609859618,27269.35451232452,rebal
300308,中际旭创,False,2021-01-04,2021-02-05,-0.09913759854695467,-123921.99818369333,trail
002460,赣锋锂业,False,2021-02-02,2021-02-24,-0.17077961128259384,-214706.46287487328,trail
601689,拓普集团,False,2021-02-02,2021-02-26,-0.22333111297431155,-280774.9294924784,trail
603738,泰晶科技,False,2021-02-02,2021-03-10,0.13870308185171148,174379.41139792418,rebal
300475,香农芯创,False,2021-02-02,2021-03-10,0.15358775859096374,193092.630556343,rebal
002837,英维克,False,2021-02-02,2021-03-10,-0.10294081768614428,-129418.60380667068,rebal
603986,兆易创新,False,2021-02-02,2021-03-10,-0.10616468509441601,-130295.01545823729,rebal
300476,胜宏科技,False,2021-02-02,2021-05-13,0.02899792509719016,32043.21170969116,rebal
600111,北方稀土,False,2021-03-10,2021-03-23,-0.10677859769818408,-126264.9092913923,trail
002466,天齐锂业,False,2021-03-10,2021-03-24,-0.09279163438871889,-109725.42767613889,trail
600276,恒瑞医药,False,2021-03-10,2021-04-09,-0.030694349323238362,-36295.84314275847,rebal
300604,长川科技,False,2021-03-10,2021-04-09,0.13976476483469752,165270.81020362544,rebal
300394,天孚通信,False,2021-03-10,2021-04-09,0.010038143682107927,11870.031343339839,rebal
600584,长电科技,False,2021-03-10,2021-04-09,0.049133780874285556,57023.749486075125,rebal
600183,生益科技,False,2021-03-10,2021-05-13,-0.10370617738844579,-128867.17846037616,rebal
603186,华正新材,False,2021-04-09,2021-04-13,-0.1996634799503977,-237614.15706683,trail
300502,新易盛,False,2021-04-09,2021-05-10,-0.19758940629923558,-235145.85759394782,trail
300054,鼎龙股份,False,2021-04-09,2021-05-13,-0.033241147630402645,-39559.39902527202,rebal
300620,光库科技,False,2021-04-09,2021-05-13,0.08768851343680595,104355.7500345398,rebal
601869,长飞光纤,False,2021-04-09,2021-05-13,-0.014609398157556651,-17386.253256348748,rebal
601899,紫金矿业,False,2021-04-09,2021-05-13,0.08488308781005086,101017.08817368923,rebal
600900,长江电力,False,2021-05-13,2021-06-11,0.056013678891260535,63498.50054570979,rebal
300308,中际旭创,False,2021-05-13,2021-06-11,0.13858354157094868,157101.75200512074,rebal
300373,扬杰科技,False,2021-05-13,2021-06-11,0.16775045713918527,190166.09344432066,rebal
