code,name,star,bd,sd,ret,pnl,exit
002371,北方华创,False,2021-01-04,2021-02-02,0.052303062921528434,74718.6613164692,rebal
601995,中金公司,True,2021-01-04,2021-02-02,-0.1858129779058849,-265447.1112941213,rebal
002050,三花智控,False,2021-01-04,2021-02-02,-0.13142312116164326,-187747.31594520467,rebal
600030,中信证券,False,2021-01-04,2021-02-02,-0.04349334534821256,-62133.35049744651,rebal
601288,农业银行,False,2021-01-04,2021-02-02,0.004093163217314267,5847.376024734658,rebal
600584,长电科技,False,2021-01-04,2021-03-10,-0.17878714212358815,-255410.20303369738,rebal
300394,天孚通信,False,2021-01-04,2021-03-10,-0.33345744988197557,-517146.33367280936,rebal
002460,赣锋锂业,False,2021-02-02,2021-03-08,-0.3243510873645241,-413872.2262478841,trail
601869,长飞光纤,False,2021-02-02,2021-03-10,0.041453632151778434,55027.67122188864,rebal
300475,香农芯创,False,2021-02-02,2021-03-10,0.15358775859096374,203880.24510146017,rebal
600900,长江电力,False,2021-02-02,2021-03-10,0.019896511827505233,26411.64729058381,rebal
603738,泰晶科技,False,2021-02-02,2021-04-09,0.15068267467224405,145703.30685000116,rebal
300476,胜宏科技,False,2021-03-10,2021-04-09,0.11577437076729025,128134.89735417333,rebal
688256,寒武纪,True,2021-03-10,2021-04-09,-0.10992221307878408,-121657.9403234638,rebal
600111,北方稀土,False,2021-03-10,2021-04-09,-0.0120692254326855,-13357.783348009043,rebal
600276,恒瑞医药,False,2021-03-10,2021-04-09,-0.030694349323238362,-33971.398624931964,rebal
300308,中际旭创,False,2021-03-10,2021-04-09,-0.10050548075929623,-111235.84067245705,rebal
300373,扬杰科技,False,2021-03-10,2021-04-09,0.11895956935595935,131660.1602556849,rebal
603259,药明康德,False,2021-03-10,2021-04-09,0.03685971810666022,40795.00639734903,rebal
300054,鼎龙股份,False,2021-04-09,2021-05-13,-0.033241147630402645,-36899.22171693334,rebal
300502,新易盛,False,2021-04-09,2021-05-13,-0.12518253319901865,-138958.4408744436,rebal
300666,江丰电子,False,2021-04-09,2021-05-13,-0.10353032397293647,-114923.48041586096,rebal
300604,长川科技,False,2021-04-09,2021-05-13,-0.06679930280187732,-74150.33656565669,rebal
600584,长电科技,False,2021-04-09,2021-05-13,-0.08541685490340688,-94816.68630962839,rebal
688012,中微公司,False,2021-04-09,2021-05-13,-0.059468983216519083,-66013.34049549916,rebal
002050,三花智控,False,2021-04-09,2021-05-13,-0.07949949965785394,-88248.1464501978,rebal
601689,拓普集团,False,2021-04-09,2021-06-11,0.24950844383265838,298743.1930809066,rebal
300308,中际旭创,False,2021-05-13,2021-06-11,0.13858354157094868,139950.28956916896,rebal
300475,香农芯创,False,2021-05-13,2021-06-11,0.00033334807137884025,336.6356393259646,rebal
601288,农业银行,False,2021-05-13,2021-06-11,0.01869544456215346,18879.824042873253,rebal
300661,圣邦股份,False,2021-05-13,2021-06-11,0.23970188553046715,242065.88971526903,rebal
600111,北方稀土,False,2021-05-13,2021-06-11,0.029166388521829775,29454.03525589103,rebal
601995,中金公司,True,2021-05-13,2021-06-11,0.45479765371154307,459282.9899625815,rebal
002851,麦格米特,False,2021-05-13,2021-07-13,0.008789546506540069,9739.629650776731,rebal
688012,中微公司,False,2021-06-11,2021-07-13,0.2941028804926955,350695.97690438386,rebal
600584,长电科技,False,2021-06-11,2021-07-13,0.1335107695636101,159201.7381160237,rebal
300666,江丰电子,False,2021-06-11,2021-07-13,0.14202749995773226,169357.3104810217,rebal
603186,华正新材,False,2021-06-11,2021-07-13,0.2877693091089214,343143.6605176647,rebal
603986,兆易创新,False,2021-06-11,2021-07-13,0.26378173489872764,314540.24882337067,rebal
000938,紫光股份,False,2021-06-11,2021-08-11,0.3288927538228245,394293.28525449807,rebal
300054,鼎龙股份,False,2021-06-11,2021-09-09,0.2838348002092926,341476.5041143697,rebal
000977,浪潮信息,False,2021-07-13,2021-08-11,0.15682173217823586,219545.76679975496,rebal
002466,天齐锂业,False,2021-07-13,2021-08-11,0.36606575443664835,512481.18255435565,rebal
002460,赣锋锂业,False,2021-07-13,2021-08-11,0.05081220181655306,71135.5732120095,rebal
688037,芯源微,False,2021-07-13,2021-08-11,0.23986004738668557,335796.94151244545,rebal
603259,药明康德,False,2021-07-13,2021-08-11,-0.10031327042581191,-140435.59887985032,rebal
300620,光库科技,False,2021-07-13,2021-09-09,-0.05894984786036247,-107968.28498293563,rebal
300394,天孚通信,False,2021-08-11,2021-09-09,-0.1607243589417594,-248078.95306646588,rebal
300475,香农芯创,False,2021-08-11,2021-09-09,-0.11714928071637884,-180820.57445405572,rebal
601088,中国神华,False,2021-08-11,2021-09-09,0.9528919723141444,1470794.1250074774,rebal
301018,申菱环境,True,2021-08-11,2021-09-09,-0.21944048420907422,-338707.6230474312,rebal
688195,腾景科技,True,2021-08-11,2021-09-09,0.047654152913817964,73554.45336330812,rebal
601689,拓普集团,False,2021-08-11,2021-09-09,-0.02369046620710235,-34171.92455648403,rebal
002466,天齐锂业,False,2021-09-09,2021-10-19,-0.17129565967779556,-282009.3794302273,rebal
002851,麦格米特,False,2021-09-09,2021-10-19,0.1203732059689091,198174.15793938722,rebal
601288,农业银行,False,2021-09-09,2021-10-19,-0.05428915052020582,-89377.9193051091,rebal
600030,中信证券,False,2021-09-09,2021-10-19,-0.07185126502858569,-118290.97538199226,rebal
688012,中微公司,False,2021-09-09,2021-10-19,-0.07446868258866067,-122600.1114290757,rebal
002371,北方华创,False,2021-09-09,2021-10-19,0.008213294073305814,13521.801831101386,rebal
600900,长江电力,False,2021-09-09,2021-11-17,-0.027469943495346545,-45224.62351163866,rebal
603986,兆易创新,False,2021-09-09,2021-11-17,0.04330313528826412,71291.30027577408,rebal
000657,中钨高新,False,2021-10-19,2021-11-17,-0.0379887875960819,-60739.22186807215,rebal
300757,罗博特科,False,2021-10-19,2021-11-17,0.35227727433916683,563246.391347673,rebal
300475,香农芯创,False,2021-10-19,2021-11-17,0.07903328708108064,126364.13696645333,rebal
601899,紫金矿业,False,2021-10-19,2021-11-17,-0.14172376355017294,-226598.20602276825,rebal
600460,士兰微,False,2021-10-19,2021-11-17,-0.00174253962162893,-2584.2607017053733,rebal
688037,芯源微,False,2021-10-19,2021-12-16,0.06519126072239749,114188.1381409317,rebal
688981,中芯国际,True,2021-11-17,2021-12-16,-0.039682739385091,-75689.77015895008,rebal
002384,东山精密,False,2021-11-17,2021-12-16,0.03398343398075949,64819.0711395778,rebal
300604,长川科技,False,2021-11-17,2021-12-16,0.1897939389292493,362007.7604953316,rebal
300373,扬杰科技,False,2021-11-17,2021-12-16,0.2932201505200452,559280.0835512194,rebal
688012,中微公司,False,2021-11-17,2021-12-16,-0.11887627879507036,-226741.35805076585,rebal
688195,腾景科技,True,2021-11-17,2021-12-16,-0.12343815360048555,-235442.55310096202,rebal
601088,中国神华,False,2021-12-16,2022-01-17,-0.04765323029628328,-81953.09395026807,rebal
600030,中信证券,False,2021-12-16,2022-01-17,-0.044974168314428055,-77345.69552349873,rebal
601288,农业银行,False,2021-12-16,2022-01-17,-0.0014266100238506383,-2453.4560320068026,rebal
600900,长江电力,False,2021-12-16,2022-01-17,0.026835377384886238,46150.95745536501,rebal
601600,中国铝业,False,2021-12-16,2022-01-17,-0.0561716530264608,-96602.91084565672,rebal
603186,华正新材,False,2021-12-16,2022-01-17,-0.13002159808942934,-223608.60276492292,rebal
300757,罗博特科,False,2021-12-16,2022-01-17,-0.016571048002077295,-28498.56442732202,rebal
601899,紫金矿业,False,2021-12-16,2022-02-22,0.12144997330330654,211647.74031227521,rebal
688012,中微公司,False,2022-01-17,2022-02-22,0.034602105135543744,57099.69200947523,rebal
601138,工业富联,False,2022-01-17,2022-02-22,-0.023861635809214955,-39375.98739184423,rebal
300666,江丰电子,False,2022-01-17,2022-02-22,-0.07094960962572956,-117079.60662948828,rebal
688981,中芯国际,True,2022-01-17,2022-02-22,-0.02838449345318129,-46839.51533216879,rebal
601689,拓普集团,False,2022-01-17,2022-02-22,-0.06651488771235337,-109761.51848399738,rebal
002371,北方华创,False,2022-01-17,2022-02-22,-0.13829230126176467,-228207.15035678537,rebal
688195,腾景科技,True,2022-01-17,2022-02-22,-0.3518504227477073,-580616.4305205946,rebal
300394,天孚通信,False,2022-02-22,2022-03-23,-0.22793880854439144,-354467.6262244039,rebal
300308,中际旭创,False,2022-02-22,2022-03-23,-0.09462937665449415,-147158.137431788,rebal
600111,北方稀土,False,2022-02-22,2022-03-23,-0.13209234364180852,-205416.79493780172,rebal
002384,东山精密,False,2022-02-22,2022-03-23,-0.10008904472708965,-155648.4668935619,rebal
688008,澜起科技,False,2022-02-22,2022-03-23,-0.024329801864078196,-37835.27328383975,rebal
688126,沪硅产业 - U,True,2022-02-22,2022-03-23,0.08950535869338595,139189.77743638377,rebal
601600,中国铝业,False,2022-02-22,2022-03-23,-0.03273889433881566,-50912.2524400293,rebal
300620,光库科技,False,2022-02-22,2022-03-23,-0.13726072617348264,-213454.1462739846,rebal
603986,兆易创新,False,2022-03-23,2022-04-25,-0.2303802206420957,-328726.5578882252,rebal
601288,农业银行,False,2022-03-23,2022-04-25,0.03082125560660877,43978.45108887945,rebal
600030,中信证券,False,2022-03-23,2022-04-25,-0.09523382432432706,-135887.91250140712,rebal
688981,中芯国际,True,2022-03-23,2022-04-25,-0.18684400723913305,-266605.2979312925,rebal
300604,长川科技,False,2022-03-23,2022-04-25,-0.2866658811060435,-409039.83899894776,rebal
603186,华正新材,False,2022-03-23,2022-04-26,-0.32049702266805397,-535087.501458228,trail
300054,鼎龙股份,False,2022-03-23,2022-05-27,-0.08943195462438779,-139860.4011965409,rebal
600900,长江电力,False,2022-03-23,2022-05-27,0.09691790800018876,138290.90972234393,rebal
601689,拓普集团,False,2022-04-25,2022-05-27,0.15940007650029303,190337.40554805056,rebal
002371,北方华创,False,2022-04-25,2022-05-27,0.11256463154630128,134411.8547205079,rebal
300502,新易盛,False,2022-04-25,2022-05-27,0.12152309451507635,145109.030259014,rebal
600460,士兰微,False,2022-04-25,2022-05-27,0.11666951948919836,102920.4661733108,rebal
688256,寒武纪,True,2022-04-25,2022-06-28,0.33861168673137776,417709.7925273083,rebal
000657,中钨高新,False,2022-05-27,2022-06-28,0.2590487534234942,337636.55480457953,rebal
603259,药明康德,False,2022-05-27,2022-06-28,0.10953736748835205,142767.79522142306,rebal
300757,罗博特科,False,2022-05-27,2022-06-28,0.6413026320224825,835855.0597199756,rebal
300373,扬杰科技,False,2022-05-27,2022-06-28,-0.08070291036102079,-105185.80868232273,rebal
002466,天齐锂业,False,2022-05-27,2022-06-28,0.33547398681651,437246.9646673489,rebal
301018,申菱环境,True,2022-05-27,2022-06-28,0.1740895219714003,226903.1819269462,rebal
601600,中国铝业,False,2022-05-27,2022-06-28,-0.022315273243687955,-29085.073284271915,rebal
600030,中信证券,False,2022-06-28,2022-07-27,-0.10823692906071015,-170757.8085453805,rebal
002837,英维克,False,2022-06-28,2022-07-27,0.15571940379654872,245667.5773328468,rebal
601869,长飞光纤,False,2022-06-28,2022-07-27,0.12799663230423464,201931.30591501432,rebal
300620,光库科技,False,2022-06-28,2022-07-27,0.029133419747128006,45961.7521914535,rebal
603186,华正新材,False,2022-06-28,2022-07-27,-0.01467203448498737,-23147.03934507818,rebal
002050,三花智控,False,2022-06-28,2022-07-27,0.11984314839952218,189068.12644696227,rebal
300666,江丰电子,False,2022-06-28,2022-08-25,0.39532658076968136,623679.0084288655,rebal
300308,中际旭创,False,2022-06-28,2022-08-25,-0.06702315508254192,-106353.58730916488,rebal
002384,东山精密,False,2022-07-27,2022-08-25,0.1833784608966546,308801.2347859578,rebal
301018,申菱环境,True,2022-07-27,2022-08-25,0.17106775052540932,288070.5418510048,rebal
300661,圣邦股份,False,2022-07-27,2022-08-25,-0.00011788662097541664,-198.51586682510415,rebal
300604,长川科技,False,2022-07-27,2022-08-25,0.11075321156536623,186503.52020987784,rebal
300394,天孚通信,False,2022-07-27,2022-08-25,0.05820056101985387,88786.98473142757,rebal
688195,腾景科技,True,2022-07-27,2022-09-26,-0.09743371556226157,-213608.8438552512,rebal
688008,澜起科技,False,2022-08-25,2022-09-26,-0.047268681414664795,-116344.30951329146,rebal
002837,英维克,False,2022-08-25,2022-09-26,-0.1304800159192399,-321155.7188201481,rebal
300757,罗博特科,False,2022-08-25,2022-09-26,-0.16412025884285794,-403955.8037320466,rebal
601869,长飞光纤,False,2022-08-25,2022-09-26,0.23722702892842154,583896.441630041,rebal
600183,生益科技,False,2022-08-25,2022-11-01,-0.16088843895194557,-347589.4629667009,rebal
601995,中金公司,True,2022-09-26,2022-11-01,-0.017463008350714022,-29438.468421542217,rebal
601398,工商银行,False,2022-09-26,2022-11-01,-0.09285692734998173,-156534.63988649516,rebal
002050,三花智控,False,2022-09-26,2022-11-01,-0.233280811280936,-393255.82730794436,rebal
601288,农业银行,False,2022-09-26,2022-11-01,-0.06949711444102552,-117155.56493888889,rebal
600276,恒瑞医药,False,2022-09-26,2022-11-01,0.2988281246092778,503752.9693112246,rebal
601138,工业富联,False,2022-09-26,2022-11-30,0.08539687874871797,143958.77662393797,rebal
600460,士兰微,False,2022-09-26,2022-11-30,0.08705092169605845,152224.15864852237,rebal
300373,扬杰科技,False,2022-11-01,2022-11-30,0.0829580175431345,138291.16318098942,rebal
300308,中际旭创,False,2022-11-01,2022-11-30,-0.043578952750467324,-72646.19194808925,rebal
