代码,名称,最早日期,最晚日期,数据条数
159301,自由现金流ETF,2024-07-22,2026-07-29,490
159509,纳指科技ETF,2023-08-08,2026-07-29,720
159782,科创50ETF,2021-07-07,2026-07-28,1226
159819,人工智能ETF,2020-09-23,2026-07-29,1415
159915,创业板ETF,2020-01-02,2026-07-28,1590
159937,博时黄金ETF,2020-01-02,2026-07-28,1591
159992,创新药ETF,2020-04-10,2026-07-29,1528
159995,芯片ETF,2020-02-10,2026-07-28,1570
510050,上证50ETF,2020-01-02,2026-07-28,1591
510300,沪深300ETF,2020-01-02,2026-07-28,1591
510880,红利ETF,2020-01-02,2026-07-28,1591
511010,国债ETF,2020-01-02,2026-07-28,1591
511260,十年国债ETF,2020-01-02,2026-07-28,1591
512010,医药ETF,2020-01-02,2026-07-28,1590
512480,半导体ETF,2020-01-02,2026-07-28,1590
512890,中证红利低波ETF,2020-01-02,2026-07-28,1590
513050,中概互联ETF,2020-01-02,2026-07-29,1592
513100,纳指ETF,2020-01-02,2026-07-28,1590
513180,恒生科技ETF,2021-05-25,2026-07-29,1257
515050,5G通信ETF,2020-01-02,2026-07-28,1591
515880,通信ETF,2020-01-02,2026-07-28,1591
518800,黄金ETF,2020-01-02,2026-07-27,1590
518880,华安黄金ETF,2020-01-02,2026-07-28,1591
588000,华夏科创50ETF,2020-11-16,2026-07-28,1382
588080,易方达科创50ETF,2020-11-16,2026-07-27,1381
588170,科创半导体ETF,2025-04-08,2026-07-27,317
588200,科创芯片ETF,2022-10-26,2026-07-28,911
588220,科创100ETF,2023-09-15,2026-07-29,692
588300,科创芯片ETF,2021-07-05,2026-07-28,1228
588380,科创100ETF,2021-07-06,2026-07-28,1227
588870,科创200ETF,2025-01-27,2026-07-28,362
588890,科创AIETF,2024-04-23,2026-07-28,549
589720,半导体设备ETF,2025-08-01,2026-07-28,239
