序号,代码,名称,买入日,卖出日,买价,卖价,收益率%,盈亏金额,持仓天数,牛熊,池模式,退出原因
1,512010,医药ETF,2020-04-03,2020-05-28,0.4953,0.5337,7.76,776019.0,55,熊,all,趋势转空(MA6<MA15)
2,513050,中概互联ETF,2020-05-28,2020-07-15,1.5469,1.9349,25.09,2703565.0,48,牛,all,Trail止损3%
3,159995,芯片ETF,2020-07-15,2020-07-16,0.7084,0.6436,-9.14,-1231973.0,1,牛,all,Trail止损3%
4,159995,芯片ETF,2020-07-16,2020-07-20,0.6444,0.6686,3.77,461463.0,4,牛,all,趋势转空(MA6<MA15)
5,159992,创新药ETF,2020-07-20,2020-07-24,1.3948,1.4242,2.11,268343.0,4,牛,all,Trail止损3%
6,159992,创新药ETF,2020-07-24,2020-08-07,1.4258,1.5372,7.81,1013688.0,14,牛,all,Trail止损3%
7,159992,创新药ETF,2020-08-07,2020-08-12,1.5388,1.4542,-5.5,-769598.0,5,牛,all,Trail止损3%
8,512480,半导体ETF,2020-08-12,2020-08-13,0.5773,0.5727,-0.8,-106092.0,1,牛,all,趋势转空(MA6<MA15)
9,510050,上证50ETF,2020-08-19,2020-08-27,3.0497,3.0373,-0.4,-53103.0,8,牛,all,趋势转空(MA6<MA15)
10,159915,创业板ETF,2020-08-31,2020-09-07,2.6385,2.5476,-3.44,-449787.0,7,牛,all,Trail止损3%
11,513100,纳指ETF,2020-09-07,2020-09-09,0.8975,0.8955,-0.22,-27911.0,2,牛,all,Trail止损3%
12,510050,上证50ETF,2020-09-22,2020-09-24,3.0207,2.9664,-1.8,-226194.0,2,牛,all,趋势转空(MA6<MA15)
13,513050,中概互联ETF,2020-10-15,2020-10-26,2.0711,2.0789,0.37,46050.0,11,牛,all,趋势转空(MA6<MA15)
14,513050,中概互联ETF,2020-10-30,2020-11-10,2.1452,2.1888,2.03,252211.0,11,牛,all,Trail止损3%
15,512480,半导体ETF,2020-11-10,2020-11-11,0.5653,0.5357,-5.24,-662835.0,1,牛,all,Trail止损3%
16,512480,半导体ETF,2020-11-11,2020-11-19,0.5363,0.5387,0.45,53870.0,8,牛,all,趋势转空(MA6<MA15)
17,513050,中概互联ETF,2020-11-30,2020-12-03,2.1172,2.0809,-1.71,-206616.0,3,牛,all,趋势转空(MA6<MA15)
18,512480,半导体ETF,2020-12-03,2020-12-09,0.5493,0.5387,-1.93,-228466.0,6,牛,all,Trail止损3%
19,159995,芯片ETF,2020-12-09,2020-12-14,0.6033,0.6097,1.05,121892.0,5,牛,all,趋势转空(MA6<MA15)
20,159992,创新药ETF,2020-12-24,2021-01-14,1.3668,1.3712,0.33,38585.0,21,牛,all,Trail止损3%
21,510300,沪深300ETF,2021-01-14,2021-01-20,5.0548,5.0462,-0.17,-19927.0,6,牛,all,趋势转空(MA6<MA15)
22,510050,上证50ETF,2021-01-20,2021-01-26,3.55,3.546,-0.11,-12921.0,6,牛,all,趋势转空(MA6<MA15)
23,159995,芯片ETF,2021-01-26,2021-01-27,0.6794,0.6746,-0.7,-81993.0,1,牛,all,趋势转空(MA6<MA15)
24,513050,中概互联ETF,2021-01-27,2021-01-28,2.4183,2.3157,-4.24,-494631.0,1,牛,all,Trail止损3%
25,513050,中概互联ETF,2021-01-28,2021-02-23,2.3183,2.4546,5.88,656712.0,26,牛,all,Trail止损3%
26,512010,医药ETF,2021-02-23,2021-02-24,0.8034,0.7666,-4.59,-542341.0,1,牛,all,Trail止损3%
27,510880,红利ETF,2021-02-24,2021-03-10,2.0081,2.0119,0.19,21280.0,14,牛,all,Trail止损3%
28,510880,红利ETF,2021-03-10,2021-03-24,2.0141,2.0399,1.28,144573.0,14,牛,all,Trail止损3%
29,512890,中证红利低波ETF,2021-03-24,2021-03-25,0.6974,0.6956,-0.25,-28982.0,1,牛,all,趋势转空(MA6<MA15)
30,159819,人工智能ETF,2021-04-27,2021-05-06,0.9025,0.8795,-2.55,-290655.0,9,熊,all,趋势转空(MA6<MA15)
31,159992,创新药ETF,2021-05-06,2021-05-27,1.4718,1.5571,5.8,644972.0,21,熊,all,趋势转空(MA6<MA15)
32,513100,纳指ETF,2021-05-27,2021-06-04,0.8975,0.8875,-1.11,-130895.0,8,熊,all,趋势转空(MA6<MA15)
33,510050,上证50ETF,2021-06-04,2021-06-11,3.3508,3.3172,-1.0,-116935.0,7,熊,all,趋势转空(MA6<MA15)
34,512480,半导体ETF,2021-06-16,2021-07-02,0.5493,0.6416,16.81,1936895.0,16,牛,all,Trail止损3%
35,512480,半导体ETF,2021-07-02,2021-07-13,0.6424,0.6566,2.22,299304.0,11,牛,all,Trail止损3%
36,512480,半导体ETF,2021-07-13,2021-07-15,0.6574,0.6546,-0.41,-56959.0,2,牛,all,趋势转空(MA6<MA15)
37,159995,芯片ETF,2021-07-15,2021-07-19,0.7854,0.7696,-2.02,-276570.0,4,牛,all,趋势转空(MA6<MA15)
38,512890,中证红利低波ETF,2021-07-21,2021-07-27,0.7474,0.7106,-4.92,-660989.0,6,牛,all,Trail止损3%
39,512480,半导体ETF,2021-07-28,2021-08-03,0.7074,0.6976,-1.38,-176325.0,6,牛,all,Trail止损3%
40,512480,半导体ETF,2021-08-03,2021-08-10,0.6984,0.6916,-0.97,-121914.0,7,熊,all,趋势转空(MA6<MA15)
41,159995,芯片ETF,2021-08-10,2021-08-17,0.8555,0.7956,-7.0,-872903.0,7,熊,all,Trail止损6%
42,512890,中证红利低波ETF,2021-08-19,2021-09-24,0.7414,0.8355,12.7,1471764.0,36,熊,def,趋势转空(MA6<MA15)
43,510050,上证50ETF,2021-11-22,2021-11-29,2.9976,2.9694,-0.94,-123252.0,7,熊,def,趋势转空(MA6<MA15)
44,510050,上证50ETF,2021-12-15,2021-12-21,3.0947,3.0453,-1.6,-206469.0,6,牛,def,趋势转空(MA6<MA15)
45,515050,5G通信ETF,2021-12-29,2022-01-05,0.4132,0.4098,-0.84,-106396.0,7,牛,all,Trail止损3%
46,515050,5G通信ETF,2022-01-05,2022-01-06,0.4102,0.4088,-0.35,-44648.0,1,牛,all,趋势转空(MA6<MA15)
47,513100,纳指ETF,2022-01-06,2022-01-07,1.0306,1.0374,0.67,83790.0,1,牛,all,趋势转空(MA6<MA15)
48,512890,中证红利低波ETF,2022-01-14,2022-01-21,0.8104,0.8205,1.25,157902.0,7,熊,all,趋势转空(MA6<MA15)
49,159819,人工智能ETF,2022-01-21,2022-01-27,1.0126,0.9305,-8.11,-1039445.0,6,熊,all,Trail止损6%
50,159937,博时黄金ETF,2022-01-27,2022-02-07,3.608,3.618,0.28,32748.0,11,熊,all,趋势转空(MA6<MA15)
51,510880,红利ETF,2022-02-14,2022-03-02,2.3243,2.3817,2.47,291913.0,16,熊,all,趋势转空(MA6<MA15)
52,510880,红利ETF,2022-03-08,2022-03-15,2.3063,2.1158,-8.26,-999926.0,7,熊,all,Trail止损6%
53,518800,黄金ETF,2022-03-15,2022-03-22,4.0302,4.0558,0.63,70440.0,7,熊,def,趋势转空(MA6<MA15)
54,510880,红利ETF,2022-03-25,2022-04-18,2.3483,2.4367,3.76,420726.0,24,熊,def,趋势转空(MA6<MA15)
55,512890,中证红利低波ETF,2022-05-17,2022-05-26,0.8365,0.8405,0.49,56554.0,9,熊,def,趋势转空(MA6<MA15)
56,510880,红利ETF,2022-06-16,2022-06-23,2.3613,2.3237,-1.59,-185514.0,7,熊,def,趋势转空(MA6<MA15)
57,510050,上证50ETF,2022-07-06,2022-07-08,2.8015,2.7935,-0.29,-33076.0,2,牛,def,趋势转空(MA6<MA15)
58,512890,中证红利低波ETF,2022-09-16,2022-09-23,0.8615,0.8515,-1.15,-132016.0,7,熊,def,趋势转空(MA6<MA15)
59,510880,红利ETF,2022-12-02,2022-12-12,2.4193,2.4027,-0.69,-77825.0,10,熊,def,趋势转空(MA6<MA15)
60,512890,中证红利低波ETF,2023-01-06,2023-03-14,0.8275,0.8785,6.17,692945.0,67,牛,def,趋势转空(MA6<MA15)
61,512480,半导体ETF,2023-03-14,2023-03-28,0.4532,0.4657,2.76,328653.0,14,牛,all,Trail止损3%
62,515880,通信ETF,2023-03-28,2023-04-10,0.1761,0.1879,6.7,820893.0,13,牛,all,Trail止损3%
63,588200,科创芯片ETF,2023-04-10,2023-04-13,0.4813,0.4687,-2.6,-340125.0,3,牛,all,Trail止损3%
64,588200,科创芯片ETF,2023-04-13,2023-04-21,0.4693,0.4867,3.72,474096.0,8,牛,all,Trail止损3%
65,588200,科创芯片ETF,2023-04-21,2023-04-25,0.4873,0.4677,-4.01,-529161.0,4,牛,all,Trail止损3%
66,510880,红利ETF,2023-05-10,2023-05-17,2.7285,2.6655,-2.31,-292540.0,7,熊,all,趋势转空(MA6<MA15)
67,515880,通信ETF,2023-05-23,2023-06-26,0.1711,0.2109,23.26,2880027.0,34,熊,all,Trail止损6%
68,515880,通信ETF,2023-06-26,2023-07-04,0.2111,0.2179,3.2,489050.0,8,熊,all,趋势转空(MA6<MA15)
69,515050,5G通信ETF,2023-07-07,2023-07-14,0.3532,0.3638,3.0,473029.0,7,熊,all,趋势转空(MA6<MA15)
70,513050,中概互联ETF,2023-07-17,2023-07-25,1.0386,1.0584,1.91,310073.0,8,熊,all,趋势转空(MA6<MA15)
71,513100,纳指ETF,2023-07-25,2023-08-01,1.1286,1.1524,2.1,347909.0,7,熊,all,趋势转空(MA6<MA15)
72,513180,恒生科技ETF,2023-08-01,2023-08-10,0.6123,0.5947,-2.88,-487047.0,9,熊,all,趋势转空(MA6<MA15)
73,510880,红利ETF,2023-08-30,2023-09-08,2.6124,2.5966,-0.61,-99576.0,9,熊,all,趋势转空(MA6<MA15)
74,513050,中概互联ETF,2023-09-08,2023-09-12,1.0356,1.0384,0.28,44999.0,4,牛,all,趋势转空(MA6<MA15)
75,510050,上证50ETF,2023-09-12,2023-09-19,2.4363,2.4337,-0.11,-17967.0,7,熊,all,趋势转空(MA6<MA15)
76,159992,创新药ETF,2023-10-18,2023-10-25,0.8445,0.8126,-3.78,-616882.0,7,熊,all,趋势转空(MA6<MA15)
77,518800,黄金ETF,2023-12-05,2023-12-12,4.8016,4.7524,-1.03,-161126.0,7,熊,def,趋势转空(MA6<MA15)
78,510880,红利ETF,2024-01-11,2024-01-18,2.5804,2.5546,-1.0,-155585.0,7,熊,def,趋势转空(MA6<MA15)
79,512890,中证红利低波ETF,2024-02-01,2024-03-05,0.9465,1.0174,7.49,1153187.0,33,熊,def,趋势转空(MA6<MA15)
80,510880,红利ETF,2024-03-12,2024-03-15,2.8025,2.7845,-0.64,-106688.0,3,牛,def,趋势转空(MA6<MA15)
81,510880,红利ETF,2024-04-22,2024-04-25,2.9376,2.9064,-1.06,-174658.0,3,牛,def,趋势转空(MA6<MA15)
82,513050,中概互联ETF,2024-04-30,2024-05-23,1.0106,1.0954,8.4,1365341.0,23,牛,all,Trail止损3%
83,513050,中概互联ETF,2024-05-23,2024-05-27,1.0966,1.0944,-0.2,-35446.0,4,牛,all,趋势转空(MA6<MA15)
84,515050,5G通信ETF,2024-06-11,2024-06-24,0.3142,0.3328,5.93,1044007.0,13,牛,all,Trail止损3%
85,159509,纳指科技ETF,2024-06-24,2024-06-25,1.6759,1.6181,-3.45,-642878.0,1,牛,all,Trail止损3%
86,159509,纳指科技ETF,2024-06-25,2024-07-02,1.6199,1.6961,4.7,846163.0,7,熊,all,趋势转空(MA6<MA15)
87,159509,纳指科技ETF,2024-07-05,2024-07-18,1.6599,1.6491,-0.65,-122806.0,13,熊,all,Trail止损6%
88,588200,科创芯片ETF,2024-07-18,2024-07-25,0.3312,0.3188,-3.73,-698396.0,7,熊,all,Trail止损6%
89,588890,科创AIETF,2024-07-25,2024-08-01,1.0726,1.1374,6.04,1088329.0,7,熊,all,趋势转空(MA6<MA15)
90,159992,创新药ETF,2024-08-09,2024-08-16,0.6313,0.6317,0.05,9241.0,7,熊,all,趋势转空(MA6<MA15)
91,513100,纳指ETF,2024-08-19,2024-08-29,1.4428,1.4062,-2.53,-484492.0,10,熊,all,趋势转空(MA6<MA15)
92,159915,创业板ETF,2024-10-09,2024-10-11,2.2432,2.0589,-8.22,-1531299.0,2,熊,all,Trail止损6%
93,510050,上证50ETF,2024-10-11,2024-10-17,2.6605,2.5756,-3.19,-545575.0,6,牛,def,Trail止损3%
94,588200,科创芯片ETF,2024-10-17,2024-10-23,0.4082,0.4597,12.62,2089414.0,6,牛,all,Trail止损3%
95,512480,半导体ETF,2024-10-23,2024-11-01,0.4883,0.4717,-3.39,-631113.0,9,牛,all,Trail止损3%
96,513100,纳指ETF,2024-11-01,2024-11-04,1.4428,1.4422,-0.04,-7326.0,3,牛,all,趋势转空(MA6<MA15)
97,515880,通信ETF,2024-11-05,2024-11-14,0.2391,0.2409,0.73,130715.0,9,牛,all,Trail止损3%
98,159995,芯片ETF,2024-11-14,2024-11-15,0.6394,0.6107,-4.49,-813782.0,1,牛,all,Trail止损3%
99,588890,科创AIETF,2024-11-15,2024-11-19,1.6009,1.6341,2.08,359475.0,4,牛,all,趋势转空(MA6<MA15)
100,518880,华安黄金ETF,2024-11-26,2024-12-04,5.8472,5.9257,1.34,237463.0,8,牛,all,趋势转空(MA6<MA15)
101,159992,创新药ETF,2024-12-04,2024-12-16,0.7314,0.7256,-0.79,-142136.0,12,牛,all,Trail止损3%
102,513180,恒生科技ETF,2024-12-16,2024-12-20,0.6073,0.6157,1.37,243754.0,4,牛,all,趋势转空(MA6<MA15)
103,159509,纳指科技ETF,2024-12-20,2024-12-30,1.5779,1.6131,2.23,402544.0,10,牛,all,趋势转空(MA6<MA15)
104,588200,科创芯片ETF,2024-12-30,2024-12-31,0.5093,0.4877,-4.23,-779540.0,1,牛,all,Trail止损3%
