序号,代码,名称,买入日,卖出日,买价,卖价,收益率%,盈亏金额,持仓天数,买入牛熊,买入池,买入MA6,买入MA15,买入MA8斜率,买入MA60,买入ratio,买入回撤%,卖出牛熊,卖出池,峰值价,退出类型,触发详情
1,512010,医药ETF,2020-04-03,2020-05-29,0.4953,0.5397,8.97,897098.0,56,熊,all,0.4882,0.4719,0.00854,0.4858,1.0344,5.71,熊,all,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0001<0"
2,513050,中概互联ETF,2020-05-29,2020-07-15,1.5499,1.9349,24.85,2707542.0,47,熊,all,1.5615,1.5466,0.003036,1.4505,1.0096,3.19,牛,all,,Trail止损3%,价1.936≤peak2.037×(1-3%)
3,159995,芯片ETF,2020-07-15,2020-07-16,0.7084,0.6436,-9.14,-1243403.0,1,牛,all,0.7262,0.6504,0.027208,0.5597,1.1165,7.57,牛,all,,Trail止损3%,价0.644≤peak0.708×(1-3%)
4,159995,芯片ETF,2020-07-16,2020-07-21,0.6444,0.6656,3.3,408224.0,5,牛,all,0.7312,0.6593,0.023581,0.5635,1.1091,15.93,牛,all,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0061<0"
5,159992,创新药ETF,2020-07-21,2020-07-24,1.4498,1.4242,-1.76,-225309.0,3,牛,all,1.4235,1.3485,0.00857,1.1727,1.0556,4.1,牛,all,,Trail止损3%,价1.425≤peak1.516×(1-3%)
6,159992,创新药ETF,2020-07-24,2020-08-07,1.4258,1.5372,7.81,979845.0,14,牛,all,1.4347,1.3912,0.007268,1.1937,1.0312,6.19,牛,all,,Trail止损3%,价1.538≤peak1.613×(1-3%)
7,159992,创新药ETF,2020-08-07,2020-08-12,1.5388,1.4542,-5.5,-743904.0,5,牛,all,1.5688,1.499,0.010343,1.2715,1.0466,6.11,牛,all,,Trail止损3%,价1.455≤peak1.538×(1-3%)
8,512480,半导体ETF,2020-08-12,2020-08-14,0.5773,0.5797,0.41,52324.0,2,牛,all,0.597,0.5815,0.004621,0.5346,1.0267,12.58,牛,all,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0028<0"
9,510050,上证50ETF,2020-08-19,2020-08-27,3.0497,3.0373,-0.4,-51957.0,8,牛,all,3.041,3.0256,0.00208,2.8296,1.0051,3.18,牛,all,,MA6死叉,MA6<MA15(MA8斜率0.0016仍正)
10,510880,红利ETF,2020-08-27,2020-08-28,1.9861,2.0169,1.55,198187.0,1,牛,all,2.0275,2.0063,0.002389,1.8552,1.0106,4.52,牛,all,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0007<0"
11,159915,创业板ETF,2020-08-31,2020-09-07,2.6385,2.5476,-3.44,-446906.0,7,牛,all,2.5955,2.581,0.000383,2.4879,1.0056,5.62,牛,all,,Trail止损3%,价2.549≤peak2.676×(1-3%)
12,513100,纳指ETF,2020-09-07,2020-09-09,0.8975,0.8955,-0.22,-27733.0,2,牛,all,1.0063,0.9189,0.018736,0.8102,1.0951,16.94,牛,all,,Trail止损3%,价0.896≤peak0.945×(1-3%)
13,513100,纳指ETF,2020-09-09,2020-09-10,0.8965,0.9215,2.79,348694.0,1,牛,all,0.9848,0.9334,0.001967,0.8159,1.0551,17.04,牛,all,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0023<0"
14,510050,上证50ETF,2020-09-22,2020-09-25,3.0207,2.9774,-1.43,-184234.0,3,牛,all,3.053,3.0443,0.002261,3.0186,1.0029,4.43,牛,all,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0003<0"
15,513050,中概互联ETF,2020-10-15,2020-10-27,2.0711,2.1238,2.54,322304.0,12,牛,all,2.05,1.9914,0.010544,1.9885,1.0294,3.09,牛,all,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0015<0"
16,513050,中概互联ETF,2020-10-30,2020-11-10,2.1452,2.1888,2.03,264131.0,11,牛,all,2.1313,2.1075,0.005744,2.0224,1.0113,4.03,牛,all,,Trail止损3%,价2.190≤peak2.270×(1-3%)
17,512480,半导体ETF,2020-11-10,2020-11-11,0.5653,0.5357,-5.24,-694165.0,1,牛,all,0.5323,0.5116,0.01301,0.5248,1.0405,3.91,牛,all,,Trail止损3%,价0.536≤peak0.565×(1-3%)
18,512480,半导体ETF,2020-11-11,2020-11-20,0.5363,0.5357,-0.11,-13809.0,9,牛,all,0.541,0.5148,0.016682,0.5244,1.0509,8.84,牛,all,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0018<0"
19,513050,中概互联ETF,2020-11-30,2020-12-04,2.1172,2.1048,-0.58,-73024.0,4,牛,all,2.1312,2.1276,0.001446,2.0768,1.0017,7.96,牛,all,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0010<0"
20,159995,芯片ETF,2020-12-04,2020-12-09,0.6243,0.6027,-3.47,-433047.0,5,牛,all,0.6102,0.6061,0.00357,0.5904,1.0068,4.73,牛,all,,Trail止损3%,价0.603≤peak0.624×(1-3%)
21,159995,芯片ETF,2020-12-09,2020-12-15,0.6033,0.6047,0.22,26655.0,6,牛,all,0.6213,0.6102,0.003793,0.591,1.0182,5.78,牛,all,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0012<0"
22,518880,华安黄金ETF,2021-01-11,2021-01-13,3.7791,3.7949,0.42,50563.0,2,牛,def,3.8973,3.8637,0.001794,3.854,1.0087,4.11,牛,def,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0008<0"
23,510050,上证50ETF,2021-01-14,2021-01-27,3.552,3.552,0.0,317.0,13,牛,def,3.5542,3.4049,0.00991,3.2276,1.0438,3.32,牛,def,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0003<0"
24,513050,中概互联ETF,2021-01-27,2021-01-28,2.4183,2.3157,-4.24,-514153.0,1,牛,all,2.3683,2.2249,0.016896,2.1297,1.0645,3.17,牛,all,,Trail止损3%,价2.317≤peak2.417×(1-3%)
25,513050,中概互联ETF,2021-01-28,2021-02-23,2.3183,2.4546,5.88,682631.0,26,牛,all,2.3962,2.2443,0.015592,2.1338,1.0677,7.17,牛,all,,Trail止损3%,价2.456≤peak2.570×(1-3%)
26,512010,医药ETF,2021-02-23,2021-02-24,0.8034,0.7666,-4.59,-563746.0,1,牛,all,0.852,0.8211,0.004508,0.7494,1.0376,11.47,牛,all,,Trail止损3%,价0.767≤peak0.803×(1-3%)
27,510880,红利ETF,2021-02-24,2021-03-10,2.0081,2.0119,0.19,22120.0,14,牛,all,1.9818,1.9129,0.011938,1.9862,1.0361,4.47,牛,all,,Trail止损3%,价2.013≤peak2.082×(1-3%)
28,510880,红利ETF,2021-03-10,2021-03-24,2.0141,2.0399,1.28,150279.0,14,牛,all,2.049,2.0255,0.000619,1.968,1.0116,4.46,牛,all,,Trail止损3%,价2.041≤peak2.115×(1-3%)
29,512890,中证红利低波ETF,2021-03-24,2021-03-26,0.6974,0.7006,0.46,55114.0,2,牛,all,0.7113,0.7033,0.003918,0.6741,1.0114,3.06,牛,all,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0014<0"
30,159819,人工智能ETF,2021-04-27,2021-05-06,0.9025,0.8795,-2.55,-304297.0,9,熊,all,0.9237,0.9049,0.005457,0.913,1.0208,3.53,熊,all,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0028<0"
31,159992,创新药ETF,2021-05-06,2021-05-28,1.4718,1.5222,3.42,398443.0,22,熊,all,1.4888,1.4159,0.012993,1.392,1.0515,5.58,熊,all,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0001<0"
32,513100,纳指ETF,2021-05-28,2021-06-07,0.8975,0.8995,0.22,26997.0,10,熊,all,0.8937,0.8888,0.003101,0.89,1.0055,3.76,熊,all,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0004<0"
33,510050,上证50ETF,2021-06-07,2021-06-15,3.3428,3.2682,-2.23,-269529.0,8,熊,all,3.3693,3.3287,0.002561,3.2696,1.0122,3.3,熊,all,,趋势全空,MA6<MA15且MA8斜率-0.0021<0
34,512480,半导体ETF,2021-06-16,2021-07-02,0.5493,0.6416,16.81,1984115.0,16,熊,all,0.5623,0.542,0.005984,0.4912,1.0375,4.02,牛,all,,Trail止损3%,价0.642≤peak0.668×(1-3%)
35,512480,半导体ETF,2021-07-02,2021-07-13,0.6424,0.6566,2.22,306601.0,11,牛,all,0.6405,0.6073,0.011041,0.5264,1.0547,5.03,牛,all,,Trail止损3%,价0.657≤peak0.694×(1-3%)
36,512480,半导体ETF,2021-07-13,2021-07-16,0.6574,0.6436,-2.09,-294043.0,3,牛,all,0.6792,0.6526,0.007989,0.5485,1.0407,6.41,牛,all,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0000<0"
37,159995,芯片ETF,2021-07-16,2021-07-20,0.7694,0.7866,2.23,307466.0,4,牛,all,0.7992,0.7827,0.001335,0.6689,1.021,7.9,牛,all,,趋势全空,MA6<MA15且MA8斜率-0.0019<0
38,512890,中证红利低波ETF,2021-07-21,2021-07-27,0.7474,0.7106,-4.92,-694587.0,6,牛,all,0.7467,0.7454,0.001259,0.7457,1.0017,5.92,牛,all,,Trail止损3%,价0.711≤peak0.751×(1-3%)
39,159819,人工智能ETF,2021-07-27,2021-07-28,1.0106,0.9915,-1.89,-253504.0,1,牛,all,1.028,1.0156,0.000732,0.9565,1.0122,3.81,牛,all,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0002<0"
40,512480,半导体ETF,2021-07-28,2021-08-03,0.7074,0.6976,-1.38,-181785.0,6,牛,all,0.7012,0.6803,0.011754,0.5842,1.0307,9.82,牛,all,,Trail止损3%,价0.698≤peak0.771×(1-3%)
41,512480,半导体ETF,2021-08-03,2021-08-10,0.6984,0.6916,-0.97,-125690.0,7,牛,all,0.7388,0.6963,0.016741,0.6009,1.0611,10.97,熊,all,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0008<0"
42,159995,芯片ETF,2021-08-10,2021-08-17,0.8555,0.7956,-7.0,-899935.0,7,熊,all,0.88,0.8621,0.0046,0.7422,1.0208,8.26,熊,all,,Trail止损6%,价0.796≤peak0.864×(1-6%)
43,512890,中证红利低波ETF,2021-08-19,2021-09-27,0.7414,0.8185,10.4,1243467.0,39,熊,def,0.7497,0.7274,0.006727,0.7448,1.0306,3.01,熊,def,,Trail止损6%,价0.819≤peak0.887×(1-6%)
44,510050,上证50ETF,2021-11-22,2021-11-29,2.9976,2.9694,-0.94,-124485.0,7,熊,def,2.9972,2.9931,4e-06,2.9892,1.0013,3.94,熊,def,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0005<0"
45,510050,上证50ETF,2021-12-15,2021-12-22,3.0947,3.0313,-2.05,-267628.0,7,牛,def,3.113,3.0371,0.00694,3.0147,1.025,3.58,牛,def,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0019<0"
46,515050,5G通信ETF,2021-12-29,2022-01-05,0.4132,0.4098,-0.84,-106967.0,7,牛,all,0.4192,0.4159,0.000842,0.3916,1.0078,3.5,牛,all,,Trail止损3%,价0.410≤peak0.426×(1-3%)
47,515050,5G通信ETF,2022-01-05,2022-01-07,0.4102,0.4028,-1.82,-230467.0,2,牛,all,0.4205,0.4177,0.004361,0.3954,1.0068,4.21,牛,all,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0024<0"
48,159819,人工智能ETF,2022-01-07,2022-01-10,0.9845,0.9935,0.91,112832.0,3,牛,all,1.0153,1.0097,0.000567,0.9858,1.0055,4.93,牛,all,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0008<0"
49,512890,中证红利低波ETF,2022-01-14,2022-01-24,0.8104,0.8215,1.37,172303.0,10,牛,all,0.8277,0.8093,0.006133,0.7778,1.0227,3.46,熊,all,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0000<0"
50,159819,人工智能ETF,2022-01-24,2022-01-27,1.0146,0.9305,-8.29,-1056504.0,3,熊,all,1.0235,1.0085,0.00503,0.999,1.0149,4.88,熊,all,,Trail止损6%,价0.931≤peak1.014×(1-6%)
51,159937,博时黄金ETF,2022-01-27,2022-02-07,3.608,3.618,0.28,32493.0,11,熊,def,3.6622,3.641,0.000657,3.6313,1.0058,10.07,熊,def,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0004<0"
52,510880,红利ETF,2022-02-14,2022-03-02,2.3243,2.3817,2.47,289641.0,16,熊,def,2.304,2.2837,0.00461,2.2397,1.0089,3.25,熊,def,,MA6死叉,MA6<MA15(MA8斜率0.0003仍正)
53,510880,红利ETF,2022-03-08,2022-03-15,2.3063,2.1158,-8.26,-992144.0,7,熊,def,2.3778,2.3585,0.001269,2.2867,1.0082,5.3,熊,def,,Trail止损6%,价2.117≤peak2.314×(1-6%)
54,518800,黄金ETF,2022-03-15,2022-03-22,4.0302,4.0558,0.63,69892.0,7,熊,def,4.163,4.0669,0.004027,3.8842,1.0236,5.89,熊,def,,趋势全空,MA6<MA15且MA8斜率-0.0051<0
55,510880,红利ETF,2022-03-25,2022-04-19,2.3483,2.4806,5.64,625193.0,25,熊,def,2.3008,2.2887,0.002542,2.2959,1.0053,3.57,熊,def,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0001<0"
56,512890,中证红利低波ETF,2022-05-17,2022-05-27,0.8365,0.8445,0.97,113134.0,10,熊,def,0.8275,0.8209,0.002391,0.8244,1.008,3.69,熊,def,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0006<0"
57,510880,红利ETF,2022-06-16,2022-06-23,2.3613,2.3237,-1.59,-188284.0,7,熊,def,2.3933,2.3602,0.002763,2.3515,1.014,3.56,熊,def,,趋势全空,MA6<MA15且MA8斜率-0.0037<0
58,510050,上证50ETF,2022-07-06,2022-07-11,2.8015,2.7485,-1.89,-220489.0,5,牛,def,2.8413,2.7707,0.006273,2.623,1.0255,3.11,牛,def,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0003<0"
59,510880,红利ETF,2022-07-11,2022-07-12,2.3543,2.3747,0.87,98975.0,1,牛,def,2.4003,2.371,0.001151,2.3475,1.0124,3.96,牛,def,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0002<0"
60,512890,中证红利低波ETF,2022-09-16,2022-09-23,0.8615,0.8515,-1.15,-132972.0,7,熊,def,0.8862,0.8674,0.004741,0.8353,1.0216,3.91,熊,def,,趋势全空,MA6<MA15且MA8斜率-0.0037<0
61,510880,红利ETF,2022-10-20,2022-10-27,2.3803,2.3077,-3.05,-347260.0,7,熊,def,2.4123,2.4106,0.000964,2.4,1.0007,6.78,熊,def,,趋势全空,MA6<MA15且MA8斜率-0.0052<0
62,510880,红利ETF,2022-12-02,2022-12-13,2.4193,2.4167,-0.11,-12139.0,11,熊,def,2.4247,2.3762,0.007079,2.3863,1.0204,3.63,熊,def,,★MA8动能转负,"MA6仍>MA15,MA8斜率-0.0001<0"
