序号,代码,名称,买入日,卖出日,买价,卖价,收益率%,盈亏金额,持仓天数,牛熊,池模式,峰值价,退出类型,触发详情
1,512010,医药ETF,2020-04-03,2020-05-29,0.4953,0.5397,8.97,897098.0,56,熊,all,0.552,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0001<0 (动能走弱)"
2,513050,中概互联ETF,2020-05-29,2020-07-15,1.5499,1.9349,24.85,2707542.0,47,牛,all,2.037,Trail止损3%,价格1.936≤peak×(1-3%)=1.976
3,159995,芯片ETF,2020-07-15,2020-07-16,0.7084,0.6436,-9.14,-1243403.0,1,牛,all,0.708,Trail止损3%,价格0.644≤peak×(1-3%)=0.687
4,159995,芯片ETF,2020-07-16,2020-07-21,0.6444,0.6656,3.3,408224.0,5,牛,all,0.669,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0061<0 (动能走弱)"
5,159992,创新药ETF,2020-07-21,2020-07-24,1.4498,1.4242,-1.76,-225309.0,3,牛,all,1.516,Trail止损3%,价格1.425≤peak×(1-3%)=1.471
6,159992,创新药ETF,2020-07-24,2020-08-07,1.4258,1.5372,7.81,979845.0,14,牛,all,1.613,Trail止损3%,价格1.538≤peak×(1-3%)=1.565
7,159992,创新药ETF,2020-08-07,2020-08-12,1.5388,1.4542,-5.5,-743904.0,5,牛,all,1.538,Trail止损3%,价格1.455≤peak×(1-3%)=1.492
8,512480,半导体ETF,2020-08-12,2020-08-14,0.5773,0.5797,0.41,52324.0,2,牛,all,0.58,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0028<0 (动能走弱)"
9,510050,上证50ETF,2020-08-19,2020-08-27,3.0497,3.0373,-0.4,-51957.0,8,牛,all,3.056,MA6死叉,MA6<MA15 (MA8斜率0.0016仍正)
10,510880,红利ETF,2020-08-27,2020-08-28,1.9861,2.0169,1.55,198187.0,1,牛,all,2.018,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0007<0 (动能走弱)"
11,159915,创业板ETF,2020-08-31,2020-09-07,2.6385,2.5476,-3.44,-446906.0,7,牛,all,2.676,Trail止损3%,价格2.549≤peak×(1-3%)=2.596
12,513100,纳指ETF,2020-09-07,2020-09-09,0.8975,0.8955,-0.22,-27733.0,2,牛,all,0.945,Trail止损3%,价格0.896≤peak×(1-3%)=0.917
13,513100,纳指ETF,2020-09-09,2020-09-10,0.8965,0.9215,2.79,348694.0,1,牛,all,0.922,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0023<0 (动能走弱)"
14,510050,上证50ETF,2020-09-22,2020-09-25,3.0207,2.9774,-1.43,-184234.0,3,牛,all,3.022,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0003<0 (动能走弱)"
15,513050,中概互联ETF,2020-10-15,2020-10-27,2.0711,2.1238,2.54,322304.0,12,牛,all,2.125,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0015<0 (动能走弱)"
16,513050,中概互联ETF,2020-10-30,2020-11-10,2.1452,2.1888,2.03,264131.0,11,牛,all,2.27,Trail止损3%,价格2.190≤peak×(1-3%)=2.202
17,512480,半导体ETF,2020-11-10,2020-11-11,0.5653,0.5357,-5.24,-694165.0,1,牛,all,0.565,Trail止损3%,价格0.536≤peak×(1-3%)=0.548
18,512480,半导体ETF,2020-11-11,2020-11-20,0.5363,0.5357,-0.11,-13809.0,9,牛,all,0.542,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0018<0 (动能走弱)"
19,513050,中概互联ETF,2020-11-30,2020-12-04,2.1172,2.1048,-0.58,-73024.0,4,牛,all,2.116,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0010<0 (动能走弱)"
20,159995,芯片ETF,2020-12-04,2020-12-09,0.6243,0.6027,-3.47,-433047.0,5,牛,all,0.624,Trail止损3%,价格0.603≤peak×(1-3%)=0.605
21,159995,芯片ETF,2020-12-09,2020-12-15,0.6033,0.6047,0.22,26655.0,6,牛,all,0.61,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0012<0 (动能走弱)"
22,518880,华安黄金ETF,2021-01-11,2021-01-13,3.7791,3.7949,0.42,50563.0,2,牛,def,3.805,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0008<0 (动能走弱)"
23,510050,上证50ETF,2021-01-14,2021-01-27,3.552,3.552,0.0,317.0,13,牛,def,3.638,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0003<0 (动能走弱)"
24,513050,中概互联ETF,2021-01-27,2021-01-28,2.4183,2.3157,-4.24,-514153.0,1,牛,all,2.417,Trail止损3%,价格2.317≤peak×(1-3%)=2.344
25,513050,中概互联ETF,2021-01-28,2021-02-23,2.3183,2.4546,5.88,682631.0,26,牛,all,2.57,Trail止损3%,价格2.456≤peak×(1-3%)=2.493
