序号,代码,名称,买入日,卖出日,买价,卖价,收益率%,盈亏金额,持仓天数,买入牛熊,买入池,峰值价,退出类型,触发详情
1,512010,医药ETF,2020-04-03,2020-05-29,0.4953,0.5397,8.97,897098.0,56,熊,all,0.552,趋势全空,MA5<MA15且MA8斜率-0.0001<0
2,513100,纳指ETF,2020-05-29,2020-06-16,0.7464,0.7606,1.9,206889.0,18,熊,all,0.761,趋势全空,MA5<MA15且MA8斜率-0.0008<0
3,513050,中概互联ETF,2020-06-16,2020-07-15,1.7059,1.9349,13.42,1490550.0,29,熊,all,2.037,Trail止损3%,价1.936≤peak2.037×(1-3%)
4,159995,芯片ETF,2020-07-15,2020-07-16,0.7084,0.6436,-9.14,-1151084.0,1,牛,all,0.708,Trail止损3%,价0.644≤peak0.708×(1-3%)
5,159995,芯片ETF,2020-07-16,2020-07-21,0.6444,0.6656,3.3,377915.0,5,牛,all,0.669,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0061<0"
6,159992,创新药ETF,2020-07-21,2020-07-24,1.4498,1.4242,-1.76,-208580.0,3,牛,all,1.516,Trail止损3%,价1.425≤peak1.516×(1-3%)
7,159992,创新药ETF,2020-07-24,2020-08-07,1.4258,1.5372,7.81,907094.0,14,牛,all,1.613,Trail止损3%,价1.538≤peak1.613×(1-3%)
8,159992,创新药ETF,2020-08-07,2020-08-12,1.5388,1.4542,-5.5,-688672.0,5,牛,all,1.538,Trail止损3%,价1.455≤peak1.538×(1-3%)
9,518800,黄金ETF,2020-08-12,2020-08-14,4.2123,4.2966,2.0,236831.0,2,牛,all,4.299,趋势全空,MA5<MA15且MA8斜率-0.0032<0
10,510880,红利ETF,2020-08-14,2020-08-26,1.9951,1.9829,-0.61,-73723.0,12,牛,all,2.059,Trail止损3%,价1.984≤peak2.059×(1-3%)
11,513100,纳指ETF,2020-08-26,2020-09-04,0.9015,0.9685,7.43,891050.0,9,牛,all,1.061,Trail止损3%,价0.969≤peak1.061×(1-3%)
12,513100,纳指ETF,2020-09-04,2020-09-07,0.9695,0.8965,-7.53,-970540.0,3,牛,all,0.969,Trail止损3%,价0.897≤peak0.969×(1-3%)
13,513100,纳指ETF,2020-09-07,2020-09-09,0.8975,0.8955,-0.22,-26367.0,2,牛,all,0.945,Trail止损3%,价0.896≤peak0.945×(1-3%)
14,513100,纳指ETF,2020-09-09,2020-09-10,0.8965,0.9215,2.79,331528.0,1,牛,all,0.922,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0023<0"
15,511260,十年国债ETF,2020-09-10,2020-09-16,106.6716,106.0586,-0.57,-70224.0,6,牛,all,106.613,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0001<0"
16,510050,上证50ETF,2020-09-21,2020-09-25,3.0607,2.9774,-2.72,-330753.0,4,牛,all,3.059,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0003<0"
17,511260,十年国债ETF,2020-09-25,2020-10-12,106.3785,105.5489,-0.78,-92167.0,17,牛,all,106.461,趋势全空,MA5<MA15且MA8斜率-0.0002<0
18,512010,医药ETF,2020-10-13,2020-10-19,0.7174,0.6936,-3.31,-388654.0,6,牛,all,0.717,Trail止损3%,价0.694≤peak0.717×(1-3%)
19,512010,医药ETF,2020-10-19,2020-10-23,0.6944,0.6716,-3.28,-371494.0,4,牛,all,0.701,Trail止损3%,价0.672≤peak0.701×(1-3%)
20,510050,上证50ETF,2020-10-23,2020-10-27,3.1067,3.0413,-2.1,-230797.0,4,牛,def,3.105,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0016<0"
21,511010,国债ETF,2020-11-02,2020-11-11,117.7517,117.1975,-0.47,-50531.0,9,牛,def,117.724,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0001<0"
22,510880,红利ETF,2020-11-11,2020-12-03,2.0851,2.1298,2.14,228972.0,22,牛,def,2.199,Trail止损3%,价2.131≤peak2.199×(1-3%)
23,510050,上证50ETF,2020-12-03,2020-12-11,3.2878,3.1753,-3.42,-373641.0,8,牛,def,3.291,Trail止损3%,价3.177≤peak3.291×(1-3%)
24,511010,国债ETF,2020-12-11,2020-12-15,117.1974,117.1635,-0.03,-3049.0,4,牛,def,117.228,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0000<0"
25,511010,国债ETF,2020-12-17,2021-01-27,117.3105,117.9251,0.52,55210.0,41,牛,def,118.518,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0000<0"
26,513050,中概互联ETF,2021-01-27,2021-01-28,2.4183,2.3157,-4.24,-449429.0,1,牛,all,2.417,Trail止损3%,价2.317≤peak2.417×(1-3%)
27,513050,中概互联ETF,2021-01-28,2021-02-23,2.3183,2.4546,5.88,596698.0,26,牛,all,2.57,Trail止损3%,价2.456≤peak2.570×(1-3%)
