code,name,eps,revenue,rev_yoy,rev_qoq,net_profit,profit_yoy,profit_qoq,bps,roe,cps,gross_margin,industry,pub_date,report_date
002360,ST同德,0.22,482775907.5,5.2360418018,70.9464,88602623.56,3.1,138.1777,4.372424233073,5.18,0.450234738315,41.8182190481,化学制品,2026-07-04,2023-06-30
603843,*ST正平,-0.12,641535469.63,-33.1000455546,26.0932,-84500822.45,-452.3,-65.2549,2.104120439113,-5.6,-0.364626205919,7.6756688447,基础建设,2026-06-30,2023-06-30
874049,文依电气,0.29,123691962.96,0.6345278832,,16237981.45,-33.2814845893,,,5.35,,43.3042535976,,2026-06-16,2023-06-30
300076,*ST宁视,-0.0009,76735459.99,41.0272005856,198.7574,-367927.25,91.59,190.089,2.375986773231,-0.04,-0.068433063443,17.7000204231,光学光电子,2026-04-30,2023-06-30
002726,ST龙大,-0.59,6726422093.49,-1.3028928389,-6.5355,-636114865.23,-1825.61,-4347.0158,2.245003971743,-22.26,-0.339667461589,-0.9638244856,食品加工,2026-04-30,2023-06-30
920469,富恒新材,0.23,245672083.54,5.4467795982,12.64,24603193.78,-2.24,72.5685,3.639917340146,8.62,-0.304724972749,20.6322474127,塑料,2026-04-29,2023-06-30
605199,ST葫芦娃,0.15,913979323.0,24.6122360996,-26.6554,61364614.89,6.49,-48.7066,2.687475821649,5.87,-0.400644059743,52.2254116245,中药Ⅱ,2026-04-29,2023-06-30
603329,上海雅仕,-0.22,1277852782.43,-31.7526934972,17.3515,-34979218.95,-119.64,-246.4709,6.63895626536,-3.15,-0.421453785599,7.9330652485,物流,2026-04-29,2023-06-30
600525,ST长园,0.0627,3870536911.5,13.8517427071,15.9512,82456801.09,-45.47,315.6923,3.752727924068,1.62,-0.24128210455,34.1976491599,电网设备,2026-04-29,2023-06-30
300982,苏文电能,0.76,1161655686.65,30.0304646092,0.0229,130153997.12,28.53,-64.5439,18.283752154197,4.43,-1.230404372687,23.0991649741,基础建设,2026-04-29,2023-06-30
000820,*ST节能,-0.0239,50364792.06,137.4120707722,40.7848,-15253566.13,-385.72,-8.1971,0.110417504268,-21.91,-0.009437817158,18.4970626483,环保设备Ⅱ,2026-04-29,2023-06-30
300746,汉嘉数智,0.09,522312338.74,-53.0470039888,24.0994,20240754.49,-31.92,16.4451,5.597835923814,1.56,-0.00217700443,22.3676917114,工程咨询服务Ⅱ,2026-04-28,2023-06-30
300122,智飞生物,1.775,24445313338.85,33.1897637131,18.7936,4259927399.09,14.24,9.6396,11.540058336775,16.32,0.907103463146,29.5533253334,生物制品,2026-04-28,2023-06-30
200530,冰山B,0.07,2283357868.06,80.5951128848,16.4104,55780330.82,94.18,27.7965,3.631316112179,1.87,-0.150370394091,16.8346045908,通用设备,2026-04-24,2023-06-30
000530,冰山冷热,0.07,2283357868.06,80.5951128848,16.4104,55780330.82,94.18,27.7965,3.631316112179,1.87,-0.150370394091,16.8346045908,通用设备,2026-04-24,2023-06-30
688646,ST逸飞,0.51,313359036.76,69.7002039747,74.6337,36078528.65,16.26,215.8455,8.506356153949,6.14,-0.433662002061,31.3226903219,自动化设备,2026-04-18,2023-06-30
600300,维维股份,0.04,1761805681.62,-16.9307748149,-18.4962,61500506.45,23.78,-29.3718,1.909301097953,2.0,0.234054704027,21.0696135932,饮料乳品,2026-04-04,2023-06-30
