code,name,sector,roe,net_margin,gross_margin,rev_yoy,profit_yoy,eps,revenue,net_profit,bps,rev_qoq,profit_qoq,cps,industry,pub_date,report_date
000657,中钨高新,稀土与钨金属,1.8,2.911185143609926,19.9004012068,44.0699979212,65.03,0.07,2684323951.76,78145640.09,4.156640381484,-18.5948,12.9122,-0.005633423574,小金属,2022-04-29,2021-03-31
000938,紫光股份,网络交换设备,0.97,2.037391860422769,18.3490317697,34.5146324875,32.78,0.096,13507196835.61,275194528.9,9.932882107516,-26.3654,-54.067,-0.299750998146,IT服务Ⅱ,2022-04-29,2021-03-31
000977,浪潮信息,AI 服务器与算力硬件,1.66,2.0698029783300047,12.5980837892,3.8223840511,76.94,0.1661,11664590372.5,241434038.94,8.752220979639,-33.4779,-71.1937,-0.648613090882,计算机设备,2022-04-30,2021-03-31
002050,三花智控,热管理部件,3.51,10.564946991680586,25.3650265909,37.2248813991,70.36,0.1,3408216862.74,360076304.91,2.906238805151,-3.0825,-2.6585,0.052887684628,家电零部件Ⅱ,2022-04-26,2021-03-31
002371,北方华创,刻蚀与制程设备,1.07,5.122027727535624,39.5235790468,51.7607063281,175.27,0.1469,1423425330.52,72908240.11,13.805568732104,-35.8951,-65.3388,1.332075697952,半导体,2022-04-28,2021-03-31
002384,东山精密,PCB 印制电路板,1.86,3.2642726584415374,14.3722318949,46.3364377755,17.96,0.14,7508277291.61,245090642.75,7.783325198868,-23.7005,-57.3293,0.08587238584,元件,2022-04-22,2021-03-31
002460,赣锋锂业,锂矿与锂电材料,4.34,29.62968861348277,31.1121520709,48.9396700922,6046.3,0.36,1606822673.47,476096554.72,8.425660001269,-1.4836,-31.4155,-0.160045562727,能源金属,2022-04-27,2021-03-31
002466,天齐锂业,锂矿与锂电材料,-4.89,-27.41247829161909,45.5452994634,-6.6312066495,50.46,-0.17,904210248.68,-247866438.13,3.343268000979,11.2644,66.0683,0.240361691628,能源金属,2022-04-30,2021-03-31
002837,英维克,数据中心温控设备,2.19,9.112874502419372,34.9801415431,57.533872193,195.62,0.1,341737793.95,31142136.29,4.463178931409,-46.6236,-47.5378,-0.336669544535,专用设备,2022-04-26,2021-03-31
002851,麦格米特,工业电源与控制,2.6,9.09990819896656,26.0356883428,34.8148383052,42.76,0.1613,889571281.93,80950170.02,6.283925615669,-3.333,-34.5907,-0.286943172086,其他电源设备Ⅱ,2022-04-22,2021-03-31
