date,equity,positions
2020-01-03,10000000.00,0
2020-01-06,10000000.00,0
2020-01-07,10000000.00,0
2020-01-08,10000000.00,0
2020-01-09,10000000.00,0
2020-01-10,10000000.00,0
2020-01-13,10000000.00,0
2020-01-14,10000000.00,0
2020-01-15,10000000.00,0
2020-01-16,10000000.00,0
2020-01-17,10000000.00,0
2020-01-20,10000000.00,0
2020-01-21,10000000.00,0
2020-01-22,10000000.00,0
2020-01-23,10000000.00,0
2020-02-03,10000000.00,0
2020-02-04,10000000.00,0
2020-02-05,10000000.00,0
2020-02-06,10000000.00,0
2020-02-07,10000000.00,0
2020-02-11,10000000.00,0
2020-02-12,10000000.00,0
2020-02-13,10000000.00,0
2020-02-14,10000000.00,0
2020-02-17,10000000.00,0
2020-02-18,10000000.00,0
2020-02-19,10000000.00,0
2020-02-20,10000000.00,0
2020-02-21,10000000.00,0
2020-02-24,10000000.00,0
2020-02-25,10000000.00,0
2020-02-26,10000000.00,0
2020-02-27,10000000.00,0
2020-02-28,10000000.00,0
2020-03-02,10000000.00,0
2020-03-03,10000000.00,0
2020-03-04,10000000.00,0
2020-03-05,10000000.00,0
2020-03-06,10000000.00,0
2020-03-09,10000000.00,0
2020-03-11,10000000.00,0
2020-03-12,10000000.00,0
2020-03-13,10000000.00,0
2020-03-16,10000000.00,0
2020-03-17,10000000.00,0
2020-03-18,10000000.00,0
2020-03-19,10000000.00,0
2020-03-20,10000000.00,0
2020-03-23,10000000.00,0
2020-03-24,10000000.00,0
2020-03-25,10000000.00,0
2020-03-26,10000000.00,0
2020-03-27,10000000.00,0
2020-03-30,10000000.00,0
2020-03-31,10000000.00,0
2020-04-01,10000000.00,0
2020-04-02,10000000.00,0
2020-04-03,10000000.00,0
2020-04-07,10000000.00,0
2020-04-08,10000000.00,0
2020-04-09,9979022.03,1
2020-04-10,10033623.24,1
2020-04-13,10033623.24,1
2020-04-14,10153225.90,1
2020-04-15,10119425.15,1
2020-04-16,10192226.77,1
2020-04-17,10023223.01,1
2020-04-20,9986822.20,1
2020-04-21,10083024.34,1
2020-04-22,10046623.53,1
2020-04-23,10220827.41,1
2020-04-24,10301429.20,1
2020-04-27,10236427.75,1
2020-04-28,10155825.96,1
2020-04-29,10194826.83,1
2020-04-30,10239027.81,1
2020-05-06,10231227.64,1
2020-05-07,10187026.65,1
2020-05-08,10314429.49,1
2020-05-11,10267628.45,1
2020-05-12,10244227.93,1
2020-05-14,10267628.45,0
2020-05-15,10267628.45,0
2020-05-18,10267628.45,0
2020-05-19,10267628.45,0
2020-05-20,10267628.45,0
2020-05-21,10267628.45,0
2020-05-22,10267628.45,0
2020-05-25,10267628.45,0
2020-05-26,10267628.45,0
2020-05-27,10267628.45,0
2020-05-28,10267628.45,0
2020-05-29,10267628.45,0
2020-06-01,10267628.45,0
2020-06-02,10267628.45,0
2020-06-03,10267628.45,0
2020-06-04,10267628.45,0
2020-06-05,10267628.45,0
2020-06-08,10267628.45,0
2020-06-09,10267628.45,0
2020-06-10,10267628.45,0
2020-06-11,10246089.04,1
2020-06-12,10241032.99,1
2020-06-15,10215752.73,1
2020-06-16,10205640.63,1
2020-06-17,10213224.71,1
2020-06-18,10203112.60,1
2020-06-19,10220808.79,1
2020-06-22,10334569.95,1
2020-06-23,10321929.82,1
2020-06-24,10392714.55,1
2020-06-29,10390186.52,1
2020-06-30,10400298.63,1
2020-07-01,10468555.33,1
2020-07-02,10372490.34,1
2020-07-03,10405354.68,1
2020-07-06,10387658.50,1
2020-07-07,10395242.57,1
2020-07-08,10435690.99,1
2020-07-09,10506475.71,1
2020-07-10,10435690.99,1
2020-07-13,10476139.40,1
2020-07-15,10466027.30,0
2020-07-16,10466027.30,0
2020-07-17,10466027.30,0
2020-07-20,10466027.30,0
2020-07-21,10466027.30,0
2020-07-22,10466027.30,0
2020-07-23,10466027.30,0
2020-07-24,10466027.30,0
2020-07-27,10466027.30,0
2020-07-28,10466027.30,0
2020-07-29,10466027.30,0
2020-07-30,10466027.30,0
2020-07-31,10466027.30,0
2020-08-03,10466027.30,0
2020-08-04,10466027.30,0
2020-08-05,10466027.30,0
2020-08-06,10466027.30,0
2020-08-07,10466027.30,0
2020-08-10,10466027.30,0
2020-08-11,10466027.30,0
2020-08-12,10444071.70,1
2020-08-13,10565629.77,1
2020-08-14,10664860.86,1
2020-08-17,10769053.50,1
2020-08-18,11019611.99,1
2020-08-19,10907977.02,1
2020-08-20,10649976.20,1
