date,equity,positions
2020-01-02,10000000.00,0
2020-01-03,10000000.00,0
2020-01-06,10000000.00,0
2020-01-07,10000000.00,0
2020-01-08,10000000.00,0
2020-01-09,10000000.00,0
2020-01-10,10000000.00,0
2020-01-13,10000000.00,0
2020-01-14,10000000.00,0
2020-01-15,10000000.00,0
2020-01-16,10000000.00,0
2020-01-17,10000000.00,0
2020-01-20,10000000.00,0
2020-01-21,10000000.00,0
2020-01-22,10000000.00,0
2020-01-23,10000000.00,0
2020-02-03,10000000.00,0
2020-02-04,10000000.00,0
2020-02-05,10000000.00,0
2020-02-06,10000000.00,0
2020-02-07,10000000.00,0
2020-02-10,10000000.00,0
2020-02-11,10000000.00,0
2020-02-12,10000000.00,0
2020-02-13,10000000.00,0
2020-02-14,10000000.00,0
2020-02-17,10000000.00,0
2020-02-18,10000000.00,0
2020-02-19,10000000.00,0
2020-02-20,10000000.00,0
2020-02-21,10000000.00,0
2020-02-24,10000000.00,0
2020-02-25,10000000.00,0
2020-02-26,10000000.00,0
2020-02-27,10000000.00,0
2020-02-28,10000000.00,0
2020-03-02,10000000.00,0
2020-03-03,10000000.00,0
2020-03-04,10000000.00,0
2020-03-05,10000000.00,0
2020-03-06,10000000.00,0
2020-03-09,10000000.00,0
2020-03-10,10000000.00,0
2020-03-11,10000000.00,0
2020-03-12,10000000.00,0
2020-03-13,10000000.00,0
2020-03-16,10000000.00,0
2020-03-17,10000000.00,0
2020-03-18,10000000.00,0
2020-03-19,10000000.00,0
2020-03-20,10000000.00,0
2020-03-23,10000000.00,0
2020-03-24,10000000.00,0
2020-03-25,10000000.00,0
2020-03-26,10000000.00,0
2020-03-27,10000000.00,0
2020-03-30,10000000.00,0
2020-03-31,10000000.00,0
2020-04-01,10000000.00,0
2020-04-02,10000000.00,0
2020-04-03,9979022.03,1
2020-04-07,10262924.01,1
2020-04-08,10159445.72,1
2020-04-09,10183325.32,1
2020-04-10,10239044.40,1
2020-04-13,10239044.40,1
2020-04-14,10361095.72,1
2020-04-15,10326602.96,1
2020-04-16,10400895.07,1
2020-04-17,10228431.25,1
2020-04-20,10191285.19,0
2020-04-21,10191285.19,0
2020-04-22,10191285.19,0
2020-04-23,10191285.19,0
2020-04-24,10191285.19,0
2020-04-27,10191285.19,0
2020-04-28,10191285.19,0
2020-04-29,10191285.19,0
2020-04-30,10191285.19,0
2020-05-06,10191285.19,0
2020-05-07,10169905.94,1
2020-05-08,10297094.66,1
2020-05-11,10250372.27,1
2020-05-12,10227011.08,1
2020-05-13,10250372.27,1
2020-05-14,10315264.47,1
2020-05-15,10468410.07,1
2020-05-18,10717596.13,1
2020-05-19,10543685.03,1
2020-05-20,10660490.99,1
2020-05-21,10569641.91,0
2020-05-22,10569641.91,0
2020-05-25,10569641.91,0
2020-05-26,10569641.91,0
2020-05-27,10569641.91,0
2020-05-28,10569641.91,0
2020-05-29,10569641.91,0
2020-06-01,10569641.91,0
2020-06-02,10569641.91,0
2020-06-03,10569641.91,0
2020-06-04,10547468.94,1
2020-06-05,10547468.94,1
2020-06-08,10450293.55,1
2020-06-09,10450293.55,1
2020-06-10,10552721.66,1
2020-06-11,10644644.33,1
2020-06-12,10639391.60,1
2020-06-15,10613127.99,1
2020-06-16,10602622.54,1
2020-06-17,10610501.62,1
2020-06-18,10599996.18,0
2020-06-19,10599996.18,0
2020-06-22,10599996.18,0
2020-06-23,10599996.18,0
2020-06-24,10599996.18,0
2020-06-29,10599996.18,0
2020-06-30,10599996.18,0
2020-07-01,10599996.18,0
2020-07-02,10599996.18,0
2020-07-03,10599996.18,0
2020-07-06,10577759.53,1
2020-07-07,10585482.40,1
2020-07-08,10626671.05,1
2020-07-09,10698751.18,1
2020-07-10,10626671.05,1
2020-07-13,10667859.70,1
2020-07-14,10657562.54,1
2020-07-15,10665285.41,1
2020-07-16,10624096.76,1
2020-07-17,10567462.37,1
2020-07-20,10624096.76,0
2020-07-21,10624096.76,0
2020-07-22,10624096.76,0
2020-07-23,10624096.76,0
2020-07-24,10624096.76,0
2020-07-27,10624096.76,0
2020-07-28,10624096.76,0
2020-07-29,10624096.76,0
2020-07-30,10624096.76,0
2020-07-31,10624096.76,0
2020-08-03,10601809.56,1
2020-08-04,10609005.36,1
2020-08-05,10899235.89,1
2020-08-06,10985585.47,1
2020-08-07,11045550.46,1
2020-08-10,10961599.48,1
2020-08-11,10733732.53,1
2020-08-12,10098103.68,1
2020-08-13,10215635.05,1
2020-08-14,10311579.03,1
2020-08-17,10412320.20,0
2020-08-18,10412320.20,0
2020-08-19,10412320.20,0
2020-08-20,10412320.20,0
2020-08-21,10412320.20,0
2020-08-24,10412320.20,0
2020-08-25,10412320.20,0
2020-08-26,10412320.20,0
2020-08-27,10412320.20,0
2020-08-28,10412320.20,0
2020-08-31,10390477.27,1
2020-09-01,10498287.15,1
