date,equity,positions
2020-01-02,10000000.00,0
2020-01-03,10000000.00,0
2020-01-06,10000000.00,0
2020-01-07,10000000.00,0
2020-01-08,10000000.00,0
2020-01-09,10000000.00,0
2020-01-10,10000000.00,0
2020-01-13,10000000.00,0
2020-01-14,10000000.00,0
2020-01-15,10000000.00,0
2020-01-16,10000000.00,0
2020-01-17,10000000.00,0
2020-01-20,10000000.00,0
2020-01-21,10000000.00,0
2020-01-22,10000000.00,0
2020-01-23,10000000.00,0
2020-02-03,10000000.00,0
2020-02-04,10000000.00,0
2020-02-05,10000000.00,0
2020-02-06,10000000.00,0
2020-02-07,10000000.00,0
2020-02-10,10000000.00,0
2020-02-11,10000000.00,0
2020-02-12,10000000.00,0
2020-02-13,10000000.00,0
2020-02-14,10000000.00,0
2020-02-17,10000000.00,0
2020-02-18,10000000.00,0
2020-02-19,10000000.00,0
2020-02-20,10000000.00,0
2020-02-21,10000000.00,0
2020-02-24,10000000.00,0
2020-02-25,10000000.00,0
2020-02-26,10000000.00,0
2020-02-27,10000000.00,0
2020-02-28,10000000.00,0
2020-03-02,10000000.00,0
2020-03-03,10000000.00,0
2020-03-04,10000000.00,0
2020-03-05,10000000.00,0
2020-03-06,10000000.00,0
2020-03-09,10000000.00,0
2020-03-10,10000000.00,0
2020-03-11,10000000.00,0
2020-03-12,10000000.00,0
2020-03-13,10000000.00,0
2020-03-16,10000000.00,0
2020-03-17,10000000.00,0
2020-03-18,10000000.00,0
2020-03-19,10000000.00,0
2020-03-20,10000000.00,0
2020-03-23,10000000.00,0
2020-03-24,10000000.00,0
2020-03-25,10000000.00,0
2020-03-26,10000000.00,0
2020-03-27,10000000.00,0
2020-03-30,10000000.00,0
2020-03-31,10000000.00,0
2020-04-01,10000000.00,0
2020-04-02,10000000.00,0
2020-04-03,10000000.00,0
2020-04-07,10000000.00,0
2020-04-08,10000000.00,0
2020-04-09,10000000.00,0
2020-04-10,10000000.00,0
2020-04-13,10000000.00,0
2020-04-14,10000000.00,0
2020-04-15,10000000.00,0
2020-04-16,10000000.00,0
2020-04-17,10000000.00,0
2020-04-20,10000000.00,0
2020-04-21,10000000.00,0
2020-04-22,10000000.00,0
2020-04-23,10000000.00,0
2020-04-24,10000000.00,0
2020-04-27,10000000.00,0
2020-04-28,10000000.00,0
2020-04-29,10000000.00,0
2020-04-30,10000000.00,0
2020-05-06,10000000.00,0
2020-05-07,9979022.03,1
2020-05-08,10103823.48,1
2020-05-11,10057978.05,1
2020-05-12,10035055.33,1
2020-05-13,10057978.05,1
2020-05-14,10121652.25,1
2020-05-15,10271923.39,1
2020-05-18,10516432.35,1
2020-05-19,10345785.47,1
2020-05-20,10460399.05,1
2020-05-21,10371255.15,0
2020-05-22,10371255.15,0
2020-05-25,10371255.15,0
2020-05-26,10371255.15,0
2020-05-27,10371255.15,0
2020-05-28,10371255.15,0
2020-05-29,10371255.15,0
2020-06-01,10371255.15,0
2020-06-02,10371255.15,0
2020-06-03,10371255.15,0
2020-06-04,10371255.15,0
2020-06-05,10371255.15,0
2020-06-08,10371255.15,0
2020-06-09,10371255.15,0
2020-06-10,10371255.15,0
2020-06-11,10371255.15,0
2020-06-12,10371255.15,0
2020-06-15,10371255.15,0
2020-06-16,10371255.15,0
2020-06-17,10371255.15,0
2020-06-18,10371255.15,0
2020-06-19,10371255.15,0
2020-06-22,10371255.15,0
2020-06-23,10371255.15,0
2020-06-24,10371255.15,0
2020-06-29,10371255.15,0
2020-06-30,10371255.15,0
2020-07-01,10371255.15,0
2020-07-02,10371255.15,0
2020-07-03,10371255.15,0
2020-07-06,10349498.36,1
2020-07-07,10357054.58,1
2020-07-08,10397354.40,1
2020-07-09,10467879.09,1
2020-07-10,10397354.40,1
2020-07-13,10437654.23,1
2020-07-14,10427579.27,1
2020-07-15,10435135.49,1
2020-07-16,10394835.66,1
2020-07-17,10339423.41,1
2020-07-20,10394835.66,0
2020-07-21,10394835.66,0
2020-07-22,10394835.66,0
2020-07-23,10394835.66,0
2020-07-24,10394835.66,0
2020-07-27,10394835.66,0
2020-07-28,10394835.66,0
2020-07-29,10394835.66,0
2020-07-30,10394835.66,0
2020-07-31,10394835.66,0
2020-08-03,10373029.41,1
2020-08-04,10380069.92,1
2020-08-05,10664037.47,1
2020-08-06,10748523.68,1
2020-08-07,10807194.66,1
2020-08-10,10725055.29,1
2020-08-11,10502105.56,1
2020-08-12,9880193.17,0
2020-08-13,9880193.17,0
2020-08-14,9880193.17,0
2020-08-17,9880193.17,0
2020-08-18,9880193.17,0
2020-08-19,9880193.17,0
2020-08-20,9880193.17,0
2020-08-21,9880193.17,0
2020-08-24,9880193.17,0
2020-08-25,9880193.17,0
2020-08-26,9880193.17,0
2020-08-27,9880193.17,0
2020-08-28,9880193.17,0
2020-08-31,9880193.17,0
2020-09-01,9880193.17,0
