code,name,eps,revenue,rev_yoy,rev_qoq,net_profit,profit_yoy,profit_qoq,bps,roe,cps,gross_margin,industry,pub_date,report_date
874746,前景无忧,0.18,128661234.41,,-51.6951,19634796.3,,-54.5121,,,,36.9838504801,,2026-07-20,2025-03-31
002330,得利斯,0.015,745714556.31,-4.8289519806,-15.5578,9758294.04,-27.58,124.2127,3.612272193525,0.42,0.108894839269,11.1268098615,食品加工,2026-07-18,2025-03-31
874103,钜芯科技,,160847249.39,38.0349847967,28.4212,15125376.74,29.6254339743,43.5651,5.001064440333,3.53,-0.599277305222,16.5736334075,,2026-07-17,2025-03-31
301707,展芯股份,0.08,115338628.57,,,28845520.88,,,,,,76.9211605426,半导体,2026-07-17,2025-03-31
603468,津富士达,0.2474,1207179257.77,,,91786091.67,,,,,,13.7067264696,摩托车及其他,2026-07-16,2025-03-31
001232,嘉立创,0.5,2084827196.31,,,248157714.78,,,,,,28.6560188834,元件,2026-07-16,2025-03-31
874320,恒基金属,0.56,310406665.39,,,32884502.21,,,,,-0.421539557265,21.199324598,,2026-07-15,2025-03-31
874800,玄机科技,0.48,93126238.59,,-25.7171,24803773.53,,-40.3981,,,,48.8836394546,,2026-07-10,2025-03-31
301677,欣兴工具,0.61,117803754.85,,,45386546.21,,,,,,55.3757699261,通用设备,2026-07-10,2025-03-31
688825,长鑫科技,-0.027,6201690535.94,,-22.0586,-1559027880.1,,11.8526,,-3.82,,13.138476993,半导体,2026-07-09,2025-03-31
874798,环能涡轮,0.8,129024355.56,,11.0036,53001867.88,,-4.8029,12.019771766061,,0.409373737576,44.3847764722,,2026-07-08,2025-03-31
834948,晨泰科技,0.15,119070646.56,168.2511596661,-63.2175,19856463.74,28336.4929376999,-61.5304,4.505542751036,3.5,-0.280883026367,30.1624103989,,2026-07-07,2025-03-31
874571,宇特光电,0.2,75103916.11,,,10529505.58,,,,,0.034457203396,29.9982403674,,2026-07-02,2025-03-31
688806,泰诺麦博,-0.48,169315.48,,,-176719526.52,,,1.259400358876,-58.65,-0.458088693062,-1524.3331560705,生物制品,2026-07-02,2025-03-31
874402,德耐尔,0.37,132034002.27,,-2.0733,18407535.99,,23.4226,,,0.772040555952,40.6030989126,,2026-06-30,2025-03-31
874769,莫森泰克,0.45,416887244.33,,-37.1538,47461017.79,,-45.7464,,,,17.9276559877,,2026-06-29,2025-03-31
874414,上舜科技,0.2455,39282817.24,,,7365751.69,,,,,-0.053082597333,44.2707547011,,2026-06-29,2025-03-31
874233,华茂精密,0.28,34994451.85,,,9703380.89,,,,,0.34328515224,47.4544484685,,2026-06-29,2025-03-31
874515,云眼视界,0.11,24230526.57,,,3371113.22,,,,1.29,-1.950780068052,34.2220422905,,2026-06-26,2025-03-31
874036,久正工学,0.45,168605939.44,,,22472640.51,,,,,0.443767282981,28.4060801352,,2026-06-26,2025-03-31
430428,陕西瑞科,0.23,273884525.91,-3.5630221313,-9.1907,27036095.82,81.0422295829,11.8154,6.139557025812,4.07,-0.656376557009,12.7537247583,,2026-06-26,2025-03-31
874385,斯坦德,-0.3,134551739.53,,-45.2966,-19169846.02,,-140.8058,,-3.59,,33.3170006472,,2026-06-25,2025-03-31
874281,联川生物,0.23,88496563.47,,-30.1402,10540297.62,,-63.3804,,1.95,-1.069511255484,49.0806658438,,2026-06-25,2025-03-31
873514,高义包装,0.18,339944140.69,,-12.3461,19305335.28,,-37.5336,,,0.363375080421,29.5070384847,,2026-06-25,2025-03-31
874969,嘉拓智能,0.01,683250048.97,,,2145370.8,,,,,,24.6739236191,,2026-06-24,2025-03-31
874870,武晓集团,0.07,585407635.76,,-22.5326,10070378.94,,624.0157,,,,10.6229327636,,2026-06-24,2025-03-31
874792,八环科技,0.36,206085114.25,,,20590694.36,,,,,,24.4092830397,,2026-06-24,2025-03-31
874239,中健康桥,0.08,94925009.17,-11.990593711,-22.9387,5955641.51,-79.3149434745,-77.4814,6.79851406251,1.17,0.379334592373,90.0020933546,,2026-06-24,2025-03-31
873688,宇星股份,0.21,111494257.79,33.3242366245,,8374027.91,51.8020378157,,11.55512556118,1.82,-0.146601606148,16.5250057852,,2026-06-24,2025-03-31
831474,上海科特,0.09,90981285.58,,,8228858.02,,,,,0.077124042213,28.0350942036,,2026-06-24,2025-03-31
874915,中维化纤,0.06,214104094.15,,,20759098.69,,,,,,22.0841169935,,2026-06-23,2025-03-31
874874,安保医疗,-0.08,41434192.24,,,-8276684.33,,,,,,58.5887272989,,2026-06-23,2025-03-31
874720,祥晋股份,0.02,165366948.16,,-44.6663,1175695.32,,-96.7296,,,,13.1336670729,,2026-06-23,2025-03-31
874382,九目化学,0.26,208054922.45,-24.8888180833,-6.7058,48555910.14,-38.0335175259,-7.317,6.005373288747,4.41,0.092465611253,40.9272000428,,2026-06-23,2025-03-31
874332,文峰光电,0.23,50726858.74,,42.29,13776862.54,,75.2399,,2.64,0.23221705,56.9584238364,,2026-06-23,2025-03-31
873464,皇裕精密,0.24,212475572.92,,-13.6444,23486844.47,,24.098,,6.6,,27.9715503826,,2026-06-23,2025-03-31
873024,玫瑰岛,0.17,163490252.71,7.7490929856,,10446848.25,30.2978162926,,8.680932534837,2.02,0.383447834771,31.9232114544,,2026-06-23,2025-03-31
875011,优云科技,0.53,468975108.51,,,48037622.04,,,6.665579081556,8.36,1.620247551222,18.051231772,,2026-06-22,2025-03-31
874901,星网信通,0.26,152359571.25,,,20565530.01,,,,5.71,,28.4399002796,,2026-06-22,2025-03-31
874736,裕富照明,0.59,103296868.87,,,17567901.69,,,,,,35.1126924531,,2026-06-22,2025-03-31
874723,信联电科,0.1,98196357.81,,,11723853.84,,,,,,31.4274664746,,2026-06-22,2025-03-31
874591,日信高科,0.15,61476337.88,,,4562108.05,,,,1.0,-0.052331203482,33.0444342336,,2026-06-22,2025-03-31
874347,泓毅股份,0.41,743128041.76,,,63612458.76,,,,,-1.465227007804,17.5954074631,,2026-06-22,2025-03-31
874191,华益泰康,0.48,87577752.69,33.9810549186,16.5336,28940555.93,175.71,965.1422,6.720929810485,7.31,0.679842739642,74.6377678146,,2026-06-22,2025-03-31
830978,先临三维,0.15,301759450.69,,-25.2669,59569156.46,,-48.3463,,,-0.06022721988,70.7340742376,,2026-06-22,2025-03-31
920079,乔路铭,0.25,675249958.78,11.4040089917,-40.0103,93340758.63,5.0707211627,-29.6534,3.711672108245,7.12,0.087156679117,21.7321426476,汽车零部件,2026-06-18,2025-03-31
875083,林泉股份,0.24,174190912.51,,,30103421.52,,,,,,30.777827527,,2026-06-18,2025-03-31
874879,戈尔德,0.32,472549146.54,,,26667089.39,,,,,,27.0013783528,,2026-06-18,2025-03-31
874823,腾龙健康,0.28,79664603.54,,,26580537.09,,,4.718549973064,6.11,0.179771914352,54.6083348399,,2026-06-18,2025-03-31
874777,中星联华,0.13,27242975.28,,,4815039.25,,,,,,63.25999801,,2026-06-18,2025-03-31
837611,德芯科技,0.16,35509437.25,5.2106018408,-70.749,9735750.08,-10.4317038751,-73.2852,,1.86,-0.178993113,59.7019879553,,2026-06-18,2025-03-31
301583,托伦斯,0.12,154933947.92,,,17139711.91,,,,2.18,,27.2282402704,半导体,2026-06-18,2025-03-31
875148,普诺威,0.13,129651064.45,,,18584126.39,,,,,,26.3734828287,,2026-06-17,2025-03-31
875117,北变科技,0.16,83450386.38,,,9081995.11,,,,2.82,,25.2233030703,,2026-06-17,2025-03-31
875037,景隆智装,0.16,85169645.32,,,7863704.05,,,,,,36.1662842369,,2026-06-17,2025-03-31
875000,江苏永成,,374894336.34,,,1792674.71,,,,,,12.8265769468,,2026-06-17,2025-03-31
874847,美昱新材,0.48,226454138.4,,,14286827.5,,,,,,12.6903736549,,2026-06-17,2025-03-31
874831,利星科技,0.37,276619213.29,,,19934886.34,,,,,,16.5763741479,,2026-06-17,2025-03-31
874817,昊翔股份,0.38,144226664.45,,,18781553.6,,,5.868486701,6.64,0.2136066982,21.5325205352,,2026-06-17,2025-03-31
874496,贝昂智能,0.37,117922676.74,,,22025560.91,,,,7.07,0.135348155667,55.3439035597,,2026-06-17,2025-03-31
874369,贵鑫环保,0.02,47569608.45,,,664997.37,,,,,0.100473958658,17.784738903,,2026-06-17,2025-03-31
875078,聚能磁体,0.0321,20298558.51,,,2725450.91,,,,,,41.6640571587,,2026-06-16,2025-03-31
875070,陌桑高科,0.31,349867521.53,,,46272860.25,,,,,,22.5481837597,,2026-06-16,2025-03-31
874821,易事达,0.58,95461714.97,,-30.4841,18121636.05,,-22.1038,,,,35.3391957609,,2026-06-16,2025-03-31
874806,华光股份,0.03,305311913.08,,,13797835.56,,,,,,15.9576585265,,2026-06-16,2025-03-31
874766,远征传导,0.11,149852540.69,,,5900821.95,,,,1.73,,14.2908961713,,2026-06-16,2025-03-31
874673,金龙稀土,0.0241,1275054020.5,,,59576218.56,,,,,-0.210148570473,11.0456548511,,2026-06-16,2025-03-31
874593,安特磁材,0.3,156279505.79,,-4.2496,17906497.29,,39.6631,,,-0.033710280333,21.1057168202,,2026-06-16,2025-03-31
874070,天广实,-0.02,78154458.89,8347.0595631255,1195.2915,-1293979.87,98.1164142322,97.9501,4.32859406441,-0.4,0.333077051081,80.8475357099,,2026-06-16,2025-03-31
874049,文依电气,0.19,77122423.15,,,10417143.12,,,,2.85,0.067234054308,41.1643315178,,2026-06-16,2025-03-31
874886,映日科技,0.42,226843000.74,,41.4798,37267007.63,,132.1986,,,,26.7335986793,,2026-06-15,2025-03-31
874717,鹰峰电子,0.15,457955938.75,43.5474356294,-24.8303,16114337.77,-33.8171291102,52.3127,,,,15.7740848098,,2026-06-15,2025-03-31
874989,恒业股份,-0.01,17827295.36,,,-1454236.93,,,,,,41.4623601659,,2026-06-12,2025-03-31
874868,华日激光,0.06,48699678.93,,-13.1257,2903730.07,,-65.5452,,,,42.4466940731,,2026-06-12,2025-03-31
874810,中欣晶圆,-0.04,393160640.1,,,-199690421.29,,,,,,-10.0694811261,,2026-06-12,2025-03-31
874419,振华海科,-0.04,102912114.21,,,-4201203.76,,,,,-0.482423673556,26.9628475452,,2026-06-12,2025-03-31
874390,佑威新材,0.29,172838854.2,,-4.6075,14578840.1,,63.8879,,,-0.5808002346,20.3192077051,,2026-06-12,2025-03-31
872824,先歌国际,0.06,113265556.77,0.7214965687,-11.9934,12240844.86,12.5750855724,-43.8887,2.0727478004,3.04,0.0667488913,41.522277161,,2026-06-12,2025-03-31
874781,泰丰智能,0.17,123276975.47,,,11482113.49,,,,,,24.4345340037,,2026-06-11,2025-03-31
874451,紫光国芯,-0.1225,261374669.11,,-26.1452,-12999631.48,,-430.8769,,,-1.832426642459,15.5940320264,,2026-06-11,2025-03-31
874249,邦泽创科,0.84,422650403.85,22.1766596612,-2.2608,44449038.62,32.8003237671,-13.3229,8.995473126445,9.85,0.601160900321,43.5358630854,,2026-06-11,2025-03-31
874023,传美讯,0.11,50282777.19,13.4101260969,,9271159.77,19.6890456271,,2.474348910381,4.42,0.129809869319,40.4342246515,,2026-06-11,2025-03-31
872726,中机试验,0.07,86184960.15,,,7206042.65,,,,1.55,-0.399874853807,27.5222653102,,2026-06-11,2025-03-31
001248,华润新能源,0.22,6390323481.1,,11.6547,2345582498.69,,34.7469,,,,58.2075492322,电力,2026-06-11,2025-03-31
874877,越新科技,0.2,101434343.81,,,11884731.11,,,,,,29.654041314,,2026-06-10,2025-03-31
874818,睿龙科技,0.49,106228050.51,,,59845611.64,,,,,,80.817836238,,2026-06-10,2025-03-31
874773,犇星新材,0.2833,1226445936.32,,14.9647,101974405.0,,42.6759,,3.61,,17.5901929185,,2026-06-09,2025-03-31
874391,金钛股份,0.17,373006458.13,-13.838941403,-12.8601,35615261.78,-25.6949036744,-4.0071,6.179987819571,2.78,-0.728129662429,15.0897281436,,2026-06-09,2025-03-31
874236,华晟智能,0.08,96974190.43,28.3736661932,-73.6713,3831262.19,30.3922650734,-93.6963,,,-0.244633868,25.0632207418,,2026-06-09,2025-03-31
301042,安联锐视,0.1023,100252681.64,-28.4459578663,-26.6709,6920003.1,-38.11,276.0135,14.946914865642,0.67,-0.296916469058,37.9254176826,计算机设备,2026-06-09,2025-03-31
874695,赛维达,0.79,134358842.28,,,37600137.55,,,,,,42.2214920562,,2026-06-08,2025-03-31
873074,富士智能,0.16,248688563.61,,,22716719.94,,,,,0.027721419326,23.1807754016,,2026-06-08,2025-03-31
920136,永励精密,0.45,133223064.74,,-20.1371,26762429.34,,-19.0159,,,,34.0447525273,汽车零部件,2026-06-05,2025-03-31
920117,龙鑫智能,0.22,92196378.29,7.4320122791,-48.6168,14654503.67,19.1018738852,-43.664,8.376948335819,2.64,-0.121155665473,39.4672651734,通用设备,2026-06-05,2025-03-31
873254,科蓝环保,0.06,37625101.53,-10.367361687,,3458611.05,-55.4808484347,,5.714906643255,1.06,-0.083896822761,49.4651387058,,2026-06-05,2025-03-31
874976,澳维科技,,90025434.89,,,17742756.87,,,,,,38.4485016399,,2026-06-04,2025-03-31
874352,福建三星,0.18,97174516.26,19.263283836,,13362006.69,-10.82,,7.543717891517,2.44,-0.055553069739,26.196806889,,2026-06-04,2025-03-31
