seq,code,name,eps,revenue,rev_yoy,rev_qoq,net_profit,profit_yoy,profit_qoq,bps,roe,cps,gross_margin,industry,pub_date,report_date
1,688078,龙软科技,0.07,85975339.99,-38.7517124319,32.9553,4819082.23,-86.43,-146.4192,10.091484177219,0.65,0.124061045642,37.0611982386,软件开发,2026-07-23,20250630
2,688005,容百科技,-0.1,6248421040.7,-9.2803634103,10.8207,-68394623.37,-765.45,-243.2711,11.616420556945,-0.81,1.247448986672,8.5671618398,电池,2026-07-23,20250630
3,605228,神通科技,0.15,815726941.63,22.4571465874,38.589,64277971.13,111.09,520.0785,3.597827265844,4.17,0.090771789243,23.6075113782,汽车零部件,2026-07-23,20250630
4,002458,益生股份,0.0043,1321093246.83,-3.9796505898,12.0878,6155066.16,-96.64,246.7424,3.882304216234,0.14,0.128902815654,12.1392856034,养殖业,2026-07-23,20250630
5,834687,海唐新媒,0.33,199573503.49,50.1004335756,,14004534.91,7.76,,2.682306625101,13.17,-2.661471073305,15.8756896411,,2026-07-22,20250630
6,834082,中建信息,0.74,8097570781.76,-5.1482566504,,110540166.67,-11.3,,15.045210910587,4.97,2.358211182299,7.5781184029,,2026-07-22,20250630
7,833535,新青年,0.03,11153230.76,-31.9934402424,,355675.82,116.09,,2.196102391818,1.48,-0.036537421818,32.5481248269,,2026-07-22,20250630
8,872505,辉腾科技,0.1245,37665143.64,-3.6208419724,,13259848.63,69.81,,0.597810931546,23.25,0.165223079054,59.5345252213,,2026-07-21,20250630
9,833748,奥图股份,0.42,202576608.28,0.3786976224,73.2106,31995925.02,-20.36,21.1222,3.425984097024,13.14,-0.035249650742,32.2067028093,,2026-07-21,20250630
10,833179,南京试剂,0.4402,263959918.18,11.9467238095,,70257861.86,17.87,,3.45101525375,13.08,0.355533234063,37.5547580078,,2026-07-21,20250630
11,603162,海通发展,0.07,1800311278.01,6.7365693591,23.3925,86866076.28,-64.14,-71.5725,4.502683926455,2.1,0.422991435364,10.5852601107,航运港口,2026-07-21,20250630
12,300503,昊志机电,0.21,703223171.69,14.2142604528,45.1511,63382376.16,15.41,206.7355,4.131775595238,5.13,0.078440731277,35.8376171343,通用设备,2026-07-21,20250630
13,874916,科迈捷,0.65,26984020.24,,23.6855,5162894.54,,190.0985,,8.49,,64.5408666133,,2026-07-20,20250630
14,832432,科列技术,-0.0773,107423455.81,5.4483219558,,-6361223.95,-2419.39,,3.718515145696,-1.58,-0.099105663001,51.367143734,,2026-07-20,20250630
15,400215,商业城5,0.0798,99947460.78,98.5575731634,,34184992.04,279.01,,0.249217675628,38.12,0.007687690932,67.2624095753,,2026-07-20,20250630
16,900921,金煤B股,-0.0716,473441407.02,18.4890971499,-0.8576,-72807436.73,34.8916126801,1.1875,0.153930293094,-37.77,0.012374619911,-3.4146463977,化学原料,2026-07-18,20250630
