时间维度,因子,因子代码,|IC|均值,Mean IC,IC_IR,IC胜率,t值,截面数
月度 (21d),ROE (净资产收益率),roe,0.0044,0.0044,0.0298,0.587,0.2,46
月度 (21d),营收同比 (Revenue YoY),rev_yoy,0.0104,-0.0104,-0.053,0.413,-0.36,46
月度 (21d),净利同比 (Net Profit YoY),profit_yoy,0.0172,-0.0172,-0.1002,0.4783,-0.68,46
月度 (21d),毛利率 (Gross Margin),gross_margin,0.0012,0.0012,0.0087,0.5,0.06,46
月度 (21d),净利率 (Net Margin),net_margin,0.0197,0.0197,0.1405,0.6087,0.95,46
月度 (21d),EPS同比 (EPS YoY),eps_yoy,0.0138,0.0138,0.0904,0.5789,0.56,38
季度 (63d),ROE (净资产收益率),roe,0.0517,-0.0517,-0.2693,0.413,-1.83,46
季度 (63d),营收同比 (Revenue YoY),rev_yoy,0.0474,-0.0474,-0.2449,0.3261,-1.66,46
季度 (63d),净利同比 (Net Profit YoY),profit_yoy,0.0349,-0.0349,-0.1645,0.413,-1.12,46
季度 (63d),毛利率 (Gross Margin),gross_margin,0.0155,-0.0155,-0.0963,0.4783,-0.65,46
季度 (63d),净利率 (Net Margin),net_margin,0.0335,-0.0335,-0.1892,0.413,-1.28,46
季度 (63d),EPS同比 (EPS YoY),eps_yoy,0.0119,0.0119,0.0693,0.5789,0.43,38
半年 (126d),ROE (净资产收益率),roe,0.1154,-0.1154,-0.5688,0.2826,-3.86,46
半年 (126d),营收同比 (Revenue YoY),rev_yoy,0.0832,-0.0832,-0.438,0.2391,-2.97,46
半年 (126d),净利同比 (Net Profit YoY),profit_yoy,0.091,-0.091,-0.4503,0.2826,-3.05,46
半年 (126d),毛利率 (Gross Margin),gross_margin,0.0339,-0.0339,-0.2829,0.3913,-1.92,46
半年 (126d),净利率 (Net Margin),net_margin,0.0864,-0.0864,-0.5697,0.2826,-3.86,46
半年 (126d),EPS同比 (EPS YoY),eps_yoy,0.0263,-0.0263,-0.1474,0.4474,-0.91,38
年度 (252d),ROE (净资产收益率),roe,0.1915,-0.1915,-0.9563,0.2381,-6.2,42
年度 (252d),营收同比 (Revenue YoY),rev_yoy,0.0878,-0.0878,-0.3811,0.381,-2.47,42
年度 (252d),净利同比 (Net Profit YoY),profit_yoy,0.1247,-0.1247,-0.5488,0.3333,-3.56,42
年度 (252d),毛利率 (Gross Margin),gross_margin,0.04,-0.04,-0.275,0.381,-1.78,42
年度 (252d),净利率 (Net Margin),net_margin,0.1499,-0.1499,-1.1641,0.0714,-7.54,42
年度 (252d),EPS同比 (EPS YoY),eps_yoy,0.0898,-0.0898,-0.4222,0.5,-2.46,34
