dev_threshold,trail_pct,sharpe,total_ret,cagr,mdd,calmar,n_trades,win_rate,holding_pct
0.015,0.10,0.7170,2.5006,0.2403,0.5356,0.4487,373,0.3592,0.9939
0.020,0.10,0.7945,2.8146,0.2588,0.5245,0.4934,392,0.3571,0.9932
0.025,0.10,0.7407,2.6799,0.2510,0.5572,0.4505,383,0.3577,0.9932
0.030,0.10,0.8945,3.5306,0.2966,0.4463,0.6644,409,0.3741,0.9911
0.035,0.10,0.7785,2.9607,0.2669,0.4833,0.5524,422,0.3460,0.9891
0.040,0.10,0.7866,3.0848,0.2737,0.4948,0.5531,417,0.3333,0.9857
0.015,0.15,0.5316,1.4593,0.1673,0.6540,0.2558,179,0.3855,0.9952
0.020,0.15,0.7265,2.2797,0.2265,0.4473,0.5064,186,0.4140,0.9952
0.025,0.15,0.7961,2.6404,0.2487,0.4473,0.5561,193,0.4404,0.9952
0.030,0.15,0.8030,2.6634,0.2501,0.4473,0.5591,199,0.4573,0.9952
0.035,0.15,0.7117,2.7221,0.2535,0.4805,0.5275,221,0.3891,0.9952
0.040,0.15,0.6840,2.5114,0.2410,0.4851,0.4968,186,0.3925,0.9952
0.015,0.20,0.8297,2.6097,0.2469,0.4770,0.5176,96,0.4583,0.9952
0.020,0.20,0.8933,2.9719,0.2676,0.4770,0.5609,94,0.4574,0.9952
0.025,0.20,0.8053,2.4626,0.2380,0.4770,0.4989,107,0.4766,0.9952
0.030,0.20,0.8957,3.0124,0.2698,0.3958,0.6815,115,0.4957,0.9952
0.035,0.20,0.8618,2.8713,0.2620,0.3958,0.6618,116,0.4569,0.9952
0.040,0.20,0.7038,2.4201,0.2354,0.4377,0.5378,128,0.4219,0.9952
0.015,0.25,0.7300,2.4330,0.2362,0.6023,0.3921,68,0.4118,0.9952
0.020,0.25,0.6306,1.8573,0.1978,0.6023,0.3284,72,0.4167,0.9952
0.025,0.25,0.6686,2.0292,0.2099,0.6023,0.3484,70,0.3857,0.9952
0.030,0.25,0.5977,1.6705,0.1839,0.6023,0.3054,74,0.4054,0.9952
0.035,0.25,0.5882,1.6418,0.1817,0.6023,0.3017,76,0.3684,0.9952
0.040,0.25,0.6692,2.2127,0.2222,0.6023,0.3688,79,0.3797,0.9952
0.015,0.30,0.5827,1.7726,0.1916,0.5695,0.3364,42,0.4048,0.9952
0.020,0.30,0.5574,1.5961,0.1782,0.5695,0.3129,43,0.4419,0.9952
0.025,0.30,0.5531,1.5416,0.1739,0.5695,0.3054,41,0.4390,0.9952
0.030,0.30,0.5625,1.6332,0.1811,0.5695,0.3180,42,0.4286,0.9952
0.035,0.30,0.3416,0.5932,0.0833,0.5695,0.1464,33,0.2727,0.9952
0.040,0.30,0.3444,0.6024,0.0844,0.5723,0.1475,32,0.2812,0.9952
