date,equity,positions,cash
20200102,10000992.06,0,10000992.06
20200103,10001984.23,0,10001984.23
20200106,10002976.49,0,10002976.49
20200107,10003968.84,0,10003968.84
20200108,10004961.30,0,10004961.30
20200109,10005953.86,0,10005953.86
20200110,9973559.73,5,5954.45
20200113,10496710.35,5,5955.04
20200114,10462099.53,5,5955.63
20200115,10577016.16,5,5956.22
20200116,11010996.34,5,5956.81
20200117,11432240.04,5,5957.40
20200120,11395712.05,5,5957.99
20200121,11126233.93,5,5958.58
20200122,12148463.08,5,5959.18
20200123,11705911.91,5,5959.77
20200203,10348974.81,5,596287.84
20200204,11457730.32,5,596346.99
20200205,11870015.02,5,596406.16
20200206,12448332.11,5,596465.32
20200207,12390918.35,5,596524.50
20200210,12759588.38,5,596583.68
20200211,12704787.71,5,596642.86
20200212,13248030.44,5,596702.05
20200213,12984522.37,5,596761.25
20200214,12724233.24,5,596820.45
20200217,13156964.06,5,596879.66
20200218,13247692.90,5,596938.87
20200219,12936908.26,5,596998.09
20200220,12839716.22,5,681866.73
20200221,12814394.62,5,681934.38
20200224,12843968.32,5,682002.03
20200225,13764855.02,5,682069.69
20200226,12905537.75,5,735326.31
20200227,12564823.51,5,735399.26
20200228,11454133.79,5,951434.92
20200302,12087293.64,5,951529.30
20200303,12520440.58,5,951623.70
20200304,12293462.63,5,951718.11
20200305,12231691.28,5,951812.53
20200306,12179224.40,5,951906.95
20200309,11672709.24,5,1421911.92
20200310,12252498.99,5,1422052.98
20200319,10744422.65,5,1215047.28
20200320,10565598.76,5,1215167.82
20200323,10053415.23,3,4744444.90
20200324,10172733.45,3,4744915.58
20200325,10182592.19,3,4745386.30
20200326,10018631.73,3,4745857.07
20200327,9822997.07,3,3796617.20
20200330,10264466.52,4,1796795.43
20200331,9792281.25,4,1796973.68
20200401,9496840.16,3,3443973.17
20200402,9782342.94,3,3444314.83
20200403,9846667.67,4,1444458.12
20200407,9912026.80,4,1444601.42
20200408,9839553.06,4,1444744.73
20200409,9695555.50,4,1444888.06
20200410,9415723.38,4,1445031.40
20200413,9453423.41,4,1445174.76
20200414,9606694.89,4,1445318.13
20200415,9611824.56,4,1445461.51
20200416,9681136.78,4,1445604.91
20200417,9720563.91,4,1445748.33
20200420,9776847.19,4,1445891.75
20200421,9356144.64,4,1446035.20
20200422,9706859.44,4,1446178.65
20200423,9420411.34,4,1446322.12
20200424,9316619.32,4,1446465.61
20200427,9260954.58,3,3161758.64
20200428,9261490.48,4,1161873.89
20200429,9217641.72,4,1161989.15
20200430,9479662.36,4,1162104.43
20200506,9850804.54,4,1162219.72
20200507,10007157.85,4,1162335.02
20200508,9949576.25,4,1162450.33
20200511,9886238.76,4,1162565.65
20200512,10000413.20,4,1162680.99
20200513,10072378.75,4,1162796.33
20200514,9995838.73,4,1162911.69
20200515,10160075.42,4,1163027.06
20200518,9989968.20,4,1163142.44
20200519,10153768.55,4,1163257.83
20200520,10055482.71,4,1163373.23
20200521,9849173.28,4,1163488.64
20200522,9721970.10,4,1163604.07
20200525,9721684.86,4,1163719.51
20200526,10132465.95,4,1163834.96
20200527,9874898.89,4,1163950.42
20200528,9506035.68,4,1164065.89
20200601,9715279.42,4,1164181.37
20200602,9689095.58,4,1164296.86
20200603,9747814.77,4,1164412.37
20200604,9852124.01,4,1164527.89
20200605,9943277.39,4,1164643.41
20200608,9910713.22,4,1164758.95
20200609,10184014.53,4,1164874.51
20200610,10304334.04,4,1164990.07
20200611,10283674.61,4,1165105.64
20200612,10143946.04,4,1165221.23
20200615,9987118.32,4,1165336.83
20200616,10204784.77,4,1165452.44
20200617,10156675.72,4,1165568.06
20200618,10417362.56,4,1165683.69
20200619,10776736.73,4,1165799.33
20200622,10894991.10,4,1165914.99
20200623,11052387.71,4,1166030.65
20200624,11135269.27,4,1166146.33
20200629,11031553.01,4,1166262.02
20200630,11340213.60,4,1166377.72
20200701,11354556.09,4,1166493.43
20200702,11194958.23,4,1166609.15
20200703,11258343.14,4,1166724.89
20200706,11613838.37,4,1166840.64
20200707,12137498.39,4,1166956.39
20200708,12514241.27,4,1167072.16
20200709,12745253.05,4,1167187.94
20200710,13302570.73,4,1167303.74
20200727,12254929.88,4,1167419.54
20200728,12414472.48,4,1167535.36
20200729,12741395.81,4,1167651.18
20200730,12785782.08,4,1167767.02
20200731,12892041.03,4,1167882.87
20200803,13086450.04,4,1167998.73
20200804,13082648.81,4,1168114.61
20200805,12943581.79,4,1168230.49
20200806,12931765.13,4,1168346.39
20200807,12759657.83,4,1168462.29
20200810,13054134.42,4,1168578.21
20200811,13138030.39,4,1168694.14
20200812,13164851.99,4,1168810.08
20200813,13068786.33,4,1168926.04
20200814,13589721.96,4,1169042.00
20200819,13131635.91,4,1169157.98
20200820,12857161.22,4,1169273.97
20200821,13040828.34,4,1169389.97
20200824,13074624.98,4,1169505.98
20200825,13016861.27,4,1169622.00
20200826,12622029.69,4,1974678.09
20200827,12831915.60,4,1974873.99
20200828,12995953.38,4,1975069.91
20200831,13243393.87,4,1975265.85
20200901,13485114.27,4,1975461.81
20200902,13352328.44,4,1975657.79
20200903,13162775.08,4,1975853.79
20200904,12972011.61,4,1976049.81
20200907,12705207.43,4,1976245.84
20200908,12767037.80,4,1976441.90
20200909,12418713.97,4,1976637.97
20200910,12338398.92,4,1976834.07
20200911,12634608.64,4,1977030.18
20200914,12870467.77,4,1977226.32
20200915,12882894.71,4,1977422.47
20200916,12745664.21,4,1977618.64
20200917,12930233.97,4,1977814.84
20200918,13159452.25,4,1978011.05
20200921,12693695.32,4,1978207.28
20200922,12421814.99,4,1978403.53
20200923,12583824.28,4,1978599.80
20200924,12205887.45,3,3753117.21
20200925,12222775.78,3,3753489.55
20200928,12072441.15,3,3753861.92
20200929,12197537.06,3,3754234.32
20200930,12151290.28,4,1754408.35
20201009,12618369.66,4,1754582.40
20201012,12903533.28,4,1754756.47
20201013,12879651.44,4,1754930.55
20201014,12715240.06,4,1755104.65
20201015,12592195.83,4,1755278.77
20201016,12640251.42,4,1755452.90
20201019,12373889.22,4,1755627.06
20201020,12502210.43,4,1755801.22
20201021,11997318.63,4,1791748.57
20201022,11978192.55,4,1791926.32
20201023,11662887.55,4,1792104.09
20201026,11637590.12,4,1792281.88
20201027,11734985.32,4,1792459.69
20201028,11679430.61,4,1792637.51
20201029,11555698.09,4,1792815.35
20201030,11566093.33,4,1792993.21
20201102,11338327.46,5,1190923.88
20201103,11515594.09,5,1191042.02
20201104,11603711.83,5,1191160.18
20201105,11901518.32,5,1191278.35
20201106,12161099.05,5,1191396.54
20201109,12755665.48,5,1191514.73
20201110,12391987.69,5,1191632.94
20201111,11986654.83,5,728834.70
20201112,11823588.64,5,728907.01
20201113,11770299.28,5,728979.32
20201116,11745619.45,5,729051.64
20201117,11898637.08,5,729123.97
20201118,11727748.51,5,729196.30
20201119,11468619.58,5,729268.64
20201120,11719326.65,5,729340.99
20201123,12222524.58,5,729413.34
20201124,12546508.25,5,729485.71
20201125,12458650.44,5,729558.08
20201126,12746605.22,5,729630.45
20201127,12980263.34,5,729702.84
