code,name,buy_date,sell_date,buy_px,sell_px,ret,pnl,exit,hold_days,dev_at_buy
688012,中微公司,20200110,20200203,76.9994,99.7246,0.295134,590268.92,trail,10,0.066804
601689,拓普集团,20200110,20200226,12.7613,13.1007,0.026592,53183.68,trail,27,0.083423
603738,泰晶科技,20200110,20200228,12.4804,13.8280,0.107971,215941.28,trail,29,0.062460
002460,赣锋锂业,20200110,20200309,26.6865,32.9560,0.234932,469863.92,trail,35,0.047183
002050,三花智控,20200110,20200319,13.2028,11.8355,-0.103563,-207126.23,trail,37,0.041827
688037,芯源微,20200203,20200220,54.6771,56.9955,0.042401,84801.00,trail,13,0.120855
002837,英维克,20200220,20200323,6.5412,6.5055,-0.005454,-10908.57,trail,16,0.158485
300394,天孚通信,20200226,20200327,8.4373,6.4159,-0.239588,-479175.73,trail,16,0.119005
000938,紫光股份,20200228,20200323,31.9635,24.6074,-0.230142,-460284.99,trail,10,0.035864
601088,中国神华,20200309,20200319,1.5952,0.0897,-0.943791,-1887582.34,trail,2,0.052356
300054,鼎龙股份,20200319,20200327,15.0588,11.5167,-0.235220,-470440.75,trail,6,0.064458
300502,新易盛,20200323,20200908,10.1629,14.8441,0.460616,921231.57,trail,102,0.036071
601088,中国神华,20200325,20200401,0.9932,1.3051,0.314000,627999.41,trail,5,0.121138
601899,紫金矿业,20200327,20200924,1.9463,4.2540,1.185674,2371347.25,trail,110,0.090641
601088,中国神华,20200401,20200410,1.3143,1.1955,-0.090361,-180721.81,trail,6,0.171600
002851,麦格米特,20200401,20210309,21.5297,29.8775,0.387733,775465.99,trail,213,0.041048
300394,天孚通信,20200410,20200908,6.9826,10.1518,0.453865,907730.19,trail,89,0.049642
300373,扬杰科技,20200908,20201023,33.8296,34.8787,0.031012,62023.96,trail,27,0.078706
601088,中国神华,20200908,20201207,3.0699,5.0311,0.638812,1277623.87,trail,58,0.031605
300475,香农芯创,20200909,20201218,11.9387,10.1817,-0.147169,-294337.52,trail,66,0.045508
002460,赣锋锂业,20201009,20210205,38.0633,77.1496,1.026876,2053752.03,trail,84,0.038204
300620,光库科技,20201023,20201211,23.2654,18.9288,-0.186398,-372795.96,trail,35,0.061538
600460,士兰微,20201207,20210128,21.1084,21.7980,0.032668,65336.14,trail,37,0.114170
688008,澜起科技,20201211,20210225,92.1786,76.7312,-0.167582,-335163.11,trail,48,0.044559
600276,恒瑞医药,20201218,20210308,87.2426,75.3962,-0.135787,-271574.15,trail,50,0.067476
300604,长川科技,20210128,20210309,19.5634,16.0994,-0.177064,-354128.57,trail,23,0.061691
000977,浪潮信息,20210205,20210409,27.9606,25.2051,-0.098548,-197095.54,trail,39,0.036034
601088,中国神华,20210225,20210324,5.1065,4.3337,-0.151346,-302692.09,trail,19,0.068326
603186,华正新材,20210308,20210511,38.0131,34.9584,-0.080360,-160719.68,trail,42,0.047977
603738,泰晶科技,20210309,20210803,10.8953,21.4692,0.970501,1941001.60,trail,99,0.035883
300475,香农芯创,20210309,20210805,13.0322,18.5601,0.424173,848346.80,trail,101,0.043163
300757,罗博特科,20210324,20210908,24.0579,31.7505,0.319751,639502.31,trail,114,0.041916
000657,中钨高新,20210409,20210924,5.7587,8.5379,0.482614,965227.99,trail,113,0.059989
601600,中国铝业,20210511,20210927,5.3072,7.4719,0.407877,815754.28,trail,95,0.131268
002837,英维克,20210803,20210827,7.0629,7.4420,0.053676,107352.10,trail,18,0.157895
601689,拓普集团,20210805,20211216,24.9910,31.5413,0.262108,524215.01,trail,78,0.091769
601088,中国神华,20210827,20211008,6.5613,9.7433,0.484979,969957.73,trail,23,0.056237
