rank,code,name,sector,roe,net_margin,rev_yoy,score
1,300502,新易盛,高速光模块,9.128200000000009,38.80617562906175,257.8921068949999,2.316255123735212
2,688256,寒武纪,AI/GPU 算力芯片,6.32,31.983586853325008,257.8921068949999,1.7518730174575503
3,300394,天孚通信,光无源器件与光引擎,8.13,35.741638656014835,29.106096866,1.568633626086216
4,300476,胜宏科技,PCB 印制电路板,9.128200000000009,21.349132985801454,80.314475653,1.3745196283150563
5,603259,药明康德,医药研发外包,6.08,38.03329745828056,20.9555856721,1.359580786622661
6,688008,澜起科技,网络与接口芯片,4.5,39.96246390941489,65.7766068172,1.3212522742597574
7,300308,中际旭创,高速光模块,7.94,23.716426014484153,37.8236822825,1.1979538060565202
8,600030,中信证券,头部券商,2.39,39.96246390941489,19.4664233258,0.9467244351714955
9,601288,农业银行,国有大型银行,2.705,38.5329504912307,0.3510356358,0.8990340835941075
10,601398,工商银行,国有大型银行,2.265,39.55182494101723,-3.2154764991,0.8660437854548075
11,688726,拉普拉斯,光伏制程设备,6.76,17.377293874295052,36.4787151492,0.8518242053528398
12,601995,中金公司,头部券商,1.98,35.69297808538959,47.6855605713,0.8295777263236322
13,600276,恒瑞医药,创新药研发,4.08,26.00828004818243,20.1428992029,0.7372511599267934
14,601899,紫金矿业,工业金属铜金,7.12,12.881031639596246,5.5520849254,0.6891005425122143
15,002371,北方华创,刻蚀与制程设备,4.95,19.262754812998946,37.903283475,0.6829179532822977
16,600900,长江电力,水电运营,2.43,30.4478354007171,8.6769265327,0.6368054031039271
17,300054,鼎龙股份,半导体工艺材料,3.73,17.113384081396106,16.367305799,0.4129113135186181
18,002050,三花智控,热管理部件,4.57,11.779412588008945,19.0990093073,0.36316039961834595
19,300666,江丰电子,半导体基础材料,3.42,15.714182738250038,29.5267816422,0.3612511917918329
20,300373,扬杰科技,功率半导体器件,3.07,17.285947408199867,18.9039193719,0.34027033150948494
21,300604,长川科技,半导体测试设备,3.3,13.615518838199653,45.7399942271,0.31941447549420493
22,601600,中国铝业,工业金属铜铝,4.95,6.336831090450483,13.9581582345,0.23357388192807219
23,600183,生益科技,覆铜板与 PCB 基材,3.7,10.04473359961498,26.8605175622,0.21776312261702196
24,601088,中国神华,煤炭开采运营,2.8,17.171804268161242,-21.0714366734,0.21035698995198038
25,603296,华勤技术,智能硬件 ODM 代工,3.67,2.4058474582062965,115.6498563971,0.18575445312172922
26,688012,中微公司,刻蚀与制程设备,1.57,14.405998780072663,35.4047200139,0.10015741957141963
27,000977,浪潮信息,AI 服务器与算力硬件,2.3,0.9873663826013586,165.3117922327,0.08316018572526285
28,688498,源杰科技,模拟与光芯片设计,0.69,16.966771973454254,40.5207571661,0.07836734568065054
29,601689,拓普集团,汽车零部件,2.85,9.804226816972966,1.3955417034,0.04385353520567006
30,300475,香农芯创,存储芯片与模组,0.57,0.21159741362352288,243.3324831079,0.019867393124677557
31,000657,中钨高新,稀土与钨金属,3.18,7.447484846643622,3.5771639071,0.018898224071834058
32,601138,工业富联,AI 服务器与算力硬件,3.48,3.2607756986593484,35.156965874,0.0021203869302697425
33,603986,兆易创新,存储芯片与模组,1.41,12.290331676135564,17.3168760221,-0.026361375413776485
34,301018,申菱环境,数据中心温控设备,2.11,8.61362976651042,27.1791711001,-0.026903732436694874
35,301629,矽电股份,设备零部件与耗材,1.59,12.455042173839532,-0.5073105446,-0.039594916128325136
36,688195,腾景科技,精密光学元件,1.4,11.511092273766511,20.6025534305,-0.04381493123221539
37,688502,茂莱光学,精密光学元件,1.15,11.700983648159987,28.2278976287,-0.0521671072475543
38,600111,北方稀土,稀土与钨金属,1.9,4.636874111525293,61.1850449689,-0.09640292760344601
39,002384,东山精密,PCB 印制电路板,2.39,5.299345527338841,11.0711046623,-0.12957142281630324
40,301392,汇成真空,自动化与真空设备,1.12,8.544809380543105,35.8230926437,-0.13469903160644361
41,301165,锐捷网络,网络交换设备,2.31,4.230156618719164,18.1387526148,-0.15602869646760373
42,688981,中芯国际,晶圆代工制造,0.9,8.32075901696114,29.4375668882,-0.18417092475038352
43,000938,紫光股份,网络交换设备,2.58,1.6765262805607213,22.2479290011,-0.19015688758465457
44,002851,麦格米特,工业电源与控制,1.77,4.63041536121575,26.5098175174,-0.19304685639143276
45,002837,英维克,数据中心温控设备,1.63,5.148102874261486,25.0710648384,-0.19834443569291538
46,300661,圣邦股份,模拟与光芯片设计,1.29,7.569610484740642,8.3007659435,-0.20632030886221517
47,601869,长飞光纤,光纤光缆,1.15,5.242212164751511,21.2326881078,-0.26523511218885376
48,600460,士兰微,功率半导体器件,1.21,4.952440538246363,21.6987114021,-0.2653824825510665
49,300620,光库科技,光无源器件与光引擎,0.56,4.088956169951456,65.5312545375,-0.2731295776976983
50,688503,聚和材料,半导体高分子材料,1.91,2.9944339080714197,1.3829694374,-0.28310018217806965
51,688261,东微半导,功率半导体器件,0.27,2.7593136082297978,63.4150349675,-0.35535190660569377
52,603186,华正新材,覆铜板与 PCB 基材,1.26,1.7865021159608068,20.4946821595,-0.35834877719817926
53,600584,长电科技,半导体封装测试,0.73,2.17847211078497,36.4383328133,-0.376890640805666
54,603738,泰晶科技,石英晶振元件,0.49,4.333845104300842,10.0906846512,-0.4023742638501686
55,002466,天齐锂业,锂矿与锂电材料,0.25,4.03507895985068,-0.0167251016,-0.4652438221055061
56,688037,芯源微,涂胶显影设备,0.17,1.6926015200099718,12.7371339532,-0.517415210035649
57,688347,华虹宏力,晶圆代工制造,0.05,0.5818051755430906,18.6592323213,-0.5528582970964446
58,688409,富创精密,设备零部件与耗材,-0.48,-2.9079763857508776,8.6187038758,-0.7496731173680143
59,688627,精智达,半导体测试设备,-0.95,-10.660462484003954,83.163258281,-0.8738240412659195
60,688702,盛科通信 - U,网络与接口芯片,-0.65,-6.81507062633204,-12.3002337689,-0.9386122432314761
61,301308,江波龙,存储芯片与模组,-2.35,-3.5666875103325153,-4.4111885012,-1.0370969468824156
62,002460,赣锋锂业,锂矿与锂电材料,-0.86,-9.433943837196862,-24.12065333991,-1.0723687009963048
63,688072,拓荆科技,薄膜沉积设备,-2.81,-20.73534434665381,50.2158083276,-1.4930181610064246
64,688126,沪硅产业 - U,半导体基础材料,-1.74,-26.013803730477115,10.5965456783,-1.6095387381857555
65,688141,杰华特,模拟与光芯片设计,-4.3476,-21.47275848874193,60.4159208909,-1.6871002247435407
66,300757,罗博特科,自动化与真空设备,-2.63,-27.068400926121516,-24.12065333991,-1.834680007344975
67,688820,盛合晶微,半导体封装测试,0.92,8.410074493604318,,
68,688802,沐曦股份 - U,AI/GPU 算力芯片,-4.3476,-34.43016197937296,,
69,688727,恒坤新材,半导体工艺材料,1.86,18.653403035470507,,
70,688795,摩尔线程 - U,AI/GPU 算力芯片,-2.54,-34.43016197937296,,
