Horizon,Factor,FactorCode,Mean_IC,Abs_IC,IC_IR,WinRate,N_Periods
Monthly(21d),ROE,roe,-0.0273,0.0273,-0.2215,0.4348,46
Monthly(21d),Revenue_YoY,rev_yoy,0.0585,0.0585,0.3573,0.6304,46
Monthly(21d),NP_YoY,profit_yoy,0.0133,0.0133,0.0969,0.5217,46
Monthly(21d),GrossMargin,gross_margin,0.0217,0.0217,0.1637,0.587,46
Monthly(21d),NetMargin,net_margin,-0.0647,0.0647,-0.5179,0.2609,46
Monthly(21d),EPS_YoY,eps_yoy,0.0156,0.0156,0.1149,0.5526,38
Quarterly(63d),ROE,roe,-0.0593,0.0593,-0.3681,0.3913,46
Quarterly(63d),Revenue_YoY,rev_yoy,0.0445,0.0445,0.2156,0.6304,46
Quarterly(63d),NP_YoY,profit_yoy,0.005,0.005,0.027,0.4348,46
Quarterly(63d),GrossMargin,gross_margin,0.0053,0.0053,0.0352,0.6087,46
Quarterly(63d),NetMargin,net_margin,-0.1074,0.1074,-0.7291,0.1957,46
Quarterly(63d),EPS_YoY,eps_yoy,0.0171,0.0171,0.1088,0.5,38
SemiAnnual(126d),ROE,roe,-0.1191,0.1191,-0.6669,0.1957,46
SemiAnnual(126d),Revenue_YoY,rev_yoy,0.0173,0.0173,0.0934,0.5652,46
SemiAnnual(126d),NP_YoY,profit_yoy,-0.036,0.036,-0.1911,0.3043,46
SemiAnnual(126d),GrossMargin,gross_margin,-0.0217,0.0217,-0.165,0.4783,46
SemiAnnual(126d),NetMargin,net_margin,-0.16,0.16,-1.3436,0.087,46
SemiAnnual(126d),EPS_YoY,eps_yoy,-0.0165,0.0165,-0.111,0.3684,38
Annual(252d),ROE,roe,-0.171,0.171,-0.9367,0.2143,42
Annual(252d),Revenue_YoY,rev_yoy,0.0156,0.0156,0.0748,0.5714,42
Annual(252d),NP_YoY,profit_yoy,-0.051,0.051,-0.2503,0.3333,42
Annual(252d),GrossMargin,gross_margin,-0.0378,0.0378,-0.2985,0.4286,42
Annual(252d),NetMargin,net_margin,-0.2043,0.2043,-1.749,0.0714,42
Annual(252d),EPS_YoY,eps_yoy,-0.055,0.055,-0.3223,0.4118,34
