Horizon,Factor,Code,Mean_IC,Abs_IC,IC_IR,WinRate,N
Monthly(21d),ROE,roe,-0.0322,0.0322,-0.2644,0.44,50
Monthly(21d),Rev_YoY,rev_yoy,0.0665,0.0665,0.4002,0.62,50
Monthly(21d),NP_YoY,profit_yoy,0.0215,0.0215,0.1503,0.56,50
Monthly(21d),GrossMargin,gross_margin,0.0217,0.0217,0.1669,0.58,50
Monthly(21d),NetMargin,net_margin,-0.0716,0.0716,-0.589,0.22,50
Monthly(21d),EPS_YoY,eps_yoy,0.0211,0.0211,0.1459,0.5476,42
Quarterly(63d),ROE,roe,-0.0673,0.0673,-0.4167,0.375,48
Quarterly(63d),Rev_YoY,rev_yoy,0.0437,0.0437,0.2112,0.6042,48
Quarterly(63d),NP_YoY,profit_yoy,0.0021,0.0021,0.0111,0.4375,48
Quarterly(63d),GrossMargin,gross_margin,0.0066,0.0066,0.0443,0.6042,48
Quarterly(63d),NetMargin,net_margin,-0.1107,0.1107,-0.766,0.1875,48
Quarterly(63d),EPS_YoY,eps_yoy,0.0012,0.0012,0.0072,0.5,40
SemiAnnual(126d),ROE,roe,-0.124,0.124,-0.6867,0.1957,46
SemiAnnual(126d),Rev_YoY,rev_yoy,0.0168,0.0168,0.0911,0.587,46
SemiAnnual(126d),NP_YoY,profit_yoy,-0.0361,0.0361,-0.1902,0.3043,46
SemiAnnual(126d),GrossMargin,gross_margin,-0.0177,0.0177,-0.1336,0.5,46
SemiAnnual(126d),NetMargin,net_margin,-0.1598,0.1598,-1.3447,0.087,46
SemiAnnual(126d),EPS_YoY,eps_yoy,-0.0307,0.0307,-0.1958,0.3421,38
Annual(252d),ROE,roe,-0.171,0.171,-0.9367,0.2143,42
Annual(252d),Rev_YoY,rev_yoy,0.0156,0.0156,0.0748,0.5714,42
Annual(252d),NP_YoY,profit_yoy,-0.051,0.051,-0.2502,0.3333,42
Annual(252d),GrossMargin,gross_margin,-0.0378,0.0378,-0.2985,0.4286,42
Annual(252d),NetMargin,net_margin,-0.2043,0.2043,-1.749,0.0714,42
Annual(252d),EPS_YoY,eps_yoy,-0.055,0.055,-0.3223,0.4118,34
