K,LB,Trail,Pos,Sec,Floor,S,R,CAGR,MDD,CM,Trd,Win
1.0,21,0.18,8,3,0,1.4217351333766286,1136.0406559551918,61.147318485624425,37.07369599277671,1.6493450908573593,458,53.930131004366814
1.0,21,0.18,8,3,0.8,1.4217351333766286,1136.0406559551918,61.147318485624425,37.07369599277671,1.6493450908573593,458,53.930131004366814
1.0,21,0.15,8,3,0,1.4207423495131921,1049.375923659165,58.939654685198775,35.75920107353247,1.6482374582138954,466,53.21888412017167
1.0,21,0.15,8,3,0.8,1.4207423495131921,1049.375923659165,58.939654685198775,35.75920107353247,1.6482374582138954,466,53.21888412017167
1.0,14,0.15,5,3,0,1.3996008784092753,1248.7112841759251,63.83713264812692,39.08764502402554,1.6331792976754904,298,53.02013422818792
1.0,14,0.15,5,3,0.8,1.3996008784092753,1248.7112841759251,63.83713264812692,39.08764502402554,1.6331792976754904,298,53.02013422818792
1.0,21,0.15,8,1,0,1.3760715151053158,987.9740024359965,57.29239701482716,34.53677918055833,1.658880717142222,467,52.46252676659529
1.0,21,0.15,8,1,0.8,1.3760715151053158,987.9740024359965,57.29239701482716,34.53677918055833,1.658880717142222,467,52.46252676659529
1.0,14,0.22,5,3,0,1.3740392209369823,1366.8862665164588,66.4693426887197,39.68579931134769,1.674889855871281,296,54.391891891891895
1.0,14,0.22,5,3,0.8,1.3740392209369823,1366.8862665164588,66.4693426887197,39.68579931134769,1.674889855871281,296,54.391891891891895
2.0,10,0.18,3,1,0.8,1.367013284095828,1994.4397487824588,79.12772756485549,34.79781814385129,2.2739278433420176,103,63.10679611650486
2.0,10,0.18,3,3,0.8,1.367013284095828,1994.4397487824588,79.12772756485549,34.79781814385129,2.2739278433420176,103,63.10679611650486
1.0,10,0.35,5,3,0.8,1.3638631141046067,1839.8477044516085,75.53573627911578,35.35042948941384,2.1367699733813974,295,53.559322033898304
1.0,21,0.15,10,3,0,1.362018699498923,891.500941531192,54.545236772240145,36.368776800414544,1.4997819990365588,570,52.10526315789473
1.0,21,0.15,10,3,0.8,1.362018699498923,891.500941531192,54.545236772240145,36.368776800414544,1.4997819990365588,570,52.10526315789473
1.0,10,0.35,5,1,0.8,1.3619702146509023,1803.929986958276,74.91430767659001,29.979869253949904,2.498820359822614,295,52.20338983050847
1.0,21,0.18,8,1,0,1.3616309326646374,1032.5491449070653,58.495468918564406,35.94125948584227,1.627529745906833,459,53.15904139433552
1.0,21,0.18,8,1,0.8,1.3616309326646374,1032.5491449070653,58.495468918564406,35.94125948584227,1.627529745906833,459,53.15904139433552
1.0,21,0.1,8,3,0,1.360636603070332,738.365997933014,49.702785238898926,39.295497900884904,1.2648468118221672,485,47.01030927835051
1.0,21,0.1,8,3,0.8,1.360636603070332,738.365997933014,49.702785238898926,39.295497900884904,1.2648468118221672,485,47.01030927835051
1.0,10,0.28,5,3,0.8,1.3587738620653576,1805.2462619029252,74.9372481216267,35.391053668974685,2.11740652941678,296,53.71621621621622
1.0,10,0.28,5,1,0.8,1.3568653983453742,1769.9692157548093,74.31793827660995,30.558191211062425,2.4320136543195,296,52.36486486486487
1.0,21,0.22,8,3,0,1.3561139270563127,1068.218429676237,59.43084041594764,39.17058701569142,1.5172312937802064,450,54.666666666666664
1.0,21,0.22,8,3,0.8,1.3561139270563127,1068.218429676237,59.43084041594764,39.17058701569142,1.5172312937802064,450,54.666666666666664
2.0,10,0.35,3,1,0.8,1.3557241430914069,2037.7977135148815,79.83247676015301,39.97990870143033,1.9968148841044477,103,63.10679611650486
2.0,10,0.35,3,3,0.8,1.3557241430914069,2037.7977135148815,79.83247676015301,39.97990870143033,1.9968148841044477,103,63.10679611650486
1.0,10,0.3,5,3,0.8,1.3486732629517044,1763.5097684470434,74.20351508727698,35.39105366897472,2.096674368085483,296,53.71621621621622
2.0,10,0.28,3,1,0.8,1.3477920630932598,1984.6733839833178,78.96735771439221,39.97990870143033,1.9751760391480595,103,63.10679611650486
2.0,10,0.28,3,3,0.8,1.3477920630932598,1984.6733839833178,78.96735771439221,39.97990870143033,1.9751760391480595,103,63.10679611650486
1.0,10,0.3,5,1,0.8,1.3466935847141415,1729.0055043980979,73.5868027913624,31.04243754105739,2.370522697969028,296,52.36486486486487
1.0,10,0.15,5,3,0.8,1.3457306546985888,1520.882559103078,69.65290007802012,34.66676026751132,2.0092128465577095,300,51.66666666666667
2.0,10,0.18,8,1,0.8,1.3438892761048193,2013.0891123815004,79.43228997504113,35.861505318952034,2.2149736679643195,115,63.47826086956522
2.0,10,0.18,10,1,0.8,1.3438892761048193,2013.0891123815004,79.43228997504113,35.861505318952034,2.2149736679643195,115,63.47826086956522
2.0,10,0.3,3,1,0.8,1.3438188620833251,1965.4290706818845,78.64956828110985,39.97990870143033,1.967227310809143,103,63.10679611650486
2.0,10,0.3,3,3,0.8,1.3438188620833251,1965.4290706818845,78.64956828110985,39.97990870143033,1.967227310809143,103,63.10679611650486
2.0,10,0.22,3,1,0.8,1.3434002645397716,1954.3796467879663,78.4660213264968,43.092694751655884,1.820865967623936,103,63.10679611650486
2.0,10,0.22,3,3,0.8,1.3434002645397716,1954.3796467879663,78.4660213264968,43.092694751655884,1.820865967623936,103,63.10679611650486
2.0,10,0.35,3,1,0,1.3432139239781107,2057.262774283755,79.90392715081194,39.97990870143035,1.9986020415287553,113,61.94690265486725
2.0,10,0.35,3,3,0,1.3432139239781107,2057.262774283755,79.90392715081194,39.97990870143035,1.9986020415287553,113,61.94690265486725
2.0,10,0.18,8,3,0.8,1.3420704388025926,1996.3679797085674,79.15931884554385,35.852987049486714,2.2078862979054663,115,63.47826086956522
2.0,10,0.18,10,3,0.8,1.3420704388025926,1996.3679797085674,79.15931884554385,35.852987049486714,2.2078862979054663,115,63.47826086956522
1.0,21,0.28,8,3,0,1.3417830837522604,1095.0091663050205,60.11828412045504,39.64682043588232,1.5163456604970278,448,54.6875
1.0,21,0.28,8,3,0.8,1.3417830837522604,1095.0091663050205,60.11828412045504,39.64682043588232,1.5163456604970278,448,54.6875
1.0,10,0.35,5,3,0,1.3417512396135567,1715.455810051867,73.34204250125511,35.35042948941384,2.0747143262635146,296,53.71621621621622
1.0,14,0.15,10,3,0.8,1.3412041003751156,832.8101647533745,52.76611568503049,32.83460912293444,1.6070273743010457,560,51.964285714285715
1.0,10,0.22,5,3,0.8,1.3399321925930452,1681.6553579377858,72.72495943593593,33.28706239373601,2.184781539918085,298,54.0268456375839
1.0,14,0.15,10,3,0,1.3398560480396875,828.0493126824043,52.61785680059161,33.01215986157992,1.5938931903037679,564,51.59574468085106
1.0,10,0.35,5,1,0,1.33976654204328,1681.9028541937546,72.72951223057302,29.979869253949904,2.425944943738898,296,52.36486486486487
2.0,10,0.18,3,1,0,1.339464350000172,1922.015079056746,77.69057396581269,34.79781814385127,2.23262773673471,113,61.94690265486725
2.0,10,0.18,3,3,0,1.339464350000172,1922.015079056746,77.69057396581269,34.79781814385127,2.23262773673471,113,61.94690265486725
1.0,10,0.15,5,1,0.8,1.3389441949596061,1467.7828866509815,68.58398053710219,28.78593866741341,2.3825514717274587,299,50.16722408026756
2.0,10,0.35,8,1,0.8,1.338118147915519,2086.2118930231964,80.60588572997402,39.97990870143034,2.016159824974544,115,63.47826086956522
2.0,10,0.35,10,1,0.8,1.338118147915519,2086.2118930231964,80.60588572997402,39.97990870143034,2.016159824974544,115,63.47826086956522
1.0,10,0.22,5,1,0.8,1.3377287974634227,1647.7267930968778,72.09592310954433,31.18703778361,2.311727186460573,298,52.68456375838926
1.0,21,0.3,8,3,0,1.3370051208480405,1094.2100080795792,60.09795949166579,39.641012689371806,1.5160551008773475,448,54.6875
1.0,21,0.3,8,3,0.8,1.3370051208480405,1094.2100080795792,60.09795949166579,39.641012689371806,1.5160551008773475,448,54.6875
1.0,10,0.28,5,3,0,1.33660108750131,1683.0731700296485,72.7510337310124,35.391053668974685,2.055633449387495,297,53.87205387205387
2.0,10,0.35,8,3,0.8,1.3362921650212236,2068.912130840811,80.33112920410888,39.97990870143034,2.00928745995948,115,63.47826086956522
2.0,10,0.35,10,3,0.8,1.3362921650212236,2068.912130840811,80.33112920410888,39.97990870143034,2.00928745995948,115,63.47826086956522
1.0,14,0.1,5,3,0,1.3355364918606072,904.707828286296,54.93377546171325,37.82533674119711,1.4523010287409455,305,47.21311475409836
1.0,14,0.1,5,3,0.8,1.3355364918606072,904.707828286296,54.93377546171325,37.82533674119711,1.4523010287409455,305,47.21311475409836
2.0,10,0.28,3,1,0,1.3353624675860603,2003.6547374790011,79.04042958945084,39.97990870143035,1.9770037540536713,113,61.94690265486725
2.0,10,0.28,3,3,0,1.3353624675860603,2003.6547374790011,79.04042958945084,39.97990870143035,1.9770037540536713,113,61.94690265486725
1.0,10,0.28,5,1,0,1.3345999366359007,1650.1187048013917,72.14059187902426,30.558191211062425,2.3607611910258783,297,52.52525252525253
1.0,14,0.15,8,3,0,1.3343127204915124,881.0764215992552,54.235581345193,34.66998819869905,1.564338038835217,468,52.56410256410257
1.0,14,0.15,8,3,0.8,1.3343127204915124,881.0764215992552,54.235581345193,34.66998819869905,1.564338038835217,468,52.56410256410257
2.0,10,0.3,3,1,0,1.331478520953973,1984.2352009908748,78.72323340225785,39.97990870143035,1.9690698643201603,113,61.94690265486725
2.0,10,0.3,3,3,0,1.331478520953973,1984.2352009908748,78.72323340225785,39.97990870143035,1.9690698643201603,113,61.94690265486725
1.0,21,0.18,10,3,0,1.3313415433380205,899.7004085425331,54.78694998379208,37.378323020655415,1.4657412520491242,561,52.94117647058824
1.0,21,0.18,10,3,0.8,1.3313415433380205,899.7004085425331,54.78694998379208,37.378323020655415,1.4657412520491242,561,52.94117647058824
2.0,10,0.22,3,1,0,1.331004274877432,1973.0851699598986,78.54002850627084,43.09269475165588,1.8225833626534316,113,61.94690265486725
2.0,10,0.22,3,3,0,1.331004274877432,1973.0851699598986,78.54002850627084,43.09269475165588,1.8225833626534316,113,61.94690265486725
1.0,21,0.35,8,3,0,1.3293618614386302,1084.199056957289,59.842417203362096,40.95111239938351,1.4613135931385097,443,54.85327313769752
1.0,21,0.35,8,3,0.8,1.3293618614386302,1084.199056957289,59.842417203362096,40.95111239938351,1.4613135931385097,443,54.85327313769752
1.0,10,0.15,10,3,0.8,1.3287716101039007,887.2596601216719,54.41957130336013,31.654257503765677,1.7191864726849533,521,49.71209213051823
1.0,14,0.35,5,3,0,1.327176017825021,1289.8654871683966,64.77427571284349,44.02614055715009,1.4712685439406246,295,54.23728813559322
1.0,14,0.35,5,3,0.8,1.327176017825021,1289.8654871683966,64.77427571284349,44.02614055715009,1.4712685439406246,295,54.23728813559322
1.0,10,0.3,5,3,0,1.3264724907651761,1644.0130111513022,72.02647025738106,35.39105366897472,2.0351603806733363,297,53.87205387205387
1.0,21,0.22,8,1,0,1.325683389994331,1026.6941497304117,58.339657146631964,38.693784632785686,1.5077268274553868,453,53.86313465783664
1.0,21,0.22,8,1,0.8,1.325683389994331,1026.6941497304117,58.339657146631964,38.693784632785686,1.5077268274553868,453,53.86313465783664
2.0,10,0.18,5,1,0.8,1.3244494172807133,1902.2529455039842,77.58920274699142,35.861505318952034,2.1635790817176654,114,63.1578947368421
1.0,10,0.3,5,1,0,1.3243994492707778,1611.7804493587591,71.41858875978957,31.04243754105739,2.3006759267963357,297,52.52525252525253
2.0,10,0.35,8,1,0,1.3229761077742381,1973.122805440834,78.54064822963132,41.55838095627573,1.889887103933747,134,61.19402985074627
2.0,10,0.35,10,1,0,1.3229761077742381,1973.122805440834,78.54064822963132,41.55838095627573,1.889887103933747,134,61.19402985074627
1.0,10,0.15,5,3,0,1.3225576354512694,1416.9426247741328,67.53269258577663,34.66676026751132,1.948053180183275,301,51.82724252491694
2.0,10,0.35,8,3,0,1.3223877679536251,1967.3062494905075,78.44476195730728,41.72235047419498,1.8801616175921076,134,61.19402985074627
2.0,10,0.35,10,3,0,1.3223877679536251,1967.3062494905075,78.44476195730728,41.72235047419498,1.8801616175921076,134,61.19402985074627
1.0,10,0.22,8,1,0,1.3214581450332237,1088.7095709848013,59.957769622128644,31.904816744397934,1.8792701460244694,455,52.52747252747253
2.0,10,0.28,8,1,0.8,1.3211658081455375,1974.7517743093927,78.80381554676103,39.97990870143034,1.9710854303161958,115,63.47826086956522
2.0,10,0.28,10,1,0.8,1.3211658081455375,1974.7517743093927,78.80381554676103,39.97990870143034,1.9710854303161958,115,63.47826086956522
1.0,14,0.15,10,1,0.8,1.3208571750773315,792.9906160565795,51.50668308355115,32.17544868930719,1.6008069873682376,554,51.08303249097473
1.0,10,0.22,10,3,0.8,1.3207872944501449,1018.4831433476402,58.120038865946256,36.587706267595976,1.5885127764191236,508,52.55905511811023
1.0,14,0.15,5,1,0,1.3205708662847082,1027.9620689837948,58.37345427627816,37.85491340708609,1.542031113597824,299,51.50501672240802
1.0,14,0.15,5,1,0.8,1.3205708662847082,1027.9620689837948,58.37345427627816,37.85491340708609,1.542031113597824,299,51.50501672240802
2.0,10,0.18,5,3,0.8,1.319549554574396,1871.904586954352,77.07018225512878,35.84703506977425,2.1499736897379655,113,62.83185840707964
