K,LB,Trail,Pos,Sec,Floor,S,R,CAGR,MDD,CM,Trd,Win,Neg
1.0,10,0.35,8,3,0.8,1.9857597340763669,588.9368647195804,124.6206133787517,28.66490887231571,4.347497280869051,202,56.43564356435643,0
1.0,10,0.3,8,3,0,1.9846491834109738,567.1837695010439,121.6190489040141,25.437983849979968,4.781001891551632,209,55.980861244019145,0
1.0,10,0.3,8,3,0.8,1.9784732613708076,579.2114104676355,123.28556844720944,28.7049415805187,4.294924903483523,202,56.43564356435643,0
1.0,10,0.35,8,3,0,1.977039572464146,567.0054105828508,121.5942052069221,26.88803729241699,4.522241764415222,209,55.980861244019145,0
1.0,10,0.28,8,3,0,1.95908325662874,546.1374888794852,118.66042654149425,26.845572047163163,4.420111679238118,209,55.980861244019145,0
1.0,10,0.28,8,3,0.8,1.9448856000721042,551.6947276342253,119.44701830548095,28.92635807799276,4.129348671665532,202,56.43564356435643,0
1.0,10,0.3,8,1,0,1.9277627566961189,524.1988200969968,115.51615810218831,25.584051937604222,4.515162742161226,206,56.310679611650485,0
1.0,10,0.22,8,3,0,1.925463515849965,509.0442933632044,113.30654854631415,28.812963174003535,3.9324851061672423,213,54.929577464788736,0
1.0,10,0.35,8,1,0,1.9171050784037273,522.4244360716752,115.25906559386581,27.25792466852327,4.228460786927184,206,56.310679611650485,0
1.0,10,0.35,8,1,0.8,1.9120617900315595,531.2850227334599,116.53867661160007,28.664908872315724,4.06555196567019,200,56.49999999999999,0
1.0,10,0.3,8,1,0.8,1.9056052698484918,522.888494150958,115.32634454871706,28.704941580518707,4.017647770688586,200,56.49999999999999,0
1.0,10,0.28,8,1,0,1.9012683096125265,504.3381880925363,112.61388830464037,25.39737082059072,4.434076625496193,206,56.310679611650485,0
1.0,10,0.22,8,3,0.8,1.8974698085011326,505.45272060219474,112.77821117562792,31.46053444185828,3.584751917805197,206,55.33980582524271,0
1.0,10,0.28,8,1,0.8,1.8702714592138987,497.0151987835228,111.52980877773904,28.92635807799274,3.855646413455389,200,56.49999999999999,0
1.0,10,0.22,8,1,0,1.8649077702914914,466.8107206303726,106.97479178961467,26.98906893330557,3.9636340199051316,209,55.50239234449761,0
1.0,10,0.22,8,1,0.8,1.8251053179855399,455.075028492443,105.16701057948224,29.70447404005256,3.540443450965616,203,55.66502463054187,0
1.0,10,0.18,8,3,0,1.8020464988203246,414.48297809999184,98.73698331639835,30.58043578712671,3.2287631217460664,215,53.48837209302325,0
0.5,30,0.35,8,1,0,1.7830776184229982,380.5887279082397,93.13832306837075,23.224621750594878,4.010326801812611,190,59.473684210526315,0
0.5,30,0.35,8,1,0.8,1.7830776184229982,380.5887279082397,93.13832306837075,23.224621750594878,4.010326801812611,190,59.473684210526315,0
1.0,10,0.18,8,3,0.8,1.7670925310766317,408.0870555308592,97.69727372946639,33.22700260336688,2.9402975313688624,208,53.84615384615385,0
1.0,10,0.18,8,1,0,1.7603863685089396,389.79101042156174,94.68044767455099,28.98237499324364,3.266828467184724,211,54.502369668246445,0
0.5,30,0.3,8,1,0,1.7209157980362666,348.2133797247486,87.57214394246662,23.224621750594885,3.770659642292065,191,58.63874345549738,0
0.5,30,0.3,8,1,0.8,1.7209157980362666,348.2133797247486,87.57214394246662,23.224621750594885,3.770659642292065,191,58.63874345549738,0
0.5,30,0.35,8,3,0,1.7208779873023776,360.0102839544059,89.62657536946976,21.935545282521733,4.085905967465706,194,58.76288659793815,0
0.5,30,0.35,8,3,0.8,1.7208779873023776,360.0102839544059,89.62657536946976,21.935545282521733,4.085905967465706,194,58.76288659793815,0
1.0,10,0.18,8,1,0.8,1.7124412971585086,376.28594593050326,92.4113754298418,31.689866632556164,2.9161175242973156,205,54.63414634146342,0
0.5,30,0.28,8,1,0,1.7063354870198582,341.2553313025121,86.34564756016319,25.202635400895897,3.4260562908073413,191,58.1151832460733,0
0.5,30,0.28,8,1,0.8,1.7063354870198582,341.2553313025121,86.34564756016319,25.202635400895897,3.4260562908073413,191,58.1151832460733,0
0.5,30,0.22,8,1,0,1.6991479206893148,339.1101691430347,85.965257074415,28.817984630576234,2.9830419502411982,193,58.03108808290155,0
0.5,30,0.22,8,1,0.8,1.6991479206893148,339.1101691430347,85.965257074415,28.817984630576234,2.9830419502411982,193,58.03108808290155,0
1.0,10,0.35,5,1,0,1.6888763746207798,477.90767086195666,108.66429351588218,31.26480672325988,3.475610595572302,134,52.98507462686567,0
1.0,10,0.35,5,1,0.8,1.6888763746207798,477.90767086195666,108.66429351588218,31.26480672325988,3.475610595572302,134,52.98507462686567,0
