date,equity,positions,cash
20200102,10000992.06,0,10000992.06
20200103,10001984.23,0,10001984.23
20200106,10002976.49,0,10002976.49
20200107,10003968.84,0,10003968.84
20200108,10004961.30,0,10004961.30
20200109,10005953.86,0,10005953.86
20200110,10006946.51,0,10006946.51
20200113,10007939.26,0,10007939.26
20200114,10008932.12,0,10008932.12
20200115,10009925.06,0,10009925.06
20200116,10010918.11,0,10010918.11
20200117,10011911.26,0,10011911.26
20200120,10012904.50,0,10012904.50
20200121,10013897.85,0,10013897.85
20200122,10014891.29,0,10014891.29
20200123,10015884.83,0,10015884.83
20200203,10016878.47,0,10016878.47
20200204,10017872.21,0,10017872.21
20200205,10018866.05,0,10018866.05
20200206,10019859.98,0,10019859.98
20200207,10020854.01,0,10020854.01
20200210,9988461.37,5,20856.08
20200211,9931051.73,5,20858.15
20200212,10338952.43,5,20860.22
20200213,10280469.04,5,20862.29
20200214,10476231.63,5,20864.36
20200217,10856163.12,5,20866.43
20200218,11162482.38,5,20868.50
20200219,11044111.11,5,20870.57
20200220,11204967.76,5,20872.64
20200221,11547051.98,5,20874.71
20200224,11938014.61,5,20876.78
20200225,12185950.14,5,20878.85
20200226,11736125.34,5,20880.93
20200227,11775269.08,5,20883.00
20200228,10780940.75,5,20885.07
20200302,11379429.19,5,20887.14
20200303,11562598.53,5,20889.21
20200304,11367845.40,5,20891.29
20200305,11314169.60,5,20893.36
20200306,11447331.08,5,20895.43
20200309,11004746.30,5,20897.50
20200310,11692585.56,5,1232052.92
20200319,10701122.96,4,3278698.02
20200320,10750272.88,4,3279023.29
20200323,10564544.79,4,3279348.59
20200324,10648889.96,4,3279673.92
20200325,10959832.27,4,3279999.28
20200326,10800202.73,4,3280324.68
20200327,10687321.47,4,3280650.11
20200330,10642364.87,3,4785393.99
20200331,10629957.27,3,4785868.74
20200401,10557123.98,3,4786343.52
20200402,10716167.50,3,4786818.36
20200403,10787074.65,3,4787293.24
20200407,10849187.14,3,4787768.17
20200408,10916991.13,3,4788243.15
20200409,10838089.96,3,4788718.17
20200410,10667608.05,3,4789193.25
20200413,10520074.61,2,6543586.76
20200414,10563344.57,2,6544235.93
20200415,10599893.58,2,6544885.16
20200416,10637868.22,2,6545534.45
20200417,10583388.56,3,4602825.39
20200420,10591733.89,3,4603282.02
20200421,10541837.50,3,4603738.70
20200422,10842361.28,3,4604195.42
20200423,10977102.10,3,4604652.18
20200424,10813133.21,3,4605109.00
20200427,10755176.74,3,4605565.85
20200428,10810815.11,3,4606022.75
20200429,10744484.95,3,4606479.70
20200430,10971688.52,3,4606936.69
20200506,11256595.59,3,4607393.73
20200507,11090902.92,3,4607850.81
20200508,11155805.90,3,4608307.94
20200511,11130464.75,3,4608765.11
20200512,11212020.07,3,4609222.33
20200513,11220410.08,3,4609679.60
20200514,11147767.09,3,4610136.91
20200515,11213343.36,3,4610594.26
20200518,11097651.12,3,4611051.66
20200519,11319439.79,3,4611509.11
20200520,11212931.18,3,4611966.60
20200521,10995972.56,5,1028367.28
20200522,10725411.33,5,1028469.30
20200525,10575938.08,5,1028571.33
20200526,10843992.25,5,1028673.37
20200527,10672052.80,5,1028775.42
20200528,10499045.59,5,1028877.48
20200601,10938660.47,5,1028979.55
20200602,10958198.12,5,1029081.64
20200603,10902781.97,5,1029183.73
20200604,10933486.86,5,1029285.83
20200605,11065317.17,5,1029387.94
20200608,11036767.06,5,1029490.06
20200609,11113135.44,5,1029592.19
20200610,11108878.52,5,1029694.34
20200611,11178902.16,5,1029796.49
20200612,11112788.36,5,1029898.65
20200615,10833540.66,5,1030000.82
20200616,11099059.95,5,1030103.01
20200617,11101404.10,5,1030205.20
20200618,11248719.48,5,1030307.40
20200619,11673626.51,5,1030409.61
20200622,11978282.18,5,1424271.86
20200623,12005109.16,5,1424413.16
20200624,11960609.59,5,1424554.47
20200629,11795361.02,5,1424695.80
20200630,11977589.47,5,1424837.13
20200701,11948455.59,5,1424978.49
20200702,12024981.37,5,1425119.85
20200703,12150552.47,5,1425261.23
20200706,12711883.76,5,1425402.63
20200707,13131538.33,5,1425544.04
20200708,13272627.27,5,1425685.46
20200709,13330616.11,5,1425826.90
20200710,13149241.79,5,1425968.35
20200727,11576873.52,4,3179299.76
20200728,11748200.13,4,3179615.16
20200729,11903281.57,4,3179930.60
20200730,11830910.01,4,3180246.07
20200731,11914188.99,4,3180561.57
20200803,12100544.84,4,3180877.10
20200804,12228674.68,4,3181192.67
20200805,12152737.68,4,3181508.26
20200806,12076819.33,4,4034994.09
20200807,12234912.62,4,4035394.39
20200810,12281799.67,4,4035794.73
20200811,12205900.00,4,4036195.10
20200812,12202592.18,4,4036595.52
20200813,12281134.10,4,4036995.98
20200814,12277884.71,4,4037396.47
20200819,12098860.20,4,4037797.01
20200820,11966228.15,4,4038197.58
20200821,11875609.11,4,4038598.20
20200824,11959053.24,4,4038998.85
20200825,12130135.81,4,4039399.54
20200826,11840864.99,4,4039800.28
20200827,11937528.73,4,4040201.05
20200828,11979210.97,4,4040601.87
20200831,11899018.09,4,4041002.72
20200901,11922355.26,4,4041403.61
20200902,11964562.99,4,4041804.55
20200903,11859800.96,4,4042205.52
20200904,11956594.55,4,4042606.53
20200907,11828453.13,4,4043007.58
20200908,11946233.11,5,1978627.82
20200909,11519008.85,5,1978824.11
20200910,11385788.13,5,1979020.43
20200911,11603575.19,5,1979216.76
20200914,11831511.71,5,1979413.11
20200915,11809123.81,5,1979609.48
20200916,11690800.19,5,1979805.87
20200917,11880848.93,5,1980002.28
20200918,11971102.37,5,1980198.71
20200921,11805198.73,5,1980395.16
20200922,11611788.75,5,1980591.62
20200923,11676538.05,5,1980788.11
20200924,11492770.35,5,1980984.62
20200925,11300857.88,5,1981181.14
20200928,11179988.28,5,1981377.69
20200929,11295130.21,5,1981574.25
20200930,11353948.07,5,1981770.84
20201009,11690436.40,5,1981967.44
20201012,12014035.11,5,1982164.07
20201013,11736845.52,5,1982360.71
20201014,11542835.71,5,1982557.37
20201015,11453622.44,5,1602623.57
20201016,11330721.68,5,1602782.56
20201019,11342317.47,4,3402624.62
20201020,11257026.85,4,3402962.18
20201021,11090778.99,4,3403299.78
20201022,11073671.35,4,3403637.41
20201023,11062550.56,4,3403975.07
20201026,11107628.81,4,3404312.77
20201027,11224035.02,4,3404650.50
20201028,11240851.17,4,3404988.26
20201029,11198471.48,4,3405326.05
20201030,10997550.52,4,3405663.88
20201102,10873377.67,4,3406001.75
20201103,11079774.59,4,3406339.64
20201104,11000413.35,4,3406677.58
20201105,11394846.13,4,3407015.54
20201106,11329148.88,4,3407353.54
20201109,11757986.56,4,3407691.57
20201110,11543027.61,4,3408029.63
20201111,11262178.84,4,3408367.73
20201112,11250736.22,4,3408705.86
20201113,11069366.72,5,1101761.44
20201116,11212148.77,5,1101870.74
20201117,11077136.54,5,1101980.05
20201118,11018176.36,5,1102089.38
20201119,11154719.88,5,1102198.71
20201120,11401205.27,5,1102308.05
20201123,11878487.37,5,1102417.41
20201124,11920061.02,5,1102526.78
20201125,11686718.53,5,1102636.16
