date,equity,positions,cash
20200102,10000992.06,0,10000992.06
20200103,10001984.23,0,10001984.23
20200106,10002976.49,0,10002976.49
20200107,10003968.84,0,10003968.84
20200108,10004961.30,0,10004961.30
20200109,10005953.86,0,10005953.86
20200110,10006946.51,0,10006946.51
20200113,10007939.26,0,10007939.26
20200114,10008932.12,0,10008932.12
20200115,10009925.06,0,10009925.06
20200116,10010918.11,0,10010918.11
20200117,10011911.26,0,10011911.26
20200120,10012904.50,0,10012904.50
20200121,10013897.85,0,10013897.85
20200122,10014891.29,0,10014891.29
20200123,10015884.83,0,10015884.83
20200203,10016878.47,0,10016878.47
20200204,10017872.21,0,10017872.21
20200205,10018866.05,0,10018866.05
20200206,10019859.98,0,10019859.98
20200207,10020854.01,0,10020854.01
20200210,9988461.37,5,20856.08
20200211,9931051.73,5,20858.15
20200212,10338952.43,5,20860.22
20200213,10280469.04,5,20862.29
20200214,10476231.63,5,20864.36
20200217,10856163.12,5,20866.43
20200218,11162482.38,5,20868.50
20200219,11044111.11,5,20870.57
20200220,11204967.76,5,20872.64
20200221,11547051.98,5,20874.71
20200224,11938014.61,5,20876.78
20200225,12185950.14,5,20878.85
20200226,11736125.34,5,20880.93
20200227,11775269.08,5,20883.00
20200228,10780940.75,5,20885.07
20200302,11379429.19,5,20887.14
20200303,11562598.53,5,20889.21
20200304,11367845.40,5,20891.29
20200305,11314169.60,5,20893.36
20200306,11447331.08,5,20895.43
20200309,11004746.30,5,20897.50
20200310,11692585.56,5,1232052.92
20200319,10708622.53,5,1232175.14
20200320,10725806.20,5,1232297.38
20200323,10378776.19,4,3093579.98
20200324,10463102.93,4,3093886.89
20200325,10774026.81,4,3094193.82
20200326,10614378.83,4,3094500.78
20200327,10501479.13,4,3094807.78
20200330,10462017.11,4,3095114.80
20200331,10387706.97,4,3095421.86
20200401,10353290.26,4,3095728.94
20200402,10656214.04,4,3096036.06
20200403,10737242.59,4,3096343.20
20200407,10860922.18,4,3096650.38
20200408,10987720.95,4,3096957.59
20200409,10877784.58,4,3097264.83
20200410,10766297.43,4,3097572.10
20200413,10630168.05,4,3097879.39
20200414,10798910.02,4,3098186.72
20200415,10812981.62,4,3098494.08
20200416,10893731.54,4,3098801.47
20200417,10873486.58,3,4892923.41
20200420,10881860.69,3,4893408.82
20200421,10831993.08,3,4893894.28
20200422,11132545.64,3,4894379.78
20200423,11267315.26,3,4894865.34
20200424,11103375.15,3,4895350.94
20200427,11045447.48,3,4895836.59
20200428,11101114.64,3,4896322.29
20200429,11034813.29,3,4896808.03
20200430,11262045.66,3,4897293.83
20200506,11546981.53,3,4897779.67
20200507,11381317.67,3,4898265.56
20200508,11446249.46,3,4898751.50
20200511,11420937.13,3,4899237.49
20200512,11502521.27,3,4899723.52
20200513,11510940.09,3,4900209.61
20200514,11438325.93,3,4900695.74
20200515,11503931.02,3,4901181.92
20200518,11388267.60,3,4901668.15
20200519,11610085.11,3,4902154.42
20200520,11503605.33,3,4902640.75
20200521,11286675.55,5,1319070.27
20200522,11016143.15,5,1319201.13
20200525,10866698.75,5,1319332.00
20200526,11134781.77,5,1319462.89
20200527,10962871.17,5,1319593.79
20200528,10789892.80,5,1319724.70
20200601,11229536.54,5,1319855.62
20200602,11249103.04,5,1319986.56
20200603,11193715.75,5,1320117.51
20200604,11224449.51,5,1320248.48
20200605,11356308.68,5,1320379.45
20200608,11327787.44,5,1320510.44
20200609,11404184.69,5,1320641.45
20200610,11399956.65,5,1320772.46
20200611,11470009.16,5,1320903.49
20200612,11403924.25,5,1321034.53
20200615,11124705.43,5,1321165.59
20200616,11390253.60,5,1321296.66
20200617,11392626.64,5,1321427.74
20200618,11539970.91,5,1321558.83
20200619,11964906.83,5,1321689.94
20200622,12269591.40,5,1715581.08
20200623,12296447.28,5,1715751.28
20200624,12251976.62,5,1715921.49
20200629,12086756.95,5,1716091.72
20200630,12269014.30,5,1716261.97
20200701,12239909.34,5,1716432.23
20200702,12316464.04,5,1716602.52
20200703,12442064.05,5,1716772.81
20200706,13003424.26,5,1716943.13
20200707,13423107.75,5,1717113.46
20200708,13564225.61,5,1717283.81
20200709,13622243.39,5,1717454.17
20200710,13440897.99,5,1717624.56
20200727,11874983.31,5,1717794.96
20200728,12040848.87,5,1717965.37
20200729,12225023.61,5,1718135.80
20200730,12131242.80,5,1718306.25
20200731,12235640.98,5,1718476.72
20200803,12581333.46,5,1718647.21
20200804,12688054.02,5,1718817.71
20200805,12609313.91,5,1718988.22
20200806,12462683.77,4,4420858.54
20200807,12620815.35,4,4421297.12
20200810,12667740.68,4,4421735.74
20200811,12591879.30,4,4422174.40
20200812,12588609.78,4,4422613.11
20200813,12667189.99,4,4423051.86
20200814,12663978.89,4,4423490.66
20200819,12484992.69,4,4423929.49
20200820,12352398.95,4,4424368.38
20200821,12261818.22,4,4424807.30
20200824,12345300.66,4,4425246.27
20200825,12516421.55,4,4425685.28
20200826,12227189.05,4,4426124.34
20200827,12323891.12,4,4426563.44
20200828,12365611.68,4,4427002.58
20200831,12285457.14,4,4427441.77
20200901,12308832.65,4,4427881.00
20200902,12351078.71,4,4428320.27
20200903,12246355.03,4,4428759.59
20200904,12343186.97,4,4429198.95
20200907,12215083.90,4,4429638.36
20200908,12332902.23,5,2365296.95
20200909,11905716.34,5,2365531.60
20200910,11772533.98,5,2365766.28
20200911,11990359.42,5,2366000.98
20200914,12218334.30,5,2366235.70
20200915,12195984.78,5,2366470.45
20200916,12077699.54,5,2366705.22
20200917,12267786.66,5,2366940.01
20200918,12358078.49,5,2367174.82
20200921,12192213.24,5,2367409.66
20200922,11998841.66,5,2367644.52
20200923,12063629.35,5,2367879.41
20200924,11879900.06,5,2368114.32
20200925,11688025.99,5,2368349.25
20200928,11567194.79,5,2368584.21
20200929,11682375.14,5,2368819.18
20200930,11741231.42,5,2369054.19
20201009,12077758.17,5,2369289.21
20201012,12401395.31,5,2369524.26
20201013,12124244.15,5,2369759.33
20201014,11930272.76,5,2369994.43
20201015,11841097.93,5,1990099.06
20201016,11718235.61,5,1990296.49
20201019,11736464.87,5,1990493.94
20201020,11663647.83,5,1990691.41
20201021,11492774.99,5,1990888.90
20201022,11462913.57,5,1991086.41
20201023,11380735.77,5,1991283.93
20201026,11524060.52,5,1991481.48
20201027,11679569.11,5,1991679.05
20201028,11697646.60,5,1991876.64
20201029,11678111.64,5,1992074.24
20201030,11567308.32,5,1992271.87
20201102,11585389.61,5,1992469.52
20201103,11799775.12,5,1992667.18
20201104,11706258.43,5,1992864.87
20201105,12138111.67,5,1993062.57
20201106,12088531.77,5,1993260.30
20201109,12810427.01,5,1993458.04
20201110,12475918.31,5,1993655.80
20201111,12009928.67,5,1993853.59
20201112,12031701.88,5,1994051.39
20201113,11904175.73,5,1936570.44
20201116,12047040.60,5,1936762.56
20201117,11912111.19,5,1936954.70
20201118,11853233.84,5,1937146.86
20201119,11989860.21,5,1937339.04
20201120,12236428.45,5,1937531.23
20201123,12713793.41,5,1937723.45
20201124,12755449.93,5,1937915.68
20201125,12522190.32,5,1938107.94
