date,equity,positions
20200103,10000992.06,0
20200106,10001984.23,0
20200107,10002976.49,0
20200108,10003968.84,0
20200109,10004961.30,0
20200110,10005953.86,0
20200113,10006946.51,0
20200114,10007939.26,0
20200115,10008932.12,0
20200116,10009925.06,0
20200117,10010918.11,0
20200120,10011911.26,0
20200121,10012904.50,0
20200122,10013897.85,0
20200123,10014891.29,0
20200203,10015884.83,0
20200204,10016878.47,0
20200205,10017872.21,0
20200206,10018866.05,0
20200207,10019859.98,0
20200210,9987400.93,5
20200211,9929875.20,5
20200212,10338583.92,5
20200213,10279982.31,5
20200214,10476131.61,5
20200217,10856815.57,5
20200218,11163741.10,5
20200219,11045132.67,5
20200220,11206306.71,5
20200221,11549068.23,5
20200224,11940805.24,5
20200225,12189231.09,5
20200226,11738510.87,5
20200227,11777730.27,5
20200228,10781425.14,5
20200302,11381100.10,5
20200303,11564631.13,5
20200304,11369489.15,5
20200305,11315704.66,5
20200306,11449128.53,5
20200309,11005662.69,5
20200310,11690814.65,5
20200319,10409769.08,3
20200320,10423456.04,3
20200323,10287715.08,3
20200324,10345065.65,3
20200325,10503582.90,3
20200326,10267222.27,3
20200327,10088879.33,3
20200330,9963910.34,2
20200331,10016737.41,2
20200401,9896893.94,2
20200402,10063043.84,2
20200403,10011750.10,2
20200407,10082374.52,2
20200408,10082504.54,2
20200409,10056634.89,2
20200410,9935914.66,2
20200413,9765380.19,1
20200414,9788698.28,1
20200415,9759376.32,1
20200416,9775174.54,1
20200417,9729938.65,4
20200420,9727640.46,4
20200421,9609561.15,4
20200422,10059169.12,4
20200423,10196193.01,4
20200424,9950846.77,4
20200427,9858704.21,4
20200428,9869397.63,4
20200429,9790885.33,4
20200430,10183818.85,4
20200506,10691876.64,4
20200507,10402692.92,4
20200508,10496234.38,4
20200511,10440907.50,4
20200512,10516015.12,4
20200513,10534637.56,4
20200514,10499098.69,4
20200515,10581537.46,4
20200518,10585880.55,4
20200519,10835080.93,4
20200520,10653884.65,4
20200521,10447220.87,5
20200522,10163533.99,5
20200525,10006761.54,5
20200526,10287606.84,5
20200527,10107287.14,5
20200528,9925848.29,5
20200601,10386509.33,5
20200602,10406880.09,5
20200603,10348690.45,5
20200604,10380765.77,5
20200605,10518832.39,5
20200608,10488801.49,5
20200609,10568737.47,5
20200610,10564168.66,5
20200611,10637454.59,5
20200612,10568052.49,5
20200615,10275261.02,5
20200616,10553449.31,5
20200617,10555799.15,5
20200618,10710095.84,5
20200619,11155341.18,5
20200622,11470343.64,5
20200623,11499045.96,5
20200624,11453673.49,5
20200629,11273400.80,5
20200630,11472214.51,5
20200701,11437216.00,5
20200702,11536351.27,5
20200703,11673980.86,5
20200706,12290246.58,5
20200707,12717681.75,5
20200708,12872495.83,5
20200709,12930735.58,5
20200710,12732247.21,5
20200727,11028108.19,4
20200728,11195139.72,4
20200729,11349790.35,4
20200730,11258093.76,4
20200731,11336795.08,4
20200803,11535047.33,4
20200804,11689886.14,4
20200805,11612336.40,4
20200806,11548556.30,4
20200807,11769785.24,4
20200810,11830171.61,4
20200811,11722712.32,4
20200812,11715754.53,4
20200813,11823333.51,4
20200814,11818581.32,4
20200819,11569081.36,4
20200820,11376331.40,4
20200821,11245765.47,4
20200824,11364893.54,4
20200825,11601951.65,4
20200826,11190452.80,4
20200827,11326804.39,4
20200828,11387823.60,4
20200831,11272559.21,4
20200901,11305118.49,4
20200902,11361807.30,4
20200903,11212574.71,4
20200904,11349432.06,4
20200907,11165301.83,4
20200908,11342716.26,5
20200909,10856329.63,5
20200910,10704506.65,5
20200911,10952115.76,5
20200914,11211274.50,5
20200915,11185574.55,5
20200916,11050703.76,5
20200917,11266747.74,5
20200918,11369228.84,5
20200921,11180213.91,5
20200922,10959897.91,5
20200923,11033356.30,5
20200924,10824012.76,5
20200925,10605400.78,5
20200928,10467632.59,5
20200929,10598435.59,5
20200930,10665144.14,5
20201009,11047830.00,5
20201012,11415848.00,5
20201013,11100194.12,5
20201014,10879195.30,5
20201015,10778894.61,5
20201016,10713731.37,5
20201019,10725152.93,4
20201020,10747656.77,4
20201021,10544348.34,4
20201022,10523383.32,4
20201023,10373678.94,4
20201026,10344935.40,4
20201027,10460178.86,4
20201028,10478894.40,4
20201029,10497588.15,4
20201030,10316169.24,4
20201102,10156360.79,4
20201103,10258913.21,4
20201104,10193924.52,4
20201105,10385436.38,4
20201106,10507698.79,4
20201109,11091201.79,4
20201110,10969546.17,4
20201111,10652013.23,4
20201112,10677516.53,4
20201113,10643795.50,5
20201116,10620627.57,5
20201117,10700321.59,5
20201118,10513923.63,5
20201119,10732647.73,5
20201120,10768401.14,5
20201123,11120835.06,5
20201124,10976245.43,5
20201125,10706722.44,5
20201126,10896226.25,5
20201127,11109319.32,5
20201130,11218732.39,5
