date,equity,positions
20200103,10000992.06,0
20200106,10001984.23,0
20200107,10002976.49,0
20200108,10003968.84,0
20200109,10004961.30,0
20200110,10005953.86,0
20200113,10006946.51,0
20200114,10007939.26,0
20200115,10008932.12,0
20200116,10009925.06,0
20200117,10010918.11,0
20200120,10011911.26,0
20200121,10012904.50,0
20200122,10013897.85,0
20200123,10014891.29,0
20200203,10015884.83,0
20200204,10016878.47,0
20200205,10017872.21,0
20200206,10018866.05,0
20200207,10019859.98,0
20200210,9987400.93,5
20200211,9929875.20,5
20200212,10338583.92,5
20200213,10279982.31,5
20200214,10476131.61,5
20200217,10856815.57,5
20200218,11163741.10,5
20200219,11045132.67,5
20200220,11206306.71,5
20200221,11549068.23,5
20200224,11940805.24,5
20200225,12189231.09,5
20200226,11738510.87,5
20200227,11777730.27,5
20200228,10781425.14,5
20200302,11381100.10,5
20200303,11564631.13,5
20200304,11369489.15,5
20200305,11315704.66,5
20200306,11449128.53,5
20200309,11005662.69,5
20200310,11690814.65,5
20200319,10423870.42,5
20200320,10415697.56,5
20200323,9931098.21,3
20200324,9988413.40,3
20200325,10146895.27,3
20200326,9910499.25,3
20200327,9732120.93,3
20200330,9613574.60,3
20200331,9593873.89,3
20200401,9519018.65,3
20200402,9853699.25,3
20200403,9814248.15,3
20200407,9956979.82,3
20200408,10026203.84,3
20200409,9963965.05,3
20200410,9912338.78,3
20200413,9755033.51,3
20200414,9924258.32,3
20200415,9868530.43,3
20200416,9933972.84,3
20200417,9927882.94,4
20200420,9925538.00,4
20200421,9805056.50,4
20200422,10263811.22,4
20200423,10403622.70,4
20200424,10153285.17,4
20200427,10059268.09,4
20200428,10070179.05,4
20200429,9990069.50,4
20200430,10390996.80,4
20200506,10909390.44,4
20200507,10614323.61,4
20200508,10709768.06,4
20200511,10653315.62,4
20200512,10729951.22,4
20200513,10748952.52,4
20200514,10712690.65,4
20200515,10796806.54,4
20200518,10801237.98,4
20200519,11055508.05,4
20200520,10870625.55,4
20200521,10659757.43,5
20200522,10370299.27,5
20200525,10210337.46,5
20200526,10496896.23,5
20200527,10312908.15,5
20200528,10127778.14,5
20200601,10597810.79,5
20200602,10618595.96,5
20200603,10559222.52,5
20200604,10591950.38,5
20200605,10732825.80,5
20200608,10702183.96,5
20200609,10783746.15,5
20200610,10779084.39,5
20200611,10853861.23,5
20200612,10783047.23,5
20200615,10484299.25,5
20200616,10768146.97,5
20200617,10770544.61,5
20200618,10927980.29,5
20200619,11382283.62,5
20200622,11703694.44,5
20200623,11732980.68,5
20200624,11686685.16,5
20200629,11502745.03,5
20200630,11705603.38,5
20200701,11669892.86,5
20200702,11771044.92,5
20200703,11911474.42,5
20200706,12540277.35,5
20200707,12976408.20,5
20200708,13134371.79,5
20200709,13193796.36,5
20200710,12991269.97,5
20200727,11260001.97,5
20200728,11423988.71,5
20200729,11615894.46,5
20200730,11497173.29,5
20200731,11602226.49,5
20200803,11991470.03,5
20200804,12124299.66,5
20200805,12041848.65,5
20200806,11893384.03,4
20200807,12121214.38,4
20200810,12183398.62,4
20200811,12072732.43,4
20200812,12065565.56,4
20200813,12176352.95,4
20200814,12171459.26,4
20200819,11914516.16,4
20200820,11716009.50,4
20200821,11581545.13,4
20200824,11704230.13,4
20200825,11948359.98,4
20200826,11524577.86,4
20200827,11664999.23,4
20200828,11727841.82,4
20200831,11609136.14,4
20200901,11642667.31,4
20200902,11701046.05,4
20200903,11547358.99,4
20200904,11688301.48,4
20200907,11498673.70,4
20200908,11681384.68,5
20200909,11180475.61,5
20200910,11024119.53,5
20200911,11279121.71,5
20200914,11546018.36,5
20200915,11519551.07,5
20200916,11380653.33,5
20200917,11603147.90,5
20200918,11708688.86,5
20200921,11514030.37,5
20200922,11287136.22,5
20200923,11362787.91,5
20200924,11147193.84,5
20200925,10922054.59,5
20200928,10780172.94,5
20200929,10914881.43,5
20200930,10983581.75,5
20201009,11377693.77,5
20201012,11756699.97,5
20201013,11431621.36,5
20201014,11204024.00,5
20201015,11100728.56,5
20201016,11033619.69,5
20201019,11053203.36,5
20201020,11091126.02,5
20201021,10876216.87,5
20201022,10839455.46,5
20201023,10600968.63,5
20201026,10687832.48,5
20201027,10852843.01,5
20201028,10873567.57,5
20201029,10919865.57,5
20201030,10839855.40,5
20201102,10843929.97,5
20201103,10958972.45,5
20201104,10875210.67,5
20201105,11116772.18,5
20201106,11261753.10,5
20201109,12210171.55,5
20201110,11943063.02,5
20201111,11396443.73,5
20201112,11462053.72,5
20201113,11489365.59,5
20201116,11464357.14,5
20201117,11550382.26,5
20201118,11349176.37,5
20201119,11585276.47,5
20201120,11623870.21,5
20201123,12004302.38,5
20201124,11848226.19,5
20201125,11557291.60,5
20201126,11761850.07,5
20201127,11991871.81,5
20201130,12109976.92,5
