code,name,buy_date,sell_date,ret,exit,hold_days
300054,鼎龙股份,20200210,20200310,0.4355,rebalance,21
601398,工商银行,20200210,20200310,-0.0247,rebalance,21
300502,新易盛,20200210,20200310,0.1947,rebalance,21
000938,紫光股份,20200210,20200319,0.0232,trail,22
300394,天孚通信,20200310,20200330,-0.2479,trail,8
000977,浪潮信息,20200210,20200413,-0.1231,trail,38
600900,长江电力,20200310,20200417,-0.0506,rebalance,21
300757,罗博特科,20200310,20200417,0.0790,rebalance,21
000657,中钨高新,20200417,20200521,0.1084,rebalance,21
300475,香农芯创,20200417,20200521,0.0605,rebalance,21
688008,澜起科技,20200417,20200521,0.0393,rebalance,21
603259,药明康德,20200521,20200622,0.1528,rebalance,21
600460,士兰微,20200521,20200622,0.0160,rebalance,21
000977,浪潮信息,20200521,20200622,-0.0116,rebalance,21
002371,北方华创,20200521,20200622,0.0397,rebalance,21
002837,英维克,20200622,20200727,-0.1235,trail,13
002050,三花智控,20200521,20200806,0.3361,rebalance,42
603738,泰晶科技,20200622,20200806,0.0596,rebalance,21
601288,农业银行,20200622,20200806,0.0308,rebalance,21
300475,香农芯创,20200622,20200908,0.2015,rebalance,42
600111,北方稀土,20200806,20200908,-0.1798,rebalance,21
600460,士兰微,20200806,20200908,-0.0618,rebalance,21
600276,恒瑞医药,20200806,20200908,0.0078,rebalance,21
300604,长川科技,20200908,20201015,-0.0382,rebalance,21
000657,中钨高新,20200908,20201015,-0.0352,rebalance,21
300666,江丰电子,20200908,20201015,-0.0023,rebalance,21
603738,泰晶科技,20200908,20201015,-0.1143,rebalance,21
300661,圣邦股份,20200908,20201019,-0.1002,trail,23
600030,中信证券,20201015,20201113,-0.0830,rebalance,21
002384,东山精密,20201015,20201113,0.0226,rebalance,21
000977,浪潮信息,20201015,20201113,-0.1068,rebalance,21
300394,天孚通信,20201015,20201113,0.0136,rebalance,21
601088,中国神华,20201113,20201207,0.2382,trail,16
300475,香农芯创,20201113,20201214,-0.0904,rebalance,21
601689,拓普集团,20201113,20201214,0.0275,rebalance,21
002050,三花智控,20201113,20201214,-0.1502,rebalance,21
601600,中国铝业,20201113,20201214,0.1198,rebalance,21
002837,英维克,20201214,20210113,0.0663,rebalance,21
300604,长川科技,20201214,20210113,0.3036,rebalance,21
300308,中际旭创,20201214,20210113,0.0245,rebalance,21
002466,天齐锂业,20201214,20210113,1.3059,rebalance,21
300661,圣邦股份,20210113,20210205,-0.0157,trail,17
600030,中信证券,20201214,20210218,-0.0394,rebalance,42
300502,新易盛,20210113,20210218,-0.0988,rebalance,21
688008,澜起科技,20210113,20210218,-0.0136,rebalance,21
000938,紫光股份,20210113,20210218,-0.1291,rebalance,21
300604,长川科技,20210218,20210309,-0.2318,trail,13
603738,泰晶科技,20210218,20210319,0.0863,rebalance,21
000977,浪潮信息,20210218,20210319,-0.1937,rebalance,21
600900,长江电力,20210218,20210319,0.0505,rebalance,21
000657,中钨高新,20210218,20210319,0.0964,rebalance,21
600276,恒瑞医药,20210319,20210420,-0.0956,rebalance,21
300620,光库科技,20210319,20210420,0.0779,rebalance,21
601689,拓普集团,20210420,20210512,-0.2714,trail,13
002384,东山精密,20210319,20210524,-0.1132,rebalance,42
300661,圣邦股份,20210420,20210524,0.0913,rebalance,21
688037,芯源微,20210420,20210524,0.1217,rebalance,21
600460,士兰微,20210420,20210524,0.4185,rebalance,21
600030,中信证券,20210524,20210623,-0.0266,rebalance,21
002837,英维克,20210524,20210623,0.0253,rebalance,21
601088,中国神华,20210524,20210623,0.0398,rebalance,21
600111,北方稀土,20210524,20210623,0.0531,rebalance,21
601899,紫金矿业,20210524,20210723,-0.0484,rebalance,42
300661,圣邦股份,20210623,20210723,0.4027,rebalance,21
688012,中微公司,20210623,20210723,0.1931,rebalance,21
000657,中钨高新,20210623,20210723,0.6593,rebalance,21
688008,澜起科技,20210623,20210723,0.0070,rebalance,21
603186,华正新材,20210723,20210819,-0.0713,trail,19
603259,药明康德,20210723,20210820,-0.2145,trail,20
601689,拓普集团,20210723,20210823,0.2079,rebalance,21
300604,长川科技,20210723,20210823,0.0311,rebalance,21
300054,鼎龙股份,20210723,20210823,-0.0021,rebalance,21
000977,浪潮信息,20210823,20210923,-0.0495,rebalance,21
600276,恒瑞医药,20210823,20210923,0.0061,rebalance,21
688037,芯源微,20210823,20210923,0.0346,rebalance,21
300373,扬杰科技,20210923,20211029,0.1290,rebalance,21
002371,北方华创,20210923,20211029,-0.0428,rebalance,21
600900,长江电力,20210923,20211029,-0.0058,rebalance,21
601899,紫金矿业,20210923,20211029,-0.0203,rebalance,21
603738,泰晶科技,20210923,20211029,0.0640,rebalance,21
300475,香农芯创,20211029,20211213,0.0856,rebalance,21
300394,天孚通信,20211029,20211213,0.3336,rebalance,21
600460,士兰微,20211029,20211213,0.0142,rebalance,21
