排名,代码,名称,板块,最新报告期,毛利率(%),每股净资产(元),营收同比增速(%),毛利率Z-Score,净资Z-Score,增速Z-Score,综合得分
1,300475,香农芯创,存储芯片与模组,2026-03-31,9.12,10.45,200.6,-1.4035,-0.5587,2.5799,1.1112
2,688503,聚和材料,半导体高分子材料,2026-03-31,10.58,21.92,87.54,-1.3262,0.5756,0.6788,0.9884
3,688126,沪硅产业 - U,半导体基础材料,2026-03-31,-11.85,5.09,35.22,-2.5112,-1.0891,-0.2009,0.9719
4,603296,华勤技术,智能硬件 ODM 代工,2026-03-31,8.54,26.36,16.42,-1.4342,1.0152,-0.5169,0.9183
5,002371,北方华创,刻蚀与制程设备,2026-03-31,40.77,54.21,25.8,0.2687,3.7716,-0.3593,0.8134
6,688347,华虹宏力,晶圆代工制造,2026-03-31,17.63,26.04,18.22,-0.9542,0.9838,-0.4867,0.6655
7,002460,赣锋锂业,锂矿与锂电材料,2026-03-31,29.72,22.16,143.81,-0.3153,0.5996,1.6251,0.6625
8,300308,中际旭创,高速光模块,2026-03-31,46.06,32.03,192.12,0.5479,1.5764,2.4373,0.6456
9,601138,工业富联,AI 服务器与算力硬件,2026-03-31,7.35,8.88,56.52,-1.497,-0.7143,0.1572,0.6187
10,688261,东微半导,功率半导体器件,2026-03-31,16.67,24.05,-1.1,-1.0045,0.7869,-0.8116,0.5712
11,000977,浪潮信息,AI 服务器与算力硬件,2026-03-31,6.64,15.19,-24.3,-1.5346,-0.0901,-1.2017,0.5285
12,603186,华正新材,覆铜板与 PCB 基材,2026-03-31,12.02,14.94,19.84,-1.2503,-0.1151,-0.4595,0.5262
13,688012,中微公司,刻蚀与制程设备,2026-03-31,39.89,38.82,34.13,0.2222,2.2488,-0.2192,0.4516
14,600584,长电科技,半导体封装测试,2026-03-31,14.55,16.08,-1.76,-1.1168,-0.0023,-0.8227,0.4125
15,002384,东山精密,PCB 印制电路板,2026-03-31,19.33,12.36,52.72,-0.8643,-0.37,0.0934,0.3693
16,688981,中芯国际,晶圆代工制造,2026-03-31,21.48,18.72,8.07,-0.7508,0.2597,-0.6573,0.327
17,600111,北方稀土,稀土与钨金属,2026-03-31,13.22,7.08,27.69,-1.1867,-0.8928,-0.3274,0.3084
18,000938,紫光股份,网络交换设备,2026-03-31,12.88,5.43,34.61,-1.2048,-1.0558,-0.2112,0.2973
19,601689,拓普集团,汽车零部件,2026-03-31,19.26,14.15,14.92,-0.868,-0.1929,-0.5422,0.2886
20,002851,麦格米特,工业电源与控制,2026-03-31,21.57,15.42,20.35,-0.7461,-0.0668,-0.4509,0.2781
21,688256,寒武纪,AI/GPU 算力芯片,2026-03-31,54.33,30.52,159.56,0.9849,1.4275,1.8898,0.2643
22,603986,兆易创新,存储芯片与模组,2026-03-31,57.08,36.05,119.38,1.13,1.9742,1.2142,0.1984
23,688409,富创精密,设备零部件与耗材,2026-03-31,27.05,14.76,36.84,-0.4561,-0.1328,-0.1737,0.166
24,601995,中金公司,头部券商,2026-03-31,,21.27,54.26,,0.5116,0.1193,0.1639
25,688498,源杰科技,模拟与光芯片设计,2026-03-31,77.81,29.38,320.94,2.2253,1.3138,4.6034,0.1451
26,688072,拓荆科技,薄膜沉积设备,2026-03-31,41.69,25.67,56.97,0.3171,0.947,0.1648,0.1265
