date,equity
2020-01-02,10000000.00
2020-01-03,10000000.00
2020-01-06,10000000.00
2020-01-07,10000000.00
2020-01-08,10000000.00
2020-01-09,10000000.00
2020-01-10,10000000.00
2020-01-13,10000000.00
2020-01-14,10000000.00
2020-01-15,10000000.00
2020-01-16,10000000.00
2020-01-17,10000000.00
2020-01-20,10000000.00
2020-01-21,10000000.00
2020-01-22,10000000.00
2020-01-23,10000000.00
2020-02-03,10000000.00
2020-02-04,10000000.00
2020-02-05,10000000.00
2020-02-06,10000000.00
2020-02-07,10000000.00
2020-02-10,10000000.00
2020-02-11,10000000.00
2020-02-12,10000000.00
2020-02-13,10000000.00
2020-02-14,10000000.00
2020-02-17,10000000.00
2020-02-18,10000000.00
2020-02-19,10000000.00
2020-02-20,10000000.00
2020-02-21,10000000.00
2020-02-24,10000000.00
2020-02-25,10000000.00
2020-02-26,10000000.00
2020-02-27,10000000.00
2020-02-28,10000000.00
2020-03-02,10000000.00
2020-03-03,10000000.00
2020-03-04,10000000.00
2020-03-05,10000000.00
2020-03-06,10000000.00
2020-03-09,10000000.00
2020-03-10,10000000.00
2020-03-19,10000000.00
2020-03-20,10000000.00
2020-03-23,10000000.00
2020-03-24,10000000.00
2020-03-25,10000000.00
2020-03-26,10000000.00
2020-03-27,10000000.00
2020-03-30,10000000.00
2020-03-31,10000000.00
2020-04-01,10000000.00
2020-04-02,10000000.00
2020-04-03,10000000.00
2020-04-07,10000000.00
2020-04-08,10000000.00
2020-04-09,10000000.00
2020-04-10,10000000.00
2020-04-13,10000000.00
2020-04-14,10000000.00
2020-04-15,10000000.00
2020-04-16,10000000.00
2020-04-17,10000000.00
2020-04-20,10000000.00
2020-04-21,10000000.00
2020-04-22,10000000.00
2020-04-23,10000000.00
2020-04-24,10000000.00
2020-04-27,10000000.00
2020-04-28,10000000.00
2020-04-29,10000000.00
2020-04-30,10000000.00
2020-05-06,10000000.00
2020-05-07,10000000.00
2020-05-08,10000000.00
2020-05-11,10000000.00
2020-05-12,10000000.00
2020-05-13,10000000.00
2020-05-14,10000000.00
2020-05-15,10000000.00
2020-05-18,10000000.00
2020-05-19,10000000.00
2020-05-20,10000000.00
2020-05-21,10000000.00
2020-05-22,10000000.00
2020-05-25,10000000.00
2020-05-26,10000000.00
2020-05-27,10000000.00
2020-05-28,10000000.00
2020-06-01,10000000.00
2020-06-02,10000000.00
2020-06-03,10000000.00
2020-06-04,10000000.00
2020-06-05,10000000.00
2020-06-08,10000000.00
2020-06-09,10000000.00
2020-06-10,10000000.00
2020-06-11,10000000.00
2020-06-12,10000000.00
2020-06-15,10000000.00
2020-06-16,10000000.00
2020-06-17,10000000.00
2020-06-18,10000000.00
2020-06-19,10000000.00
2020-06-22,10000000.00
2020-06-23,10000000.00
2020-06-24,10000000.00
2020-06-29,10000000.00
2020-06-30,10000000.00
2020-07-01,10000000.00
2020-07-02,10000000.00
2020-07-03,10000000.00
2020-07-06,10000000.00
2020-07-07,10000000.00
2020-07-08,10000000.00
2020-07-09,10000000.00
2020-07-10,10000000.00
2020-07-27,10000000.00
2020-07-28,10000000.00
2020-07-29,10000000.00
2020-07-30,10000000.00
2020-07-31,10000000.00
2020-08-03,10000000.00
2020-08-04,10000000.00
2020-08-05,10000000.00
2020-08-06,10000000.00
2020-08-07,10000000.00
2020-08-10,10000000.00
2020-08-11,10000000.00
2020-08-12,10000000.00
2020-08-13,10000000.00
2020-08-14,10000000.00
2020-08-19,10000000.00
2020-08-20,10000000.00
2020-08-21,10000000.00
2020-08-24,10000000.00
2020-08-25,10000000.00
2020-08-26,10000000.00
2020-08-27,10000000.00
2020-08-28,10000000.00
2020-08-31,10000000.00
2020-09-01,10000000.00
2020-09-02,10000000.00
2020-09-03,10000000.00
2020-09-04,10000000.00
2020-09-07,10000000.00
2020-09-08,10000000.00
2020-09-09,10000000.00
2020-09-10,10000000.00
2020-09-11,10000000.00
2020-09-14,10000000.00
2020-09-15,10000000.00
2020-09-16,10000000.00
2020-09-17,10000000.00
2020-09-18,10000000.00
2020-09-21,10000000.00
2020-09-22,10000000.00
2020-09-23,10000000.00
2020-09-24,10000000.00
2020-09-25,10000000.00
2020-09-28,10000000.00
2020-09-29,10000000.00
2020-09-30,10000000.00
2020-10-09,10000000.00
2020-10-12,10000000.00
2020-10-13,10000000.00
2020-10-14,10000000.00
2020-10-15,10000000.00
2020-10-16,10000000.00
2020-10-19,10000000.00
2020-10-20,10000000.00
2020-10-21,10000000.00
2020-10-22,10000000.00
2020-10-23,10000000.00
2020-10-26,10000000.00
2020-10-27,10000000.00
2020-10-28,10000000.00
2020-10-29,10000000.00
2020-10-30,10000000.00
2020-11-02,10000000.00
2020-11-03,10000000.00
2020-11-04,10000000.00
2020-11-05,10000000.00
2020-11-06,10000000.00
2020-11-09,10000000.00
2020-11-10,10000000.00
2020-11-11,10000000.00
2020-11-12,10000000.00
2020-11-13,10000000.00
2020-11-16,10000000.00
2020-11-17,10000000.00
2020-11-18,10000000.00
2020-11-19,10000000.00
2020-11-20,10000000.00
2020-11-23,10000000.00
2020-11-24,10000000.00
2020-11-25,10000000.00
2020-11-26,10000000.00
2020-11-27,10000000.00
2020-11-30,10000000.00
2020-12-01,10000000.00
2020-12-02,10000000.00
2020-12-03,10000000.00
2020-12-04,10000000.00
2020-12-07,10000000.00
2020-12-08,10000000.00
2020-12-09,10000000.00
2020-12-10,10000000.00
2020-12-11,10000000.00
2020-12-14,10000000.00
2020-12-15,10000000.00
2020-12-16,10000000.00
2020-12-17,10000000.00
2020-12-18,10000000.00
2020-12-21,10000000.00
2020-12-22,10000000.00
2020-12-23,10000000.00
2020-12-24,10000000.00
2020-12-25,10000000.00
2020-12-28,10000000.00
2020-12-29,10000000.00
2020-12-30,10000000.00
2020-12-31,10000000.00
2021-01-04,9968619.59
2021-01-05,10184547.12
2021-01-06,10575597.46
2021-01-07,11237761.80
2021-01-08,11663371.93
2021-01-11,11058164.47
2021-01-12,11702663.81
2021-01-13,11869933.34
2021-01-14,11153967.08
2021-01-15,11751445.82
2021-01-18,12044721.95
2021-01-19,11573257.49
2021-01-20,11704748.03
2021-01-21,12059436.17
2021-01-22,12132692.70
2021-01-25,12188819.44
2021-01-26,11793940.18
2021-01-27,11721405.32
2021-01-28,11096841.26
2021-01-29,10392796.28
2021-02-01,10155024.39
2021-02-02,10472476.21
2021-02-03,10297622.45
2021-02-04,9744634.30
2021-02-05,9160784.48
2021-02-08,9618160.01
2021-02-09,10085075.37
2021-02-10,10254324.35
2021-02-18,10873922.76
2021-02-19,10602300.20
2021-02-22,10869187.86
2021-02-23,10389917.15
2021-02-24,9799229.67
2021-02-25,9791351.62
2021-02-26,9279082.60
2021-03-01,9474161.87
2021-03-02,9098474.36
2021-03-03,9536857.25
2021-03-04,8894946.16
2021-03-05,8677845.68
2021-03-08,8394400.10
2021-03-09,8222480.73
2021-03-10,8188723.38
2021-03-11,8645376.06
2021-03-12,8540116.76
2021-03-15,8558225.48
2021-03-16,8439142.23
2021-03-17,8573190.01
2021-03-18,8549309.81
2021-03-19,8373817.63
2021-03-22,8293246.48
2021-03-23,7898524.16
2021-03-24,7578955.70
2021-03-25,7627599.11
2021-03-26,7712302.56
2021-03-29,7717674.08
2021-03-30,7718237.64
2021-03-31,7644277.27
2021-04-01,7658781.45
2021-04-02,7648162.25
