date,equity,positions
2020-01-02,10000000.00,0
2020-01-03,10000000.00,0
2020-01-06,10000000.00,0
2020-01-07,10000000.00,0
2020-01-08,10000000.00,0
2020-01-09,10000000.00,0
2020-01-10,10000000.00,0
2020-01-13,10000000.00,0
2020-01-14,10000000.00,0
2020-01-15,10000000.00,0
2020-01-16,10000000.00,0
2020-01-17,10000000.00,0
2020-01-20,10000000.00,0
2020-01-21,10000000.00,0
2020-01-22,10000000.00,0
2020-01-23,10000000.00,0
2020-02-03,10000000.00,0
2020-02-04,10000000.00,0
2020-02-05,10000000.00,0
2020-02-06,10000000.00,0
2020-02-07,10000000.00,0
2020-02-10,10000000.00,0
2020-02-11,10000000.00,0
2020-02-12,10000000.00,0
2020-02-13,10000000.00,0
2020-02-14,10000000.00,0
2020-02-17,10000000.00,0
2020-02-18,10000000.00,0
2020-02-19,10000000.00,0
2020-02-20,10000000.00,0
2020-02-21,10000000.00,0
2020-02-24,10000000.00,0
2020-02-25,10000000.00,0
2020-02-26,10000000.00,0
2020-02-27,10000000.00,0
2020-02-28,10000000.00,0
2020-03-02,10000000.00,0
2020-03-03,10000000.00,0
2020-03-04,10000000.00,0
2020-03-05,10000000.00,0
2020-03-06,10000000.00,0
2020-03-09,10000000.00,0
2020-03-10,10000000.00,0
2020-03-11,10000000.00,0
2020-03-12,10000000.00,0
2020-03-13,10000000.00,0
2020-03-16,10000000.00,0
2020-03-17,10000000.00,0
2020-03-18,10000000.00,0
2020-03-19,10000000.00,0
2020-03-20,10000000.00,0
2020-03-23,10000000.00,0
2020-03-24,10000000.00,0
2020-03-25,10000000.00,0
2020-03-26,10000000.00,0
2020-03-27,10000000.00,0
2020-03-30,10000000.00,0
2020-03-31,10000000.00,0
2020-04-01,10000000.00,0
2020-04-02,10000000.00,0
2020-04-03,10000000.00,0
2020-04-07,10000000.00,0
2020-04-08,10000000.00,0
2020-04-09,9932718.66,5
2020-04-10,9777142.16,5
2020-04-13,9765418.14,5
2020-04-14,9881350.48,5
2020-04-15,9760599.69,5
2020-04-16,9778659.36,5
2020-04-17,9802713.13,5
2020-04-20,9757259.78,5
2020-04-21,9659860.56,5
2020-04-22,9938975.16,5
2020-04-23,9858913.60,5
2020-04-24,9742176.61,5
2020-04-27,9708539.71,5
2020-04-28,9668044.95,5
2020-04-29,9693916.20,5
2020-04-30,9852299.83,5
2020-05-06,10025122.76,5
2020-05-07,9810649.96,5
2020-05-08,9914265.95,5
2020-05-11,9995130.71,5
2020-05-12,9969649.20,5
2020-05-13,10024237.33,5
2020-05-14,9985937.75,5
2020-05-15,9955610.04,5
2020-05-18,9753441.26,4
2020-05-19,9799712.13,4
2020-05-20,9795885.07,4
2020-05-21,9789237.35,4
2020-05-22,9627432.70,4
2020-05-25,9602615.82,4
2020-05-26,9621153.99,4
2020-05-27,9636185.61,4
2020-05-28,9784683.80,4
2020-05-29,9730845.78,4
2020-06-01,9900175.69,4
2020-06-02,9965179.43,4
2020-06-03,9967390.43,4
2020-06-04,9861342.08,4
2020-06-05,9889013.40,4
2020-06-08,9921587.63,4
2020-06-09,9963942.48,4
2020-06-10,9864437.98,4
2020-06-11,9728600.65,5
2020-06-12,9660219.31,5
2020-06-15,9491365.58,5
2020-06-16,9640925.08,5
2020-06-17,9661798.36,5
2020-06-18,10038134.76,5
2020-06-19,10037046.37,5
2020-06-22,10147436.02,5
2020-06-23,10115818.36,5
2020-06-24,10166655.40,5
2020-06-29,10084530.44,5
2020-06-30,10301726.86,5
2020-07-01,10348458.19,5
2020-07-02,10525010.00,5
2020-07-03,10564175.36,5
2020-07-06,11086514.56,5
2020-07-07,11383315.58,5
2020-07-08,11479814.97,5
2020-07-09,11987417.58,5
2020-07-10,12033569.00,5
2020-07-13,12380495.06,5
2020-07-14,11923627.53,5
2020-07-15,11742678.44,5
2020-07-16,11256240.08,4
2020-07-17,11293508.56,4
2020-07-20,11503284.05,4
2020-07-21,11500702.94,4
2020-07-22,11515665.31,4
2020-07-23,11347890.62,4
2020-07-24,11057897.74,3
2020-07-27,11074071.70,3
2020-07-28,11119693.25,3
2020-07-29,11152295.61,3
2020-07-30,11061870.34,3
2020-07-31,11082312.12,3
2020-08-03,11151877.90,3
2020-08-04,11202418.09,3
2020-08-05,11153395.04,3
2020-08-06,11169462.13,3
2020-08-07,11324336.30,3
2020-08-10,11495460.19,3
2020-08-11,11421987.90,3
2020-08-12,11388479.93,5
2020-08-13,11420165.53,5
2020-08-14,11687151.15,5
2020-08-17,11550343.32,5
2020-08-18,11330914.73,5
2020-08-19,11041169.52,4
2020-08-20,10937578.75,4
2020-08-21,10943315.41,4
2020-08-24,11220230.18,4
2020-08-25,11283856.74,4
2020-08-26,10821734.57,3
2020-08-27,10972066.18,3
2020-08-28,11022710.96,3
2020-08-31,11090326.25,3
2020-09-01,11137525.58,3
