date,equity,positions
2020-01-02,10000000.00,0
2020-01-03,10000000.00,0
2020-01-06,10000000.00,0
2020-01-07,10000000.00,0
2020-01-08,10000000.00,0
2020-01-09,10000000.00,0
2020-01-10,10000000.00,0
2020-01-13,10000000.00,0
2020-01-14,10000000.00,0
2020-01-15,10000000.00,0
2020-01-16,10000000.00,0
2020-01-17,10000000.00,0
2020-01-20,10000000.00,0
2020-01-21,10000000.00,0
2020-01-22,10000000.00,0
2020-01-23,10000000.00,0
2020-02-03,10000000.00,0
2020-02-04,10000000.00,0
2020-02-05,10000000.00,0
2020-02-06,10000000.00,0
2020-02-07,10000000.00,0
2020-02-10,10000000.00,0
2020-02-11,10000000.00,0
2020-02-12,10000000.00,0
2020-02-13,10000000.00,0
2020-02-14,10000000.00,0
2020-02-17,10000000.00,0
2020-02-18,10000000.00,0
2020-02-19,10000000.00,0
2020-02-20,10000000.00,0
2020-02-21,10000000.00,0
2020-02-24,10000000.00,0
2020-02-25,10000000.00,0
2020-02-26,10000000.00,0
2020-02-27,10000000.00,0
2020-02-28,10000000.00,0
2020-03-02,10000000.00,0
2020-03-03,10000000.00,0
2020-03-04,10000000.00,0
2020-03-05,10000000.00,0
2020-03-06,10000000.00,0
2020-03-09,10000000.00,0
2020-03-10,10000000.00,0
2020-03-11,10000000.00,0
2020-03-12,10000000.00,0
2020-03-13,10000000.00,0
2020-03-16,10000000.00,0
2020-03-17,10000000.00,0
2020-03-18,10000000.00,0
2020-03-19,10000000.00,0
2020-03-20,10000000.00,0
2020-03-23,10000000.00,0
2020-03-24,10000000.00,0
2020-03-25,10000000.00,0
2020-03-26,10000000.00,0
2020-03-27,10000000.00,0
2020-03-30,10000000.00,0
2020-03-31,10000000.00,0
2020-04-01,10000000.00,0
2020-04-02,10000000.00,0
2020-04-03,10000000.00,0
2020-04-07,10000000.00,0
2020-04-08,10000000.00,0
2020-04-09,9932718.66,5
2020-04-10,9587411.87,5
2020-04-13,9514308.97,4
2020-04-14,10092362.49,4
2020-04-15,10089104.34,4
2020-04-16,10098580.58,4
2020-04-17,10344921.02,4
2020-04-20,10678737.26,4
2020-04-21,10484163.66,4
2020-04-22,10541530.87,4
2020-04-23,10459152.18,3
2020-04-24,10527085.14,3
2020-04-27,10953508.54,3
2020-04-28,10774151.33,3
2020-04-29,10783384.53,2
2020-04-30,11081943.25,2
2020-05-06,11161684.82,2
2020-05-07,11187374.51,2
2020-05-08,11160593.74,2
2020-05-11,11049518.67,2
2020-05-12,11135125.24,2
2020-05-13,11160911.22,5
2020-05-14,11236224.57,5
2020-05-15,11489468.77,5
2020-05-18,11216062.76,5
2020-05-19,11574723.37,5
2020-05-20,11502497.80,5
2020-05-21,11195186.77,4
2020-05-22,10835920.80,3
2020-05-25,10795397.08,2
2020-05-26,10810386.26,2
2020-05-27,10701764.40,2
2020-05-28,10666526.08,2
2020-05-29,10676129.94,2
2020-06-01,10720017.51,2
2020-06-02,10742561.47,2
2020-06-03,10787528.78,2
2020-06-04,10866924.45,2
2020-06-05,10890090.45,2
2020-06-08,10774641.73,2
2020-06-09,10836594.49,2
2020-06-10,10952245.65,2
2020-06-11,10884035.81,5
2020-06-12,10617730.59,5
2020-06-15,10093087.23,4
2020-06-16,10327739.47,4
2020-06-17,10289203.89,4
2020-06-18,10737764.07,4
2020-06-19,10819895.23,4
2020-06-22,10867624.34,4
2020-06-23,10921208.57,4
2020-06-24,10989824.88,4
2020-06-29,10875199.38,4
2020-06-30,11268968.18,4
2020-07-01,11168186.12,4
2020-07-02,11184331.21,4
2020-07-03,11091956.02,4
2020-07-06,11457522.65,4
2020-07-07,11692797.95,4
2020-07-08,12072897.76,4
2020-07-09,12222142.22,4
2020-07-10,12069802.54,4
2020-07-13,12769466.14,4
2020-07-14,12815234.91,5
2020-07-15,12672786.07,5
2020-07-16,11821111.85,3
2020-07-17,11895947.27,3
2020-07-20,11885649.27,3
2020-07-21,12000346.64,3
2020-07-22,12127696.42,3
2020-07-23,12088700.03,3
2020-07-24,11585389.37,1
2020-07-27,11647580.95,1
2020-07-28,11672080.66,1
2020-07-29,11655119.32,1
2020-07-30,11609889.08,1
2020-07-31,11617427.45,1
2020-08-03,11609889.08,1
2020-08-04,11613658.27,1
2020-08-05,11579735.59,1
2020-08-06,11560889.65,1
2020-08-07,11562774.25,1
2020-08-10,11559005.06,1
2020-08-11,11560889.65,1
2020-08-12,11473746.88,5
2020-08-13,11424815.10,5
2020-08-14,11723957.93,5
2020-08-17,12515990.40,5
2020-08-18,12523194.95,5
2020-08-19,12228637.20,5
2020-08-20,11909206.70,5
2020-08-21,11633828.39,4
2020-08-24,11910761.11,4
2020-08-25,11937397.31,4
2020-08-26,11295440.70,2
2020-08-27,11506380.52,2
2020-08-28,11524039.74,2
2020-08-31,11734858.75,2
2020-09-01,11754878.74,2
