date,equity,positions
2020-01-02,10000000.00,0
2020-01-03,10000000.00,0
2020-01-06,10000000.00,0
2020-01-07,10000000.00,0
2020-01-08,10000000.00,0
2020-01-09,10000000.00,0
2020-01-10,10000000.00,0
2020-01-13,10000000.00,0
2020-01-14,10000000.00,0
2020-01-15,10000000.00,0
2020-01-16,10000000.00,0
2020-01-17,10000000.00,0
2020-01-20,10000000.00,0
2020-01-21,10000000.00,0
2020-01-22,10000000.00,0
2020-01-23,10000000.00,0
2020-02-03,10000000.00,0
2020-02-04,10000000.00,0
2020-02-05,10000000.00,0
2020-02-06,10000000.00,0
2020-02-07,10000000.00,0
2020-02-10,10000000.00,0
2020-02-11,10000000.00,0
2020-02-12,10000000.00,0
2020-02-13,10000000.00,0
2020-02-14,10000000.00,0
2020-02-17,10000000.00,0
2020-02-18,10000000.00,0
2020-02-19,10000000.00,0
2020-02-20,10000000.00,0
2020-02-21,10000000.00,0
2020-02-24,10000000.00,0
2020-02-25,10000000.00,0
2020-02-26,10000000.00,0
2020-02-27,10000000.00,0
2020-02-28,10000000.00,0
2020-03-02,10000000.00,0
2020-03-03,10000000.00,0
2020-03-04,10000000.00,0
2020-03-05,10000000.00,0
2020-03-06,10000000.00,0
2020-03-09,10000000.00,0
2020-03-10,10000000.00,0
2020-03-11,10000000.00,0
2020-03-12,10000000.00,0
2020-03-13,10000000.00,0
2020-03-16,10000000.00,0
2020-03-17,10000000.00,0
2020-03-18,10000000.00,0
2020-03-19,10000000.00,0
2020-03-20,10000000.00,0
2020-03-23,10000000.00,0
2020-03-24,10000000.00,0
2020-03-25,10000000.00,0
2020-03-26,10000000.00,0
2020-03-27,10000000.00,0
2020-03-30,10000000.00,0
2020-03-31,10000000.00,0
2020-04-01,10000000.00,0
2020-04-02,10000000.00,0
2020-04-03,10000000.00,0
2020-04-07,10000000.00,0
2020-04-08,10000000.00,0
2020-04-09,9932718.66,5
2020-04-10,9449549.64,5
2020-04-13,9277944.06,4
2020-04-14,9523085.16,4
2020-04-15,9550615.63,4
2020-04-16,9654512.48,4
2020-04-17,9878641.50,4
2020-04-20,9966616.90,4
2020-04-21,9756959.49,4
2020-04-22,9855925.54,4
2020-04-23,9671894.88,4
2020-04-24,9564840.10,4
2020-04-27,9475619.01,3
2020-04-28,9801639.13,3
2020-04-29,9805721.03,3
2020-04-30,10268588.14,3
2020-05-06,10689540.34,3
2020-05-07,10809134.48,3
2020-05-08,10725872.42,3
2020-05-11,10655189.80,3
2020-05-12,10950817.97,3
2020-05-13,10871000.22,4
2020-05-14,10800494.79,4
2020-05-15,10760299.68,4
2020-05-18,10388141.32,3
2020-05-19,10434325.05,3
2020-05-20,10370555.31,2
2020-05-21,10355735.83,2
2020-05-22,10271501.54,2
2020-05-25,10192361.44,2
2020-05-26,10201160.50,2
2020-05-27,10238003.36,2
2020-05-28,10283336.53,2
2020-05-29,10244486.88,2
2020-06-01,10319510.46,2
2020-06-02,10370195.11,2
2020-06-03,10362270.81,2
2020-06-04,10320642.50,2
2020-06-05,10369886.37,2
2020-06-08,10384551.47,2
2020-06-09,10399370.95,2
2020-06-10,10385529.15,2
2020-06-11,10317800.55,5
2020-06-12,10228874.93,5
2020-06-15,9873086.15,5
2020-06-16,10071181.30,5
2020-06-17,10202030.79,5
2020-06-18,10596867.10,5
2020-06-19,10713448.29,5
2020-06-22,10984018.30,5
2020-06-23,11122580.16,5
2020-06-24,11301458.39,5
2020-06-29,11094091.74,5
2020-06-30,11247202.70,5
2020-07-01,11210292.98,5
2020-07-02,11417407.83,5
2020-07-03,11433558.72,5
2020-07-06,12089283.43,5
2020-07-07,12275114.08,5
2020-07-08,12466656.46,5
2020-07-09,12796553.30,5
2020-07-10,12708613.48,5
2020-07-13,12966435.24,5
2020-07-14,12471494.45,4
2020-07-15,12278487.94,4
2020-07-16,11533390.29,2
2020-07-17,11627733.61,2
2020-07-20,11637577.79,2
2020-07-21,11883466.30,2
2020-07-22,11867384.71,2
2020-07-23,12006282.13,2
2020-07-24,11548761.31,1
2020-07-27,11541623.99,1
2020-07-28,11596550.32,1
2020-07-29,11614548.77,1
2020-07-30,11625409.91,1
2020-07-31,11702368.83,1
2020-08-03,11700817.24,1
2020-08-04,11734952.24,1
2020-08-05,11806015.11,1
2020-08-06,11738676.06,1
2020-08-07,11674129.87,1
2020-08-10,11707644.24,1
2020-08-11,11708885.51,1
2020-08-12,11540613.41,4
2020-08-13,11623114.88,4
2020-08-14,11778004.20,4
2020-08-17,11665595.57,4
2020-08-18,11555127.12,4
2020-08-19,11392594.22,3
2020-08-20,11188097.34,3
2020-08-21,11392227.13,3
2020-08-24,11490557.60,3
2020-08-25,11461870.87,3
2020-08-26,11308271.98,3
2020-08-27,11406875.66,3
2020-08-28,11442544.08,3
2020-08-31,11522607.00,3
2020-09-01,11711808.67,3
