date,equity,cash,positions
20200102,10000992.06,10000992.06,0
20200103,10001984.23,10001984.23,0
20200106,10002976.49,10002976.49,0
20200107,10003968.84,10003968.84,0
20200108,10004961.30,10004961.30,0
20200109,10005953.86,10005953.86,0
20200110,9973559.73,5954.45,3
20200113,10760114.84,5955.04,3
20200114,10555198.55,5955.63,3
20200115,10872988.58,5956.22,3
20200116,11684361.45,5956.81,3
20200117,12375671.74,3298143.74,2
20200120,12135156.29,3298470.94,2
20200121,11729808.60,1535181.23,3
20200122,12154198.48,1147929.04,3
20200123,11396139.04,1148042.92,3
20200203,9949922.45,-17682.83,3
20200204,11206346.02,-17684.59,3
20200205,11498246.91,-17686.34,3
20200206,12211244.72,-17688.09,3
20200207,13228526.22,-17689.85,3
20200210,12815368.47,-17691.60,3
20200211,12728323.20,-17693.36,3
20200212,13636351.10,-17695.11,3
20200213,13272885.66,-17696.87,3
20200214,13037850.36,678826.40,3
20200217,13815059.39,678893.75,3
20200218,14081574.76,678961.10,3
20200219,13878336.81,679028.46,3
20200220,14242967.44,679095.82,3
20200221,14786294.05,679163.19,3
20200224,15445477.58,679230.57,3
20200225,15789014.39,679297.95,3
20200226,14200821.59,4233216.31,3
20200227,14081249.60,4233636.27,3
20200228,12950794.90,2983189.61,3
20200302,13640152.02,2983485.56,3
20200303,13840617.00,2983781.55,3
20200304,13409292.18,3110812.04,3
20200305,13929193.96,3111120.65,3
20200306,13440698.25,3169706.28,3
20200309,12417971.80,2032177.45,3
20200310,13298160.43,2571263.08,3
20200319,12589959.46,2149512.42,3
20200320,12269126.10,2149725.67,3
20200323,11141079.58,4496009.39,2
20200324,11471879.55,4496455.42,2
20200325,11480517.97,1163237.48,3
20200326,12031932.96,1163352.88,3
20200327,12914639.09,996456.21,3
20200330,13603850.55,787023.51,3
20200331,12335396.29,2636393.27,3
20200401,11921741.94,2100816.09,3
20200402,12527196.36,2101024.50,3
20200403,12364917.28,1924397.44,3
20200407,12461661.55,1924588.36,3
20200408,12381480.06,1924779.29,3
20200409,11885781.88,1901710.19,3
20200410,11658616.41,1577461.93,3
20200413,11629822.44,1577618.42,3
20200414,12268725.70,1577774.93,3
20200415,12383304.37,1577931.46,3
20200416,12434321.25,1578088.00,3
20200417,12351124.97,1578244.55,3
20200420,12594836.42,1578401.12,3
20200421,12146003.97,1729077.01,3
20200422,12105377.10,1729248.55,3
20200423,11586127.82,1834068.94,3
20200424,11336662.78,1600951.42,3
20200427,11368989.46,1601110.24,3
20200428,11733940.10,1601269.08,3
20200429,11747811.90,1601427.94,3
20200430,12205506.23,1601586.81,3
20200506,12584997.06,1601745.70,3
20200507,12397985.60,1601904.60,3
20200508,12351419.65,1602063.52,3
20200511,12124185.28,1633190.91,3
20200512,12436435.99,1633352.93,3
20200513,12373468.13,1633514.97,3
20200514,12111756.51,1696225.53,3
20200515,12679043.27,1696393.81,3
20200518,12878445.69,1696562.10,3
