code,name,buy_date,sell_date,buy_px,sell_px,ret,pnl,exit,hold_days,dev_at_buy
601689,拓普集团,20200110,20200117,12.7613,12.6026,-0.012442,-41473.57,ma10,5,0.083423
688012,中微公司,20200110,20200121,76.9994,113.2637,0.470967,1569891.34,trail,7,0.066804
002837,英维克,20200121,20200122,5.0162,4.4333,-0.116210,-387366.06,trail,1,0.165134
603738,泰晶科技,20200110,20200203,12.4804,11.8554,-0.050083,-166942.70,trail,10,0.062460
688012,中微公司,20200121,20200203,114.0595,99.7246,-0.125679,-418929.55,trail,3,0.123346
300502,新易盛,20200122,20200203,9.0092,7.4420,-0.173956,-579851.75,trail,2,0.116603
688037,芯源微,20200203,20200214,54.6771,66.1012,0.208937,696455.94,ma10,9,0.120855
300373,扬杰科技,20200203,20200226,18.7808,27.5463,0.466724,1555747.33,trail,17,0.064796
300502,新易盛,20200203,20200226,7.4943,12.1543,0.621804,2072680.34,trail,17,0.059561
002466,天齐锂业,20200214,20200226,32.1341,31.4118,-0.022479,-74929.23,ma10,8,0.123007
002837,英维克,20200226,20200228,8.1163,7.2029,-0.112540,-375132.28,trail,2,0.148403
300394,天孚通信,20200226,20200228,8.4373,7.1531,-0.152211,-507371.06,trail,2,0.119005
603186,华正新材,20200226,20200228,60.8371,54.1163,-0.110472,-368239.24,trail,2,0.102282
300394,天孚通信,20200228,20200304,7.2033,7.5117,0.042812,142707.05,ma10,3,0.050419
000938,紫光股份,20200228,20200304,31.9635,31.8103,-0.004796,-15985.14,ma10,3,0.035864
601088,中国神华,20200304,20200306,2.0366,2.0722,0.017481,58271.21,trail,2,0.137429
002050,三花智控,20200304,20200309,15.7811,14.1966,-0.100409,-334695.25,ma10,3,0.047090
601088,中国神华,20200306,20200309,2.0868,1.5840,-0.240911,-803035.17,trail,1,0.118272
601088,中国神华,20200309,20200310,1.5952,1.8530,0.161649,538830.56,ma10,1,0.052356
002837,英维克,20200228,20200319,7.2535,7.2029,-0.006977,-23257.75,trail,8,0.049440
600276,恒瑞医药,20200309,20200319,60.6766,53.4189,-0.119612,-398706.13,trail,2,0.030288
300054,鼎龙股份,20200310,20200323,13.1827,13.0907,-0.006977,-23257.75,trail,3,0.033443
300604,长川科技,20200319,20200323,15.4801,13.4195,-0.133116,-443721.01,trail,2,0.057410
300373,扬杰科技,20200319,20200323,26.6463,22.4854,-0.156155,-520516.84,trail,2,0.048752
300620,光库科技,20200323,20200327,16.1724,15.3622,-0.050099,-166995.52,trail,4,0.034615
300502,新易盛,20200323,20200330,10.1629,9.5242,-0.062853,-209510.76,ma10,5,0.036071
601088,中国神华,20200325,20200331,0.9932,1.5442,0.554732,1849108.24,trail,4,0.121138
601088,中国神华,20200331,20200401,1.5550,1.3051,-0.160736,-535785.58,trail,1,0.421521
601899,紫金矿业,20200327,20200403,1.9463,1.8431,-0.053045,-176817.95,ma10,5,0.090641
601088,中国神华,20200401,20200409,1.3143,1.3051,-0.006977,-23257.75,trail,5,0.171600
300661,圣邦股份,20200403,20200410,52.2693,47.1824,-0.097321,-324404.74,trail,4,0.068385
300757,罗博特科,20200330,20200421,28.0810,27.6858,-0.014073,-46909.59,trail,15,0.068160
601899,紫金矿业,20200409,20200421,2.1068,2.2316,0.059224,197413.96,ma10,8,0.073265
300502,新易盛,20200410,20200423,10.9053,11.2477,0.031392,104638.46,ma10,9,0.051496
002837,英维克,20200421,20200424,7.2736,6.7645,-0.069983,-233276.33,ma10,3,0.083861
600183,生益科技,20200423,20200511,26.9473,27.1976,0.009290,30965.38,ma10,9,0.043468
300475,香农芯创,20200424,20200514,7.3538,7.4918,0.018763,62542.30,ma10,11,0.037907
002371,北方华创,20200421,20200521,98.2182,116.0432,0.181484,604946.59,trail,19,0.075763
601088,中国神华,20200511,20200521,1.2039,1.5143,0.257829,859429.08,trail,8,0.086370
603259,药明康德,20200514,20200522,59.6332,56.5073,-0.052418,-174728.23,ma10,6,0.041452
601088,中国神华,20200521,20200522,1.5249,1.2154,-0.202969,-676562.14,trail,1,0.157407
300620,光库科技,20200525,20200527,18.1488,17.1753,-0.053637,-178789.21,ma10,2,0.033949
688012,中微公司,20200521,20200528,151.2600,144.9942,-0.041424,-138079.63,ma10,5,0.092527
601088,中国神华,20200528,20200604,1.7557,1.6936,-0.035349,-117831.33,trail,4,0.067907
601689,拓普集团,20200528,20200612,14.0054,15.0135,0.071981,239935.94,ma10,10,0.047780
002384,东山精密,20200604,20200612,27.7900,26.7493,-0.037449,-124830.46,ma10,6,0.083626
