date,equity,cash,positions
20200102,10000992.06,10000992.06,0
20200103,10001984.23,10001984.23,0
20200106,10002976.49,10002976.49,0
20200107,10003968.84,10003968.84,0
20200108,10004961.30,10004961.30,0
20200109,10005953.86,10005953.86,0
20200110,10006946.51,10006946.51,0
20200113,10007939.26,10007939.26,0
20200114,10008932.12,10008932.12,0
20200115,10009925.06,10009925.06,0
20200116,10010918.11,10010918.11,0
20200117,10011911.26,10011911.26,0
20200120,10012904.50,10012904.50,0
20200121,10013897.85,10013897.85,0
20200122,10014891.29,10014891.29,0
20200123,10015884.83,10015884.83,0
20200203,10016878.47,10016878.47,0
20200204,10017872.21,10017872.21,0
20200205,10018866.05,10018866.05,0
20200206,10019859.98,10019859.98,0
20200207,10020854.01,10020854.01,0
20200210,10021848.15,10021848.15,0
20200211,10022842.38,10022842.38,0
20200212,10023836.71,10023836.71,0
20200213,10024831.14,10024831.14,0
20200214,10025825.66,10025825.66,0
20200217,10026820.29,10026820.29,0
20200218,10027815.01,10027815.01,0
20200219,10028809.84,10028809.84,0
20200220,10029804.76,10029804.76,0
20200221,10030799.78,10030799.78,0
20200224,10031794.90,10031794.90,0
20200225,10032790.11,10032790.11,0
20200226,10033785.43,10033785.43,0
20200227,10034780.85,10034780.85,0
20200228,10035776.36,10035776.36,0
20200302,10036771.97,10036771.97,0
20200303,10037767.68,10037767.68,0
20200304,10038763.49,10038763.49,0
20200305,10039759.40,10039759.40,0
20200306,10040755.41,10040755.41,0
20200309,10041751.52,10041751.52,0
20200310,10042747.72,10042747.72,0
20200319,10043744.03,10043744.03,0
20200320,10044740.43,10044740.43,0
20200323,10045736.93,10045736.93,0
20200324,10046733.53,10046733.53,0
20200325,10047730.23,10047730.23,0
20200326,10048727.03,10048727.03,0
20200327,10049723.93,10049723.93,0
20200330,10050720.93,10050720.93,0
20200331,10051718.02,10051718.02,0
20200401,10052715.22,10052715.22,0
20200402,10053712.51,10053712.51,0
20200403,10054709.90,10054709.90,0
20200407,10055707.39,10055707.39,0
20200408,10056704.98,10056704.98,0
20200409,10057702.67,10057702.67,0
20200410,10058700.46,10058700.46,0
20200413,10059698.35,10059698.35,0
20200414,10060696.33,10060696.33,0
20200415,10061694.42,10061694.42,0
20200416,10062692.60,10062692.60,0
20200417,10063690.88,10063690.88,0
20200420,10064689.27,10064689.27,0
20200421,10065687.75,10065687.75,0
20200422,10066686.33,10066686.33,0
20200423,10067685.01,10067685.01,0
20200424,10068683.78,10068683.78,0
20200427,10069682.66,10069682.66,0
20200428,10070681.64,10070681.64,0
20200429,10071680.71,10071680.71,0
20200430,10072679.89,10072679.89,0
20200506,10073679.16,10073679.16,0
20200507,10074678.54,10074678.54,0
20200508,10075678.01,10075678.01,0
20200511,10076677.58,10076677.58,0
20200512,10077677.25,10077677.25,0
20200513,10078677.02,10078677.02,0
20200514,10079676.89,10079676.89,0
20200515,10080676.86,10080676.86,0
