code,name,buy_date,sell_date,buy_px,sell_px,ret,pnl,exit,hold_days,peak
600111,北方稀土,20210512,20210929,20.5365,40.4478,0.969552,2423878.93,trail,96,60.1600
601600,中国铝业,20210428,20211012,3.9227,6.5852,0.678742,1696854.15,trail,107,9.7400
002851,麦格米特,20211012,20220307,31.9836,23.8502,-0.254299,-635746.32,trail,70,35.2900
300308,中际旭创,20210506,20220329,22.2220,19.7556,-0.110987,-277467.31,trail,190,29.0900
600030,中信证券,20210506,20220426,19.7440,15.5515,-0.212343,-530858.23,trail,208,22.9700
603259,药明康德,20220516,20220913,93.4527,70.9430,-0.240868,-602170.03,trail,84,108.3400
601689,拓普集团,20210929,20221028,22.7938,42.8686,0.880712,2201778.80,trail,230,61.6800
300308,中际旭创,20221028,20230828,18.6203,77.5979,3.167378,7918445.08,trail,188,119.9300
002050,三花智控,20230828,20240126,27.2081,20.2438,-0.255965,-639913.28,trail,92,29.0600
601869,长飞光纤,20240129,20250408,24.8505,29.5587,0.189462,473655.92,trail,266,42.8200
300661,圣邦股份,20250408,20251120,68.8831,65.6828,-0.046461,-116152.60,trail,138,94.7900
601899,紫金矿业,20220914,20260520,7.5946,29.8975,2.936672,7341681.15,trail,814,43.0700
002837,英维克,20251127,20260608,55.8309,63.1423,0.130957,327393.41,trail,111,93.0100
601138,工业富联,20260527,20260720,70.3078,56.2881,-0.199404,-498509.52,trail,37,81.0500
600900,长江电力,20220307,20260723,19.4530,28.7916,0.480060,1200148.96,final,989,29.3800
601398,工商银行,20220330,20260723,3.2004,7.6412,1.387613,3469031.29,final,972,8.0000
600030,中信证券,20260618,20260723,26.6463,28.3533,0.064060,160149.23,final,24,29.4700
